model,concept,condition,prompt,layer,rank,token,logit,margin,matches_final
pythia-12b,skip_link,regress,A skip link is,17,4,",",9.237,1.1181,True
pythia-12b,skip_link,regress,A skip link is,18,0,a,11.67,1.2111,True
pythia-12b,skip_link,regress,A skip link is,18,1,an,10.459,1.2111,True
pythia-12b,skip_link,regress,A skip link is,18,2,in,9.846,1.2111,True
pythia-12b,skip_link,regress,A skip link is,18,3,the,9.436,1.2111,True
pythia-12b,skip_link,regress,A skip link is,18,4,",",9.284,1.2111,True
pythia-12b,skip_link,regress,A skip link is,19,0,a,11.085,1.0512,True
pythia-12b,skip_link,regress,A skip link is,19,1,an,10.033,1.0512,True
pythia-12b,skip_link,regress,A skip link is,19,2,in,9.149,1.0512,True
pythia-12b,skip_link,regress,A skip link is,19,3,the,9.137,1.0512,True
pythia-12b,skip_link,regress,A skip link is,19,4,used,8.612,1.0512,True
pythia-12b,skip_link,regress,A skip link is,20,0,a,12.294,1.136,True
pythia-12b,skip_link,regress,A skip link is,20,1,an,11.158,1.136,True
pythia-12b,skip_link,regress,A skip link is,20,2,the,10.137,1.136,True
pythia-12b,skip_link,regress,A skip link is,20,3,in,9.462,1.136,True
pythia-12b,skip_link,regress,A skip link is,20,4,",",9.148,1.136,True
pythia-12b,skip_link,regress,A skip link is,21,0,a,12.886,1.4075,True
pythia-12b,skip_link,regress,A skip link is,21,1,an,11.478,1.4075,True
pythia-12b,skip_link,regress,A skip link is,21,2,the,10.657,1.4075,True
pythia-12b,skip_link,regress,A skip link is,21,3,in,9.787,1.4075,True
pythia-12b,skip_link,regress,A skip link is,21,4,",",9.716,1.4075,True
pythia-12b,skip_link,regress,A skip link is,22,0,a,13.549,1.2023,True
pythia-12b,skip_link,regress,A skip link is,22,1,an,12.347,1.2023,True
pythia-12b,skip_link,regress,A skip link is,22,2,the,10.785,1.2023,True
pythia-12b,skip_link,regress,A skip link is,22,3,used,9.691,1.2023,True
pythia-12b,skip_link,regress,A skip link is,22,4,generally,9.618,1.2023,True
pythia-12b,skip_link,regress,A skip link is,23,0,a,13.803,1.1317,True
pythia-12b,skip_link,regress,A skip link is,23,1,an,12.671,1.1317,True
pythia-12b,skip_link,regress,A skip link is,23,2,the,10.61,1.1317,True
pythia-12b,skip_link,regress,A skip link is,23,3,generally,9.713,1.1317,True
pythia-12b,skip_link,regress,A skip link is,23,4,one,9.372,1.1317,True
pythia-12b,skip_link,regress,A skip link is,24,0,a,14.204,1.1145,True
pythia-12b,skip_link,regress,A skip link is,24,1,an,13.09,1.1145,True
pythia-12b,skip_link,regress,A skip link is,24,2,the,10.563,1.1145,True
pythia-12b,skip_link,regress,A skip link is,24,3,generally,9.811,1.1145,True
pythia-12b,skip_link,regress,A skip link is,24,4,one,9.723,1.1145,True
pythia-12b,skip_link,regress,A skip link is,25,0,a,15.108,1.1952,True
pythia-12b,skip_link,regress,A skip link is,25,1,an,13.913,1.1952,True
pythia-12b,skip_link,regress,A skip link is,25,2,the,10.903,1.1952,True
pythia-12b,skip_link,regress,A skip link is,25,3,used,10.435,1.1952,True
pythia-12b,skip_link,regress,A skip link is,25,4,generally,10.277,1.1952,True
pythia-12b,skip_link,regress,A skip link is,26,0,a,16.125,1.4327,True
pythia-12b,skip_link,regress,A skip link is,26,1,an,14.692,1.4327,True
pythia-12b,skip_link,regress,A skip link is,26,2,the,11.624,1.4327,True
pythia-12b,skip_link,regress,A skip link is,26,3,one,11.028,1.4327,True
pythia-12b,skip_link,regress,A skip link is,26,4,used,10.932,1.4327,True
pythia-12b,skip_link,regress,A skip link is,27,0,a,16.226,1.3794,True
pythia-12b,skip_link,regress,A skip link is,27,1,an,14.847,1.3794,True
pythia-12b,skip_link,regress,A skip link is,27,2,the,11.657,1.3794,True
pythia-12b,skip_link,regress,A skip link is,27,3,one,11.181,1.3794,True
pythia-12b,skip_link,regress,A skip link is,27,4,used,11.053,1.3794,True
pythia-12b,skip_link,regress,A skip link is,28,0,a,16.224,1.5111,True
pythia-12b,skip_link,regress,A skip link is,28,1,an,14.713,1.5111,True
pythia-12b,skip_link,regress,A skip link is,28,2,used,11.737,1.5111,True
pythia-12b,skip_link,regress,A skip link is,28,3,the,11.655,1.5111,True
pythia-12b,skip_link,regress,A skip link is,28,4,one,11.15,1.5111,True
pythia-12b,skip_link,regress,A skip link is,29,0,a,17.086,1.6225,True
pythia-12b,skip_link,regress,A skip link is,29,1,an,15.464,1.6225,True
pythia-12b,skip_link,regress,A skip link is,29,2,the,12.291,1.6225,True
pythia-12b,skip_link,regress,A skip link is,29,3,used,12.286,1.6225,True
pythia-12b,skip_link,regress,A skip link is,29,4,one,12.135,1.6225,True
pythia-12b,skip_link,regress,A skip link is,30,0,a,17.207,1.7803,True
pythia-12b,skip_link,regress,A skip link is,30,1,an,15.427,1.7803,True
pythia-12b,skip_link,regress,A skip link is,30,2,the,12.482,1.7803,True
pythia-12b,skip_link,regress,A skip link is,30,3,one,12.347,1.7803,True
pythia-12b,skip_link,regress,A skip link is,30,4,used,12.213,1.7803,True
pythia-12b,skip_link,regress,A skip link is,31,0,a,17.782,1.915,True
pythia-12b,skip_link,regress,A skip link is,31,1,an,15.867,1.915,True
pythia-12b,skip_link,regress,A skip link is,31,2,the,13.215,1.915,True
pythia-12b,skip_link,regress,A skip link is,31,3,one,13.004,1.915,True
pythia-12b,skip_link,regress,A skip link is,31,4,used,12.712,1.915,True
pythia-12b,skip_link,regress,A skip link is,32,0,a,18.076,2.7176,True
pythia-12b,skip_link,regress,A skip link is,32,1,an,15.359,2.7176,True
pythia-12b,skip_link,regress,A skip link is,32,2,the,13.479,2.7176,True
pythia-12b,skip_link,regress,A skip link is,32,3,one,13.175,2.7176,True
pythia-12b,skip_link,regress,A skip link is,32,4,used,12.535,2.7176,True
pythia-12b,skip_link,regress,A skip link is,33,0,a,18.137,2.3659,True
pythia-12b,skip_link,regress,A skip link is,33,1,an,15.771,2.3659,True
pythia-12b,skip_link,regress,A skip link is,33,2,the,14.161,2.3659,True
pythia-12b,skip_link,regress,A skip link is,33,3,one,13.639,2.3659,True
pythia-12b,skip_link,regress,A skip link is,33,4,used,12.591,2.3659,True
pythia-12b,skip_link,regress,A skip link is,34,0,a,16.227,2.3323,True
pythia-12b,skip_link,regress,A skip link is,34,1,an,13.895,2.3323,True
pythia-12b,skip_link,regress,A skip link is,34,2,the,12.707,2.3323,True
pythia-12b,skip_link,regress,A skip link is,34,3,generally,12.174,2.3323,True
pythia-12b,skip_link,regress,A skip link is,34,4,one,12.124,2.3323,True
pythia-12b,skip_link,regress,A skip link is,35,0,a,18.27,2.3729,True
pythia-12b,skip_link,regress,A skip link is,35,1,an,15.897,2.3729,True
pythia-12b,skip_link,regress,A skip link is,35,2,used,15.011,2.3729,True
pythia-12b,skip_link,regress,A skip link is,35,3,generally,14.768,2.3729,True
pythia-12b,skip_link,regress,A skip link is,35,4,the,14.491,2.3729,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,0,0,||,10.282,1.2628,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,0,1,====================,9.019,1.2628,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,0,2,======================,8.695,1.2628,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,0,3,=====================,7.935,1.2628,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,0,4,===================,7.761,1.2628,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,1,0,||,10.383,1.7673,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,1,1,======================,8.615,1.7673,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,1,2,====================,8.513,1.7673,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,1,3,Decided,7.874,1.7673,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,1,4,Simplify,7.418,1.7673,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,2,0,||,9.975,0.9092,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,2,1,======================,9.065,0.9092,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,2,2,====================,8.129,0.9092,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,2,3,Decided,7.837,0.9092,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,2,4,=====================,7.316,0.9092,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,3,0,||,9.476,0.7351,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,3,1,======================,8.741,0.7351,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,3,2,====================,8.016,0.7351,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,3,3,---------------------------------------------------,7.264,0.7351,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,3,4,-------------------------------------------,7.263,0.7351,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,4,0,||,9.443,0.6406,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,4,1,======================,8.803,0.6406,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,4,2,====================,8.254,0.6406,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,4,3,-------------------------------------------,7.076,0.6406,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,4,4,===================,6.932,0.6406,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,5,0,======================,8.728,0.6574,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,5,1,||,8.071,0.6574,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,5,2,====================,7.911,0.6574,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,5,3,=========================,7.333,0.6574,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,5,4,now,7.042,0.6574,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,6,0,======================,7.776,0.4356,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,6,1,=========================,7.34,0.4356,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,6,2,not,6.957,0.4356,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,6,3,now,6.917,0.4356,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,6,4,to,6.896,0.4356,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,7,0,not,7.579,0.2382,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,7,1,to,7.341,0.2382,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,7,2,now,7.319,0.2382,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,7,3,generally,7.244,0.2382,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,7,4,in,7.03,0.2382,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,8,0,generally,7.941,0.0372,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,8,1,not,7.903,0.0372,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,8,2,often,7.426,0.0372,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,8,3,now,7.342,0.0372,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,8,4,usually,6.714,0.0372,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,9,0,not,9.29,0.0311,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,9,1,generally,9.259,0.0311,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,9,2,often,8.194,0.0311,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,9,3,usually,8.022,0.0311,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,9,4,also,7.926,0.0311,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,10,0,generally,8.955,0.6607,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,10,1,not,8.295,0.6607,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,10,2,often,7.893,0.6607,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,10,3,usually,7.578,0.6607,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,10,4,now,7.452,0.6607,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,11,0,generally,8.285,0.0854,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,11,1,not,8.2,0.0854,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,11,2,typically,8.084,0.0854,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,11,3,often,7.633,0.0854,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,11,4,usually,7.32,0.0854,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,12,0,not,9.236,0.1703,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,12,1,generally,9.066,0.1703,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,12,2,often,8.398,0.1703,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,12,3,typically,8.344,0.1703,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,12,4,now,8.048,0.1703,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,13,0,typically,8.911,0.1509,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,13,1,not,8.76,0.1509,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,13,2,generally,8.723,0.1509,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,13,3,often,8.531,0.1509,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,13,4,usually,7.94,0.1509,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,14,0,typically,8.966,0.0043,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,14,1,generally,8.962,0.0043,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,14,2,often,8.879,0.0043,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,14,3,not,8.816,0.0043,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,14,4,in,8.77,0.0043,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,15,0,generally,8.962,0.1296,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,15,1,not,8.832,0.1296,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,15,2,typically,8.557,0.1296,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,15,3,in,8.434,0.1296,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,15,4,often,8.183,0.1296,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,16,0,not,8.996,0.422,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,16,1,in,8.574,0.422,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,16,2,generally,8.133,0.422,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,16,3,often,7.987,0.422,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,16,4,one,7.934,0.422,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,17,0,not,8.684,0.1671,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,17,1,in,8.516,0.1671,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,17,2,a,8.412,0.1671,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,17,3,generally,8.195,0.1671,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,17,4,the,8.124,0.1671,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,18,0,not,8.988,0.1164,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,18,1,a,8.872,0.1164,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,18,2,in,8.554,0.1164,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,18,3,generally,8.391,0.1164,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,18,4,the,8.268,0.1164,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,19,0,generally,8.147,0.0233,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,19,1,a,8.124,0.0233,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,19,2,in,8.079,0.0233,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,19,3,not,7.959,0.0233,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,19,4,often,7.734,0.0233,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,20,0,a,8.765,0.3067,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,20,1,in,8.459,0.3067,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,20,2,not,8.219,0.3067,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,20,3,generally,8.217,0.3067,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,20,4,the,8.145,0.3067,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,21,0,a,8.971,0.2372,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,21,1,key,8.734,0.2372,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,21,2,the,8.402,0.2372,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,21,3,generally,8.402,0.2372,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,21,4,in,8.353,0.2372,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,22,0,key,9.297,0.297,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,22,1,a,9.0,0.297,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,22,2,one,8.717,0.297,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,22,3,generally,8.263,0.297,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,22,4,not,8.175,0.297,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,23,0,key,9.845,0.924,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,23,1,a,8.921,0.924,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,23,2,one,8.9,0.924,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,23,3,generally,8.422,0.924,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,23,4,an,8.225,0.924,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,24,0,key,10.444,0.1563,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,24,1,a,10.288,0.1563,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,24,2,one,10.088,0.1563,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,24,3,the,9.538,0.1563,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,24,4,an,9.374,0.1563,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,25,0,key,10.772,0.0714,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,25,1,a,10.701,0.0714,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,25,2,one,9.845,0.0714,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,25,3,an,9.795,0.0714,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,25,4,the,9.667,0.0714,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,26,0,a,11.005,0.3243,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,26,1,one,10.681,0.3243,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,26,2,common,9.887,0.3243,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,26,3,key,9.806,0.3243,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,26,4,the,9.756,0.3243,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,27,0,a,12.442,1.1984,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,27,1,one,11.243,1.1984,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,27,2,common,10.946,1.1984,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,27,3,an,10.834,1.1984,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,27,4,the,10.646,1.1984,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,28,0,a,12.88,1.0274,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,28,1,one,11.852,1.0274,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,28,2,common,11.539,1.0274,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,28,3,an,11.307,1.0274,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,28,4,the,10.882,1.0274,True
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,29,0,one,14.043,0.2812,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,29,1,a,13.762,0.2812,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,29,2,common,12.095,0.2812,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,29,3,an,12.019,0.2812,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,29,4,the,11.676,0.2812,False
pythia-12b,keyboard_navigation,regress,Keyboard navigation is,30,0,one,14.671,0.1809,False
