"id","severity","area","finding","detail","evidence","suggested_fix","","","","","","","","","","","","",""
"A11","MODERATE","pipeline hygiene","The five tables just archived out of results/analysis are still written by the pipeline, read by a figure script, and cited by findings docs","completion_paradox, emergence_thresholds, criteria_strictness_audit(_full), trajectory_stability_audit were deleted from results/analysis (moved untracked to _archive). But gap_analysis.py still emits completion_paradox and emergence_thresholds (saved by analysis.ipynb's save_tables), dual_spearman.py writes criteria_strictness_audit + trajectory_stability_audit, closeout_followups writes the _full variant, generate-fig-completion-paradox.py reads one, and results-significance.md + CLAIMS B3/B6 cite them. The next pipeline run silently undoes the archival — it has already cycled once (archived copies carry post-archival regeneration mtimes).","git status 5 D + 5 ?? pairs; gap_analysis.py:139,210; dual_spearman.py:315-316; generate-fig-completion-paradox.py:51; results-significance.md:70,201,304.","Pick one: retire the writers (and update the citing docs/claims), or keep the tables canonical and revert the archival.","","","","","","","","","","","","",""
"A12","MODERATE","working tree hygiene","Three regenerated analysis CSVs are spreadsheet-mangled in the working tree","accuracy_by_prompt_type.csv, binding_accuracy_corr.csv, binding_vs_accuracy.csv (mtime 18:17, uncommitted) were re-saved by a spreadsheet app after the 14:10 pipeline run: every field quoted, CRLF, padded to 20 columns with 12-16 empty trailing columns, and blank-row padding to a ~200-row grid (binding_accuracy_corr.csv is 199 lines for a 3-row table). Numeric content is identical to HEAD (verified cell-by-cell, max diff 0.0), but pandas now returns 'Unnamed' columns and NaN rows, ints parse as floats, and the git diff is pure noise.","head of binding_accuracy_corr.csv shows quoted empty-column padding; wc -l 199 vs 4 at HEAD; merged current-vs-HEAD on keys: all shared values identical.","git checkout -- the three files (or re-run save_tables); avoid saving from the spreadsheet app.","","","","","","","","","","","","",""
"A13","MODERATE","paper vs data","Fluent-wrongness numbers in §5 are stale against the regenerated CSV","§5 inks the penalty sequence 0.97→0.63→0.64→0.29→0.07(6.9B)→0.32(12B), GPT-2 0.68→0.56→0.13→0.07. Current fluent_wrongness.csv (committed, n_access_incorrect expanded to 21-40 per cell): Pythia 1.17/0.72/0.70/0.41/0.33/0.53, GPT-2 0.74/0.52/0.29/0.09. Direction survives (non-negative, shrinking, 12B rebound) but every magnitude — including the headline '0.07 nats at 6.9B' — is wrong.","results/analysis/fluent_wrongness.csv vs git 3e60191^ (old file matches the paper exactly).","Re-ink §5 from the current file.","","","","","","","","","","","","",""
"A14","MODERATE","paper vs data","§4 still describes the 11-compound binding sweep; the consolidated 227-compound battery (13 models, 3 families) is unrepresented; all four figures are stale and one generator is broken","DECISIONS 2026-08-08 records the 227-compound / 5-domain consolidation, and results/binding holds verified trees for 13 models including three OLMo models. §4 still says 'eleven-compound sweep' and keys head statistics to it ('top binder for 7 of 11 compounds'). paper/figures/*.png are all Jun 27; their generators read tables regenerated or deleted this week, and generate-fig-completion-paradox.py fails outright (input deleted, see A3). Re-running the gap figure would contradict §2's current prose (see A2).","paper/sections/04 lines 3,9; ls -la paper/figures (Jun 27); generator Reads: headers vs current results/analysis contents.","Rewrite §4 from the consolidated battery (binding_accuracy_corr now spans 196/294/147 pairs), then regenerate all four figures after the A2/A3 decisions land.","","","","","","","","","","","","",""
"A15","MODERATE","naming/consistency","Binding battery names the largest Pythia checkpoint 'pythia-13b'; elicitation/entropy call the same checkpoint 'pythia-12b'","results/binding/pythia/pythia-13b/ (directory, filenames, manifest 'Model name: pythia-13b', CSV model column) uses a name that does not exist in the Pythia suite; the manifest's own parameter count (11845.4M) identifies pythia-12b. Cross-battery joins survive only because analysis.py hardcodes a special case mapping pythia-13b → scale 12e9 and joins on (suite, scale, compound), never on model. Any model-column join, per-model listing, or paper model table will treat them as different models. docs/directory-structure.md inks the pythia-13b path.","pythia-13b-binding.md 'Params: 11845.4M'; CSV model column ['pythia-13b']; analysis.py:118-119.","Rename the directory/files/manifest/model column to pythia-12b and drop the analysis.py special case.","","","","","","","","","","","","",""
"A16","MODERATE","results completeness","Entropy battery gaps: pythia-1b has 1 of 5 domains and no new-style manifest; gpt2-small duplicates the rerun gpt2 dir; 13 legacy schema-drifted CSVs coexist","results/entropy/pythia/pythia-1b/ has only the accessibility domain from the new run (plus a legacy 92-row entropy.csv and a legacy stub .md); every other model has all 5 domains with expected==written==actual manifests. results/entropy/gpt2/gpt2-small/ holds only legacy files for the same 124M checkpoint whose complete new run lives in results/entropy/gpt2/gpt2/. The 13 legacy *-entropy.csv files lack the 'domain' column; analysis.py skips them only because 'entropy' fails domain extraction — a load-bearing accident, undocumented.","Directory listings; per-domain pivot shows NaN for pythia-1b control/finance/legal/medical; schema scan: 2 distinct column tuples, domain-less one exactly in the 13 legacy files.","Run the 4 missing pythia-1b domains (or document the gap); delete/archive gpt2-small and the legacy CSVs, or add an explicit skip rule.","","","","","","","","","","","","",""
"A17","MODERATE","provenance","OLMo provenance is misfiled and incomplete: 1B commit-sha files inside the 7B elicitation dir; no binding or elicitation manifest records a checkpoint revision","results/elicitation/olmo/OLMo-2-1124-7B/ contains OLMo-2-0425-1B-commit-sha.md and commit-sha-OLMo-2-0425-1B.md (both recording the 1B pin, stage1-step1907359) plus a truncated commit-sha-OLMo-2-1124-7B.md with no Revision/SHA lines. The CSVs themselves are clean (model column verified). Meanwhile none of the three binding or three elicitation OLMo manifests contains a Revision line — although manifest.py supports revision= and the entropy manifests record it — so the binding runs' checkpoints are recorded nowhere. For a revision-pinned scale series this is essential provenance. (The notebooks are now fixed; the stale files predate the fix and the batteries have not been re-run.)","File contents printed; grep -i revision: 0 hits in binding/elicitation manifests, 2 each in entropy manifests. OLMo-2-0425-1B/ also carries a redundant legacy .md.","Delete the misfiled/truncated sidecar files; backfill Revision into the six manifests from the notebook pins (or re-emit manifests).","","","","","","","","","","","","",""
"A18","MODERATE","code robustness","Latent frequency-pipeline bugs: Infini-gram failure sentinel (-1) would flow into Spearman as a real value; cond_prob==0.0 becomes None; partial-correlation controls dropped from the per-suite path","query_infinigram returns count=-1 after exhausted retries; build_frequency_table does not screen it — a -1 would produce a negative conditional probability and enter the Spearman ranking as the minimum rank (dropna doesn't catch it). 'round(cond_prob,6) if cond_prob else None' maps a legitimate 0.0 to None. Latent this run (0 negatives on disk; the notebook log shows 4 consecutive rate-limit waits — one more 403 would have written -1). Also, frequency_accuracy_correlation computes only raw Spearmans but its docstring calls word1_spearman a 'partial-correlation control', and the refactor spec's 'keep partial correlations for constituent frequency and tokenization length' is implemented only in dual_spearman, not in the per-suite path. Separately, run_binding_sweep's default arg is a guaranteed crash (unpacks five domain-name strings as 4-tuples) and its suite inference would file OLMo under results/gpt2/ — dead code advertised by the module docstring.","frequency.py:625-650, 693-716, 745-768; notebook stdout rate-limit lines; binding.py:340-379 + docstring line 8 (importers verified: only find_token_index/run_single_compound are consumed).","Screen count<0 to NaN before writing; use 'is not None' for the cond_prob guard; fix or delete run_binding_sweep and its docstring advertisement.","","","","","","","","","","","","",""
"A19","MINOR","stale artifacts","Superseded frequency-era artifacts leave four different 'pythia primary rho' values on disk","results/frequency/ simultaneously offers pythia rho = 0.5289 (spearman_accuracy.csv, 07-29, only file using suite label 'olmo2-1b'), 0.5715 (spearman_pmi_robustness.csv, 07-04 — the value the paper still cites), 0.5785 (git-HEAD summary) and 0.5875 (current battery), plus the demoted trajectory-era merges (gpt2/pythia_frequency_trajectory.csv) the refactor doc said to archive. Each stale file is one confused citation away from a wrong number.","mtimes and values read from each file.","Archive spearman_accuracy.csv, the trajectory CSVs, and (after re-inking §3) regenerate or retire spearman_pmi_robustness.csv.","","","","","","","","","","","","",""
"A20","MINOR","src hygiene","Obsolete src/ modules (precise list) plus stale __pycache__ and a redundant data/backup.py","Dead code with zero live consumers, superseded: elicitation.py and entropy.py (load nonexistent data/all_prompts.yml; entropy.py writes the pre-reorg layout and can't route OLMo), decompose.py, heads.py, logit_lens.py, perplexity.py, probe.py + models.py (probe is models' only importer), viz.py, tangent_byte_compare.py, logit_export.py. KEEP despite zero imports: dual_spearman.py and closeout_followups.py (run-as-script entry points; dual_spearman actively regenerated this week's battery), d6_multihead_ablation.py / d7_token_ban.py / d8_frequency_prior.py (cited as evidence in CLAIMS/DECISIONS — reproducibility). Stale bytecode: __pycache__/tl2_olmo2_adapter.cpython-311.pyc has no matching .py (renamed to tl217_olmo2_adapter). data/backup.py duplicates four src/binding.py arrays byte-identically — redundant now that data/binding/*.yaml is canonical. NOT duplicates: top-level data/*.yaml are the elicitation/entropy PROMPT files (key 'prompts'), a different artifact from data/binding/*.yaml (key 'compounds') — do not delete.","Import graph over all main-tree notebooks + src cross-imports + paper scripts; ast comparison backup.py vs binding.py (44/44/42/44 tuple-identical); pycache stem diff.","Delete the dead modules (git history preserves them), the orphan .pyc, and data/backup.py; add a comment to dual_spearman/closeout_followups noting they are __main__ entry points.","","","","","","","","","","","","",""
"A21","MINOR","docs integrity","~14 documentation pointers in CLAIMS.md/DECISIONS.md resolve to nothing; DECISIONS has two entries labeled D7; appendix table placeholder still unpopulated","Unresolvable in the canonical tree: binding-reframe-draft.md, coding-criteria-draft.md, lexical-head-l29h7.ipynb, 2026-06-29-multihead-lexical-ablation-design.md, results/paper1-replication/, blind-study/, data/all_prompts.yml, results/lexical-head-results.md (actually at docs/findings/), results/pythia/*-entropy.csv, expansion-results paths, completion_paradox.csv and trajectory_stability_audit.csv (deleted this week while B3/B6 and §3/§9 still cite their results), notebooks/mlp.ipynb, D6/D8 output CSVs. '## D7 — Binding battery consolidated across domains (2026-08-08)' collides with the pre-existing '## D7 — Single-token-ban counterfactual' (CLAIMS A2/C6/D7 mean the token-ban one). paper/sections/11-appendix.md still carries the '<!-- TABLE PLACEHOLDER -->' whose source CSV is archived (see A10).","Existence test on every backtick path in both docs (28 tested, 14 unresolvable); grep '^## ' DECISIONS.md lines 7 and 156.","Renumber the new DECISIONS entry (e.g. D9), fix or annotate each dangling pointer, populate or remove the appendix placeholder.","","","","","","","","","","","","",""
"A22","MINOR","presentation","p-values print as 0.0 in spearman_summary; pythia and gpt2 redundantly re-query the identical Pile index","frequency_accuracy_correlation rounds p to 4 decimals, so a true p≈1e-6 ships as '0.0' — reviewer bait. The notebook's SUITE_INDEX maps pythia and gpt2 to the same v4_piletrain_llama index and re-runs the full Infini-gram query loop for each (verified byte-identical counts, 49/49), doubling runtime and API load for no information.","spearman_summary.csv 'olmo,bigram_spearman,0.5823,0.0'; frequency.py:768; 0/49 count mismatches between the pythia and gpt2 merge files.","Format p scientifically; cache per index.","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
