model,prompt,layer,attn_norm,mlp_norm,mlp_attn_ratio,resid_norm,layer_frac
gpt2-xl,skip_link,30,10.12582,33.322029,3.2908,232.147491,0.6383
gpt2-xl,skip_link,31,13.824567,35.989548,2.6033,249.509079,0.6596
gpt2-xl,skip_link,32,17.218252,35.942062,2.0874,271.017792,0.6809
gpt2-xl,skip_link,33,15.764627,36.263355,2.3003,285.30722,0.7021
gpt2-xl,skip_link,34,23.677223,38.188137,1.6129,305.536285,0.7234
gpt2-xl,skip_link,35,17.829275,41.391865,2.3216,322.744629,0.7447
gpt2-xl,skip_link,36,12.76403,44.803085,3.5101,341.116516,0.766
gpt2-xl,skip_link,37,15.898636,38.805939,2.4408,361.419556,0.7872
gpt2-xl,skip_link,38,19.170918,43.007301,2.2434,376.454132,0.8085
gpt2-xl,skip_link,39,22.308445,45.431335,2.0365,396.12619,0.8298
gpt2-xl,skip_link,40,19.977346,44.818577,2.2435,421.47995,0.8511
gpt2-xl,skip_link,41,22.692287,48.889137,2.1544,450.141754,0.8723
gpt2-xl,skip_link,42,31.142191,51.066612,1.6398,462.1091,0.8936
gpt2-xl,skip_link,43,26.260437,68.907448,2.624,505.253998,0.9149
gpt2-xl,skip_link,44,39.782768,107.096657,2.692,590.11853,0.9362
gpt2-xl,skip_link,45,57.255943,111.631248,1.9497,704.043274,0.9574
gpt2-xl,skip_link,46,52.547565,69.637062,1.3252,782.740723,0.9787
gpt2-xl,skip_link,47,42.413769,41.724724,0.9838,815.438416,1.0
gpt2-xl,color_contrast,0,0.975126,27.495914,28.1973,27.652199,0.0
gpt2-xl,color_contrast,1,6.737976,21.246572,3.1533,49.462383,0.0213
gpt2-xl,color_contrast,2,7.680661,8.429279,1.0975,58.486069,0.0426
gpt2-xl,color_contrast,3,7.628757,8.199097,1.0748,65.633125,0.0638
gpt2-xl,color_contrast,4,6.468153,8.827164,1.3647,69.053459,0.0851
gpt2-xl,color_contrast,5,6.738408,8.597099,1.2758,71.135628,0.1064
gpt2-xl,color_contrast,6,6.543997,8.922748,1.3635,72.437645,0.1277
gpt2-xl,color_contrast,7,8.147299,10.741784,1.3184,74.858589,0.1489
gpt2-xl,color_contrast,8,7.102181,9.33082,1.3138,76.81176,0.1702
gpt2-xl,color_contrast,9,5.642598,10.655532,1.8884,79.550438,0.1915
gpt2-xl,color_contrast,10,6.697979,11.391745,1.7008,81.779778,0.2128
gpt2-xl,color_contrast,11,8.977705,13.358169,1.4879,85.5924,0.234
gpt2-xl,color_contrast,12,6.931061,12.499735,1.8034,88.717278,0.2553
gpt2-xl,color_contrast,13,9.114263,13.267822,1.4557,93.305588,0.2766
gpt2-xl,color_contrast,14,10.370532,14.223143,1.3715,98.947403,0.2979
gpt2-xl,color_contrast,15,7.699342,12.250123,1.5911,101.991592,0.3191
gpt2-xl,color_contrast,16,7.855266,13.430058,1.7097,104.266731,0.3404
gpt2-xl,color_contrast,17,10.3081,15.719109,1.5249,107.929916,0.3617
gpt2-xl,color_contrast,18,10.952524,18.820475,1.7184,114.297104,0.383
gpt2-xl,color_contrast,19,11.613349,20.919725,1.8014,121.101433,0.4043
gpt2-xl,color_contrast,20,10.433853,22.316908,2.1389,128.290314,0.4255
gpt2-xl,color_contrast,21,14.070776,23.665152,1.6819,136.616272,0.4468
gpt2-xl,color_contrast,22,14.429404,25.633488,1.7765,146.061401,0.4681
gpt2-xl,color_contrast,23,12.398305,22.60318,1.8231,150.338135,0.4894
gpt2-xl,color_contrast,24,14.917059,22.872046,1.5333,159.068268,0.5106
gpt2-xl,color_contrast,25,16.953329,25.677492,1.5146,169.255157,0.5319
gpt2-xl,color_contrast,26,15.522717,27.090267,1.7452,180.519058,0.5532
gpt2-xl,color_contrast,27,11.910621,30.839851,2.5893,191.85199,0.5745
gpt2-xl,color_contrast,28,15.084185,33.219013,2.2022,206.188156,0.5957
gpt2-xl,color_contrast,29,19.247013,33.361736,1.7333,222.704346,0.617
gpt2-xl,color_contrast,30,16.847818,32.911903,1.9535,234.612717,0.6383
gpt2-xl,color_contrast,31,14.990925,34.224819,2.283,250.386398,0.6596
gpt2-xl,color_contrast,32,23.955994,40.102013,1.674,275.281952,0.6809
gpt2-xl,color_contrast,33,13.632977,36.199478,2.6553,289.438477,0.7021
gpt2-xl,color_contrast,34,21.116411,39.034439,1.8485,305.340546,0.7234
gpt2-xl,color_contrast,35,20.527138,42.335678,2.0624,324.360687,0.7447
gpt2-xl,color_contrast,36,12.824193,49.204685,3.8369,348.411346,0.766
gpt2-xl,color_contrast,37,16.747076,51.632736,3.0831,374.491394,0.7872
gpt2-xl,color_contrast,38,19.923929,51.03904,2.5617,398.021057,0.8085
gpt2-xl,color_contrast,39,16.262812,48.150852,2.9608,415.544189,0.8298
gpt2-xl,color_contrast,40,23.113928,50.786308,2.1972,439.31427,0.8511
gpt2-xl,color_contrast,41,12.723307,45.947983,3.6113,457.654663,0.8723
gpt2-xl,color_contrast,42,24.081631,52.725071,2.1894,484.009674,0.8936
gpt2-xl,color_contrast,43,24.27722,64.339539,2.6502,519.7677,0.9149
gpt2-xl,color_contrast,44,38.363392,107.324501,2.7976,598.939636,0.9362
gpt2-xl,color_contrast,45,61.896633,135.001816,2.1811,734.098877,0.9574
gpt2-xl,color_contrast,46,58.272556,83.387558,1.431,829.067688,0.9787
gpt2-xl,color_contrast,47,34.503395,56.859707,1.6479,861.980103,1.0
