prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
hypo_alt_text_socratic_001,alt text,hypothesis,socratic,A screen reader is software that reads text aloud. Why would a screen reader fail to describe this tag: <img src='chart.svg'>?,31,3.6565,3.8658,8.1282,0.337,EleutherAI/pythia-160m
valid_alt_text_direct_001,alt text,validation,direct_question,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,2.855,3.9885,8.0859,0.0017,EleutherAI/pythia-160m
valid_alt_text_instruction_001,alt text,validation,instruction,What accessibility attribute is missing from this HTML: <img src='photo.jpg'>?,19,3.9244,3.7106,6.6424,1.1171,EleutherAI/pythia-160m
valid_screen_reader_socratic_001,screen reader,validation,socratic,A screen reader is software that reads text aloud. Why would it fail to describe <img src='chart.svg'>?,26,3.5885,4.1786,8.1282,1.1041,EleutherAI/pythia-160m
valid_aria_confab_001,ARIA,validation,cloze,ARIA stands for,5,5.4638,5.9374,6.3768,3.0195,EleutherAI/pythia-160m
valid_html_confab_001,HTML,validation,cloze,HTML stands for,4,4.4787,5.1901,6.068,1.0885,EleutherAI/pythia-160m
ctrl_cc_cloze_001,closed captions,control,cloze,Closed captions display,5,4.9752,6.9008,6.9008,1.5157,EleutherAI/pythia-160m
ctrl_contrast_cloze_001,color contrast,control,cloze,Color contrast is important because,6,4.2999,3.315,6.068,1.8556,EleutherAI/pythia-160m
ctrl_title_cloze_001,page title,control,cloze,A page title describes,5,5.1892,3.3203,8.1282,3.3203,EleutherAI/pythia-160m
ctrl_cc_direct_001,closed captions,control,direct_question,What are closed captions?,7,3.5028,3.2798,7.1967,0.6802,EleutherAI/pythia-160m
ctrl_contrast_direct_001,color contrast,control,direct_question,What is color contrast?,6,3.6852,1.7522,6.068,1.7522,EleutherAI/pythia-160m
ctrl_title_direct_001,page title,control,direct_question,What is a page title?,7,4.0433,2.0653,8.66,1.2784,EleutherAI/pythia-160m
ctrl_cc_instruction_001,closed captions,control,instruction,Explain closed captions to a web developer.,11,4.8273,3.1145,7.2187,2.9608,EleutherAI/pythia-160m
ctrl_contrast_instruction_001,color contrast,control,instruction,Explain color contrast to a web developer.,10,5.1348,2.8336,7.1808,2.8336,EleutherAI/pythia-160m
ctrl_title_instruction_001,page title,control,instruction,Explain page titles to a web developer.,10,4.8428,3.0158,7.0808,2.8573,EleutherAI/pythia-160m
ctrl_cc_evaluative_001,closed captions,control,evaluative,A video without closed captions is not accessible because,11,4.4949,3.6642,8.1282,0.1841,EleutherAI/pythia-160m
ctrl_contrast_evaluative_001,color contrast,control,evaluative,Text with low color contrast is not accessible because,10,5.3449,3.8555,7.9797,3.3723,EleutherAI/pythia-160m
ctrl_title_evaluative_001,page title,control,evaluative,A web page without a title is not accessible because,11,4.7724,2.936,8.1282,2.8055,EleutherAI/pythia-160m
ctrl_cc_scenario_001,closed captions,control,scenario,"A deaf user is watching a video on a website. Without closed captions, the user",19,3.9717,3.3539,8.1282,0.2485,EleutherAI/pythia-160m
ctrl_contrast_scenario_001,color contrast,control,scenario,A low vision user visits a website with poor color contrast. The user,15,4.7563,4.5782,8.1282,3.1755,EleutherAI/pythia-160m
ctrl_title_scenario_001,page title,control,scenario,A screen reader user navigates to a web page with no title. The user,17,4.3616,4.459,8.1282,0.0722,EleutherAI/pythia-160m
ctrl_bicycle_cloze_001,bicycle,control,cloze,A bicycle is used for,6,4.9136,4.6812,8.1282,1.8812,EleutherAI/pythia-160m
ctrl_bicycle_direct_001,bicycle,control,direct_question,What is a bicycle?,6,4.3507,2.0582,8.66,2.0582,EleutherAI/pythia-160m
ctrl_bicycle_instruction_001,bicycle,control,instruction,Explain bicycles to a web developer.,10,4.5287,3.0612,6.8205,1.7698,EleutherAI/pythia-160m
ctrl_bicycle_evaluative_001,bicycle,control,evaluative,A bicycle without brakes is not safe because,9,4.723,2.8159,8.1282,2.8159,EleutherAI/pythia-160m
ctrl_bicycle_scenario_001,bicycle,control,scenario,"A child is riding a bicycle on a busy street. Without a helmet, the child",18,4.5121,3.9605,8.1282,1.7968,EleutherAI/pythia-160m
