model,prompt,layer,rank,token,logit
gpt2-large,color_contrast,13,1,we,16.366
gpt2-large,color_contrast,13,2,otherwise,16.216
gpt2-large,color_contrast,13,3,people,16.043
gpt2-large,color_contrast,13,4,many,15.839
gpt2-large,color_contrast,14,0,they,19.181
gpt2-large,color_contrast,14,1,often,17.864
gpt2-large,color_contrast,14,2,survival,17.761
gpt2-large,color_contrast,14,3,many,17.669
gpt2-large,color_contrast,14,4,it,17.628
gpt2-large,color_contrast,15,0,survival,19.445
gpt2-large,color_contrast,15,1,they,19.394
gpt2-large,color_contrast,15,2,often,19.249
gpt2-large,color_contrast,15,3,many,19.223
gpt2-large,color_contrast,15,4,it,18.812
gpt2-large,color_contrast,16,0,survival,23.598
gpt2-large,color_contrast,16,1,otherwise,21.927
gpt2-large,color_contrast,16,2,scientists,21.803
gpt2-large,color_contrast,16,3,often,21.579
gpt2-large,color_contrast,16,4,they,21.502
gpt2-large,color_contrast,17,0,survival,26.502
gpt2-large,color_contrast,17,1,otherwise,24.692
gpt2-large,color_contrast,17,2,they,23.928
gpt2-large,color_contrast,17,3,it,23.452
gpt2-large,color_contrast,17,4,we,23.406
gpt2-large,color_contrast,18,0,it,27.623
gpt2-large,color_contrast,18,1,survival,27.381
gpt2-large,color_contrast,18,2,otherwise,27.119
gpt2-large,color_contrast,18,3,they,26.116
gpt2-large,color_contrast,18,4,we,25.68
gpt2-large,color_contrast,19,0,otherwise,30.596
gpt2-large,color_contrast,19,1,it,28.799
gpt2-large,color_contrast,19,2,dynamic,28.2
gpt2-large,color_contrast,19,3,survival,27.563
gpt2-large,color_contrast,19,4,they,27.218
gpt2-large,color_contrast,20,0,it,35.636
gpt2-large,color_contrast,20,1,otherwise,34.605
gpt2-large,color_contrast,20,2,we,30.194
gpt2-large,color_contrast,20,3,often,29.766
gpt2-large,color_contrast,20,4,they,29.671
gpt2-large,color_contrast,21,0,it,43.91
gpt2-large,color_contrast,21,1,otherwise,36.907
gpt2-large,color_contrast,21,2,we,34.003
gpt2-large,color_contrast,21,3,often,33.096
gpt2-large,color_contrast,21,4,consumers,33.037
gpt2-large,color_contrast,22,0,it,52.833
gpt2-large,color_contrast,22,1,otherwise,41.067
gpt2-large,color_contrast,22,2,we,39.644
gpt2-large,color_contrast,22,3,many,37.577
gpt2-large,color_contrast,22,4,often,37.507
gpt2-large,color_contrast,23,0,it,59.549
gpt2-large,color_contrast,23,1,we,45.228
gpt2-large,color_contrast,23,2,otherwise,44.461
gpt2-large,color_contrast,23,3,many,43.43
gpt2-large,color_contrast,23,4,often,43.372
gpt2-large,color_contrast,24,0,it,67.197
gpt2-large,color_contrast,24,1,we,50.494
gpt2-large,color_contrast,24,2,otherwise,48.477
gpt2-large,color_contrast,24,3,humans,47.486
gpt2-large,color_contrast,24,4,many,47.331
gpt2-large,color_contrast,25,0,it,74.809
gpt2-large,color_contrast,25,1,we,56.368
gpt2-large,color_contrast,25,2,many,53.962
gpt2-large,color_contrast,25,3,humans,53.019
gpt2-large,color_contrast,25,4,visual,52.287
gpt2-large,color_contrast,26,0,it,86.157
gpt2-large,color_contrast,26,1,we,65.449
gpt2-large,color_contrast,26,2,color,64.188
gpt2-large,color_contrast,26,3,many,63.377
gpt2-large,color_contrast,26,4,humans,62.751
gpt2-large,color_contrast,27,0,it,99.612
gpt2-large,color_contrast,27,1,color,75.465
gpt2-large,color_contrast,27,2,we,74.776
gpt2-large,color_contrast,27,3,many,71.379
gpt2-large,color_contrast,27,4,humans,71.097
gpt2-large,color_contrast,28,0,it,108.873
gpt2-large,color_contrast,28,1,color,90.112
gpt2-large,color_contrast,28,2,colors,84.221
gpt2-large,color_contrast,28,3,we,83.725
gpt2-large,color_contrast,28,4,visual,82.552
gpt2-large,color_contrast,29,0,it,129.158
gpt2-large,color_contrast,29,1,color,104.938
gpt2-large,color_contrast,29,2,colors,98.133
gpt2-large,color_contrast,29,3,we,91.711
gpt2-large,color_contrast,29,4,visual,90.795
gpt2-large,color_contrast,30,0,it,143.198
gpt2-large,color_contrast,30,1,color,121.606
gpt2-large,color_contrast,30,2,colors,114.758
gpt2-large,color_contrast,30,3,we,104.263
gpt2-large,color_contrast,30,4,different,100.461
gpt2-large,color_contrast,31,0,it,159.207
gpt2-large,color_contrast,31,1,color,143.161
gpt2-large,color_contrast,31,2,colors,131.327
gpt2-large,color_contrast,31,3,we,117.375
gpt2-large,color_contrast,31,4,light,116.871
gpt2-large,color_contrast,32,0,it,172.603
gpt2-large,color_contrast,32,1,color,159.719
gpt2-large,color_contrast,32,2,colors,146.716
gpt2-large,color_contrast,32,3,light,127.633
gpt2-large,color_contrast,32,4,we,127.361
gpt2-large,color_contrast,33,0,it,183.545
gpt2-large,color_contrast,33,1,color,166.249
gpt2-large,color_contrast,33,2,colors,151.718
gpt2-large,color_contrast,33,3,the,144.233
gpt2-large,color_contrast,33,4,we,142.234
gpt2-large,color_contrast,34,0,it,182.261
gpt2-large,color_contrast,34,1,color,165.54
gpt2-large,color_contrast,34,2,the,151.51
gpt2-large,color_contrast,34,3,colors,149.754
gpt2-large,color_contrast,34,4,we,148.163
gpt2-large,color_contrast,35,0,it,187.957
gpt2-large,color_contrast,35,1,color,167.522
gpt2-large,color_contrast,35,2,the,156.955
gpt2-large,color_contrast,35,3,we,153.278
gpt2-large,color_contrast,35,4,of,152.23
