model,prompt,layer,rank,token,logit
pythia-12b,skip_link,21,2,the,68.226
pythia-12b,skip_link,21,3,generally,66.348
pythia-12b,skip_link,21,4,used,64.983
pythia-12b,skip_link,22,0,a,94.306
pythia-12b,skip_link,22,1,an,87.111
pythia-12b,skip_link,22,2,the,72.578
pythia-12b,skip_link,22,3,generally,69.95
pythia-12b,skip_link,22,4,used,69.091
pythia-12b,skip_link,23,0,a,98.695
pythia-12b,skip_link,23,1,an,91.865
pythia-12b,skip_link,23,2,the,73.078
pythia-12b,skip_link,23,3,generally,72.477
pythia-12b,skip_link,23,4,used,67.885
pythia-12b,skip_link,24,0,a,103.853
pythia-12b,skip_link,24,1,an,97.023
pythia-12b,skip_link,24,2,generally,74.703
pythia-12b,skip_link,24,3,the,74.16
pythia-12b,skip_link,24,4,used,71.788
pythia-12b,skip_link,25,0,a,113.161
pythia-12b,skip_link,25,1,an,105.547
pythia-12b,skip_link,25,2,generally,79.908
pythia-12b,skip_link,25,3,used,79.679
pythia-12b,skip_link,25,4,the,78.337
pythia-12b,skip_link,26,0,a,122.591
pythia-12b,skip_link,26,1,an,112.961
pythia-12b,skip_link,26,2,the,85.006
pythia-12b,skip_link,26,3,used,84.528
pythia-12b,skip_link,26,4,one,83.542
pythia-12b,skip_link,27,0,a,124.545
pythia-12b,skip_link,27,1,an,115.266
pythia-12b,skip_link,27,2,used,86.296
pythia-12b,skip_link,27,3,the,86.056
pythia-12b,skip_link,27,4,generally,85.675
pythia-12b,skip_link,28,0,a,124.482
pythia-12b,skip_link,28,1,an,114.121
pythia-12b,skip_link,28,2,used,91.909
pythia-12b,skip_link,28,3,generally,87.599
pythia-12b,skip_link,28,4,the,86.008
pythia-12b,skip_link,29,0,a,131.631
pythia-12b,skip_link,29,1,an,120.348
pythia-12b,skip_link,29,2,used,96.462
pythia-12b,skip_link,29,3,one,93.43
pythia-12b,skip_link,29,4,the,91.278
pythia-12b,skip_link,30,0,a,132.428
pythia-12b,skip_link,30,1,an,119.862
pythia-12b,skip_link,30,2,used,95.72
pythia-12b,skip_link,30,3,one,95.034
pythia-12b,skip_link,30,4,the,92.713
pythia-12b,skip_link,31,0,a,135.332
pythia-12b,skip_link,31,1,an,121.839
pythia-12b,skip_link,31,2,one,99.101
pythia-12b,skip_link,31,3,used,98.49
pythia-12b,skip_link,31,4,the,97.431
pythia-12b,skip_link,32,0,a,137.295
pythia-12b,skip_link,32,1,an,117.342
pythia-12b,skip_link,32,2,one,100.178
pythia-12b,skip_link,32,3,the,99.27
pythia-12b,skip_link,32,4,used,96.753
pythia-12b,skip_link,33,0,a,137.103
pythia-12b,skip_link,33,1,an,120.085
pythia-12b,skip_link,33,2,the,104.273
pythia-12b,skip_link,33,3,one,103.419
pythia-12b,skip_link,33,4,generally,96.823
pythia-12b,skip_link,34,0,a,120.553
pythia-12b,skip_link,34,1,an,103.965
pythia-12b,skip_link,34,2,generally,93.965
pythia-12b,skip_link,34,3,the,91.678
pythia-12b,skip_link,34,4,used,90.671
pythia-12b,skip_link,35,0,a,114.592
pythia-12b,skip_link,35,1,an,100.432
pythia-12b,skip_link,35,2,used,96.392
pythia-12b,skip_link,35,3,generally,96.016
pythia-12b,skip_link,35,4,typically,93.615
pythia-12b,color_contrast,0,0,||,12.269
pythia-12b,color_contrast,0,1,===================,10.201
pythia-12b,color_contrast,0,2,---|---|---,9.926
pythia-12b,color_contrast,0,3,====================,9.322
pythia-12b,color_contrast,0,4,==================,9.196
pythia-12b,color_contrast,1,0,||,12.845
pythia-12b,color_contrast,1,1,---|---|---,10.726
pythia-12b,color_contrast,1,2,===================,10.457
pythia-12b,color_contrast,1,3,=================================,10.032
pythia-12b,color_contrast,1,4,====================,9.435
pythia-12b,color_contrast,2,0,||,12.584
pythia-12b,color_contrast,2,1,===================,11.205
pythia-12b,color_contrast,2,2,---|---|---,10.543
pythia-12b,color_contrast,2,3,=================================,10.334
pythia-12b,color_contrast,2,4,==========================,10.229
pythia-12b,color_contrast,3,0,===================,11.973
pythia-12b,color_contrast,3,1,||,11.87
pythia-12b,color_contrast,3,2,======================,11.318
pythia-12b,color_contrast,3,3,=================================,10.378
pythia-12b,color_contrast,3,4,==========================,10.37
pythia-12b,color_contrast,4,0,===================,12.962
pythia-12b,color_contrast,4,1,======================,11.588
pythia-12b,color_contrast,4,2,||,11.493
pythia-12b,color_contrast,4,3,of,10.939
pythia-12b,color_contrast,4,4,====================,10.647
pythia-12b,color_contrast,5,0,======================,12.502
pythia-12b,color_contrast,5,1,===================,12.226
pythia-12b,color_contrast,5,2,of,11.879
pythia-12b,color_contrast,5,3,||,11.485
pythia-12b,color_contrast,5,4,---|---|---,11.122
pythia-12b,color_contrast,6,0,they,12.243
pythia-12b,color_contrast,6,1,of,12.186
pythia-12b,color_contrast,6,2,======,11.054
pythia-12b,color_contrast,6,3,=========================,11.021
pythia-12b,color_contrast,6,4,===================,10.965
pythia-12b,color_contrast,7,0,of,14.407
pythia-12b,color_contrast,7,1,they,14.398
pythia-12b,color_contrast,7,2,many,12.326
pythia-12b,color_contrast,7,3,otherwise,12.126
pythia-12b,color_contrast,7,4,if,11.761
pythia-12b,color_contrast,8,0,they,14.742
pythia-12b,color_contrast,8,1,of,14.64
pythia-12b,color_contrast,8,2,otherwise,14.045
pythia-12b,color_contrast,8,3,many,13.658
pythia-12b,color_contrast,8,4,it,12.426
pythia-12b,color_contrast,9,0,of,15.003
pythia-12b,color_contrast,9,1,many,14.441
pythia-12b,color_contrast,9,2,they,14.422
pythia-12b,color_contrast,9,3,otherwise,13.761
pythia-12b,color_contrast,9,4,it,13.524
pythia-12b,color_contrast,10,0,of,16.85
pythia-12b,color_contrast,10,1,it,15.417
pythia-12b,color_contrast,10,2,many,15.261
pythia-12b,color_contrast,10,3,well,15.07
pythia-12b,color_contrast,10,4,they,14.329
pythia-12b,color_contrast,11,0,of,17.26
pythia-12b,color_contrast,11,1,it,16.757
pythia-12b,color_contrast,11,2,many,16.183
pythia-12b,color_contrast,11,3,often,16.027
pythia-12b,color_contrast,11,4,well,15.788
pythia-12b,color_contrast,12,0,of,20.826
pythia-12b,color_contrast,12,1,it,19.832
pythia-12b,color_contrast,12,2,otherwise,17.329
pythia-12b,color_contrast,12,3,many,17.295
pythia-12b,color_contrast,12,4,top,16.964
pythia-12b,color_contrast,13,0,of,23.781
pythia-12b,color_contrast,13,1,it,22.883
pythia-12b,color_contrast,13,2,many,21.15
pythia-12b,color_contrast,13,3,most,21.055
pythia-12b,color_contrast,13,4,in,20.599
pythia-12b,color_contrast,14,0,of,28.16
pythia-12b,color_contrast,14,1,it,27.999
pythia-12b,color_contrast,14,2,often,26.802
pythia-12b,color_contrast,14,3,many,26.759
pythia-12b,color_contrast,14,4,most,25.078
pythia-12b,color_contrast,15,0,it,32.827
pythia-12b,color_contrast,15,1,of,32.298
pythia-12b,color_contrast,15,2,many,29.647
pythia-12b,color_contrast,15,3,most,29.504
pythia-12b,color_contrast,15,4,in,28.035
pythia-12b,color_contrast,16,0,it,42.271
pythia-12b,color_contrast,16,1,of,37.408
pythia-12b,color_contrast,16,2,most,34.407
pythia-12b,color_contrast,16,3,in,33.623
pythia-12b,color_contrast,16,4,many,33.548
pythia-12b,color_contrast,17,0,it,49.335
pythia-12b,color_contrast,17,1,most,42.071
pythia-12b,color_contrast,17,2,of,41.597
pythia-12b,color_contrast,17,3,the,40.853
pythia-12b,color_contrast,17,4,",",40.662
pythia-12b,color_contrast,18,0,it,59.784
pythia-12b,color_contrast,18,1,most,49.686
pythia-12b,color_contrast,18,2,many,49.123
pythia-12b,color_contrast,18,3,the,48.065
pythia-12b,color_contrast,18,4,",",47.768
pythia-12b,color_contrast,19,0,it,67.455
pythia-12b,color_contrast,19,1,many,57.375
pythia-12b,color_contrast,19,2,most,55.949
pythia-12b,color_contrast,19,3,",",53.934
pythia-12b,color_contrast,19,4,the,53.248
pythia-12b,color_contrast,20,0,it,77.316
pythia-12b,color_contrast,20,1,many,63.359
pythia-12b,color_contrast,20,2,most,61.525
pythia-12b,color_contrast,20,3,",",61.428
pythia-12b,color_contrast,20,4,the,60.659
pythia-12b,color_contrast,21,0,it,88.336
pythia-12b,color_contrast,21,1,many,70.806
pythia-12b,color_contrast,21,2,most,70.234
pythia-12b,color_contrast,21,3,the,69.012
pythia-12b,color_contrast,21,4,",",68.721
pythia-12b,color_contrast,22,0,it,101.486
pythia-12b,color_contrast,22,1,color,78.569
pythia-12b,color_contrast,22,2,many,78.083
pythia-12b,color_contrast,22,3,most,77.034
pythia-12b,color_contrast,22,4,the,76.354
pythia-12b,color_contrast,23,0,it,114.035
pythia-12b,color_contrast,23,1,color,90.492
pythia-12b,color_contrast,23,2,many,86.861
pythia-12b,color_contrast,23,3,most,84.483
pythia-12b,color_contrast,23,4,the,83.28
pythia-12b,color_contrast,24,0,it,124.524
pythia-12b,color_contrast,24,1,color,99.648
pythia-12b,color_contrast,24,2,many,92.059
pythia-12b,color_contrast,24,3,most,92.059
pythia-12b,color_contrast,24,4,the,88.869
pythia-12b,color_contrast,25,0,it,138.418
pythia-12b,color_contrast,25,1,color,111.039
pythia-12b,color_contrast,25,2,many,104.666
pythia-12b,color_contrast,25,3,most,101.651
pythia-12b,color_contrast,25,4,visual,98.318
pythia-12b,color_contrast,26,0,it,146.327
pythia-12b,color_contrast,26,1,color,116.483
pythia-12b,color_contrast,26,2,many,108.625
pythia-12b,color_contrast,26,3,most,105.025
pythia-12b,color_contrast,26,4,visual,103.079
pythia-12b,color_contrast,27,0,it,152.812
pythia-12b,color_contrast,27,1,color,122.689
pythia-12b,color_contrast,27,2,many,112.301
pythia-12b,color_contrast,27,3,most,110.51
pythia-12b,color_contrast,27,4,visual,107.853
pythia-12b,color_contrast,28,0,it,166.62
pythia-12b,color_contrast,28,1,color,128.285
pythia-12b,color_contrast,28,2,most,116.853
pythia-12b,color_contrast,28,3,visual,115.195
pythia-12b,color_contrast,28,4,many,114.974
pythia-12b,color_contrast,29,0,it,170.303
pythia-12b,color_contrast,29,1,most,134.051
pythia-12b,color_contrast,29,2,color,131.849
pythia-12b,color_contrast,29,3,a,121.911
pythia-12b,color_contrast,29,4,many,119.925
pythia-12b,color_contrast,30,0,it,175.428
pythia-12b,color_contrast,30,1,most,137.411
pythia-12b,color_contrast,30,2,color,128.96
pythia-12b,color_contrast,30,3,a,126.052
pythia-12b,color_contrast,30,4,the,123.646
pythia-12b,color_contrast,31,0,it,174.67
pythia-12b,color_contrast,31,1,most,134.258
pythia-12b,color_contrast,31,2,color,130.5
pythia-12b,color_contrast,31,3,a,127.87
pythia-12b,color_contrast,31,4,the,125.606
pythia-12b,color_contrast,32,0,it,169.007
pythia-12b,color_contrast,32,1,most,133.097
pythia-12b,color_contrast,32,2,color,131.845
pythia-12b,color_contrast,32,3,the,129.189
pythia-12b,color_contrast,32,4,a,127.159
pythia-12b,color_contrast,33,0,it,164.142
pythia-12b,color_contrast,33,1,the,128.377
pythia-12b,color_contrast,33,2,most,127.287
pythia-12b,color_contrast,33,3,a,124.929
pythia-12b,color_contrast,33,4,of,124.148
pythia-12b,color_contrast,34,0,it,142.07
pythia-12b,color_contrast,34,1,the,113.302
pythia-12b,color_contrast,34,2,color,109.812
pythia-12b,color_contrast,34,3,we,105.975
pythia-12b,color_contrast,34,4,most,105.871
pythia-12b,color_contrast,35,0,it,134.555
pythia-12b,color_contrast,35,1,color,119.259
pythia-12b,color_contrast,35,2,colors,113.196
pythia-12b,color_contrast,35,3,the,111.924
pythia-12b,color_contrast,35,4,we,109.469
