model,model_key,suite,scale,is_pilot,confirmatory,concept,pair_id,violation_accuracy,conformant_accuracy,violation_correct,conformant_correct,evaluative_pass,strict_item_mean,weighted_item_mean,concept_key,declarative_accuracy,declarative_pass,gap_cell,cell_state
pythia-12b,pythia-12b,pythia,12B,False,True,alt text,alt_text_primary,partial,incorrect,False,False,False,0.0,0.25,alt_text,correct,True,True,declarative_pass_evaluative_fail
pythia-12b,pythia-12b,pythia,12B,False,True,closed captions,captions_primary,partial,incorrect,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
pythia-12b,pythia-12b,pythia,12B,False,True,color contrast,color_contrast_primary,partial,incorrect,False,False,False,0.0,0.25,color_contrast,correct,True,True,declarative_pass_evaluative_fail
pythia-12b,pythia-12b,pythia,12B,False,True,focus indicator,focus_indicator_primary,correct,incorrect,True,False,False,0.5,0.5,focus_indicator,incorrect,False,False,declarative_and_evaluative_fail
pythia-12b,pythia-12b,pythia,12B,False,True,keyboard navigation,keyboard_navigation_primary,partial,incorrect,False,False,False,0.0,0.25,keyboard_navigation,incorrect,False,False,declarative_and_evaluative_fail
pythia-12b,pythia-12b,pythia,12B,False,True,semantic HTML,semantic_html_primary,incorrect,incorrect,False,False,False,0.0,0.0,semantic_html,partial,False,False,declarative_and_evaluative_fail
pythia-12b,pythia-12b,pythia,12B,False,True,skip link,skip_link_primary,correct,partial,True,False,False,0.5,0.75,skip_link,incorrect,False,False,declarative_and_evaluative_fail
pythia-12b,pythia-12b,pythia,12B,False,True,screen reader,screen_reader_primary,incorrect,incorrect,False,False,False,0.0,0.0,screen_reader,correct,True,True,declarative_pass_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,alt text,alt_text_primary,incorrect,partial,False,False,False,0.0,0.25,alt_text,incorrect,False,False,declarative_and_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,closed captions,captions_primary,incorrect,partial,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,color contrast,color_contrast_primary,partial,incorrect,False,False,False,0.0,0.25,color_contrast,partial,False,False,declarative_and_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,focus indicator,focus_indicator_primary,incorrect,incorrect,False,False,False,0.0,0.0,focus_indicator,partial,False,False,declarative_and_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,partial,False,False,False,0.0,0.25,keyboard_navigation,partial,False,False,declarative_and_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,semantic HTML,semantic_html_primary,incorrect,partial,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,skip link,skip_link_primary,incorrect,correct,False,True,False,0.5,0.5,skip_link,incorrect,False,False,declarative_and_evaluative_fail
pythia-160m,pythia-160m,pythia,160M,False,True,screen reader,screen_reader_primary,incorrect,partial,False,False,False,0.0,0.25,screen_reader,partial,False,False,declarative_and_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,alt text,alt_text_primary,partial,incorrect,False,False,False,0.0,0.25,alt_text,partial,False,False,declarative_and_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,closed captions,captions_primary,partial,incorrect,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,color contrast,color_contrast_primary,partial,incorrect,False,False,False,0.0,0.25,color_contrast,partial,False,False,declarative_and_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,focus indicator,focus_indicator_primary,partial,incorrect,False,False,False,0.0,0.25,focus_indicator,incorrect,False,False,declarative_and_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,keyboard navigation,keyboard_navigation_primary,partial,incorrect,False,False,False,0.0,0.25,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,semantic HTML,semantic_html_primary,partial,incorrect,False,False,False,0.0,0.25,semantic_html,incorrect,False,False,declarative_and_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,skip link,skip_link_primary,partial,incorrect,False,False,False,0.0,0.25,skip_link,incorrect,False,False,declarative_and_evaluative_fail
pythia-1b,pythia-1b,pythia,1B,False,True,screen reader,screen_reader_primary,partial,partial,False,False,False,0.0,0.5,screen_reader,correct,True,True,declarative_pass_evaluative_fail
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,alt text,alt_text_primary,incorrect,correct,False,True,False,0.5,0.5,alt_text,correct,True,True,declarative_pass_evaluative_fail
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,closed captions,captions_primary,partial,correct,False,True,False,0.5,0.75,closed_captions,correct,True,True,declarative_pass_evaluative_fail
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,color contrast,color_contrast_primary,incorrect,correct,False,True,False,0.5,0.5,color_contrast,partial,False,False,declarative_and_evaluative_fail
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,focus indicator,focus_indicator_primary,incorrect,correct,False,True,False,0.5,0.5,focus_indicator,incorrect,False,False,declarative_and_evaluative_fail
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,keyboard navigation,keyboard_navigation_primary,partial,incorrect,False,False,False,0.0,0.25,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,semantic HTML,semantic_html_primary,incorrect,correct,False,True,False,0.5,0.5,semantic_html,partial,False,False,declarative_and_evaluative_fail
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,skip link,skip_link_primary,correct,correct,True,True,True,1.0,1.0,skip_link,correct,True,False,declarative_and_evaluative_pass
pythia-2.8b,pythia-2.8b,pythia,2.8B,True,False,screen reader,screen_reader_primary,incorrect,correct,False,True,False,0.5,0.5,screen_reader,correct,True,True,declarative_pass_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,alt text,alt_text_primary,incorrect,partial,False,False,False,0.0,0.25,alt_text,partial,False,False,declarative_and_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,closed captions,captions_primary,incorrect,partial,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,color contrast,color_contrast_primary,incorrect,partial,False,False,False,0.0,0.25,color_contrast,correct,True,True,declarative_pass_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,focus indicator,focus_indicator_primary,incorrect,partial,False,False,False,0.0,0.25,focus_indicator,incorrect,False,False,declarative_and_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,partial,False,False,False,0.0,0.25,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,semantic HTML,semantic_html_primary,incorrect,partial,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,skip link,skip_link_primary,incorrect,partial,False,False,False,0.0,0.25,skip_link,partial,False,False,declarative_and_evaluative_fail
pythia-410m,pythia-410m,pythia,410M,False,True,screen reader,screen_reader_primary,incorrect,incorrect,False,False,False,0.0,0.0,screen_reader,partial,False,False,declarative_and_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,alt text,alt_text_primary,incorrect,partial,False,False,False,0.0,0.25,alt_text,correct,True,True,declarative_pass_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,closed captions,captions_primary,incorrect,partial,False,False,False,0.0,0.25,closed_captions,incorrect,False,False,declarative_and_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,color contrast,color_contrast_primary,incorrect,partial,False,False,False,0.0,0.25,color_contrast,correct,True,True,declarative_pass_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,focus indicator,focus_indicator_primary,incorrect,partial,False,False,False,0.0,0.25,focus_indicator,incorrect,False,False,declarative_and_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,keyboard navigation,keyboard_navigation_primary,incorrect,partial,False,False,False,0.0,0.25,keyboard_navigation,correct,True,True,declarative_pass_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,semantic HTML,semantic_html_primary,incorrect,partial,False,False,False,0.0,0.25,semantic_html,partial,False,False,declarative_and_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,skip link,skip_link_primary,correct,incorrect,True,False,False,0.5,0.5,skip_link,correct,True,True,declarative_pass_evaluative_fail
pythia-6.9b,pythia-6.9b,pythia,6.9B,False,True,screen reader,screen_reader_primary,incorrect,partial,False,False,False,0.0,0.25,screen_reader,correct,True,True,declarative_pass_evaluative_fail
