suite,scale,model,prompt_id,prompt_type,template_type,prompt,output,max_tokens,pair_id,concept,polarity,paired_with,expected,accuracy,strict_score,weighted_score,model_key,is_pilot,confirmatory
gpt2,124M,gpt2,evalp_semantic_html_primary_violation,evaluative_paired,neutral_review,"<div class='heading'>Shipping information</div><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," being in the ""best"" category.</p><p>If you are not satisfied with the product, please contact us.</p><p>We will gladly refund your order for any shipping costs.</p><p>We will not be responsible for any lost or damaged orders.</p><p>We will not be responsible for any lost or damaged orders.</p><p>We will not be responsible for any lost or damaged orders.</p><p>We will not be",100,semantic_html_primary,semantic HTML,violation,decl_semantic_html_001,inaccessible because a visual heading is not marked up as a programmatic heading,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_semantic_html_primary_conformant,evaluative_paired,neutral_review,"<h2>Shipping information</h2><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," being in the ""best possible condition"" for shipping. If you are not satisfied with the product, you may return it for a refund.</p><p>If you are not satisfied with the product, you may return it for a refund.</p><p>If you are not satisfied with the product, you may return it for a refund.</p><p>If you are not satisfied with the product, you may return it for a refund.</p><p>If",100,semantic_html_primary,semantic HTML,conformant,decl_semantic_html_001,accessible with respect to heading semantics; does not claim the heading lacks structure,partial,0,0.5,gpt2,False,True
gpt2,124M,gpt2,evalp_skip_link_primary_violation,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as"," accessible.

The site is designed to be used by users who are not familiar with the site's content. The site is designed to be used by users who are not familiar with the site's content.

The site is designed to be used by users who are not familiar with the site's content.

The site is designed to be used by users who are not familiar with the site's content.

The site is designed to be used by users who are not familiar with",100,skip_link_primary,skip link,violation,decl_skip_link_001,inaccessible because repeated navigation cannot be bypassed,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_skip_link_primary_conformant,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as"," accessible.

The site's navigation menu is a simple, yet powerful way to navigate the web. It's a simple, yet powerful way to navigate the web. It's a simple, yet powerful way to navigate the web.

The site's navigation menu is a simple, yet powerful way to navigate the web. It's a simple, yet powerful way to navigate the web.

The site's navigation menu is a simple, yet powerful way to navigate the web. It's",100,skip_link_primary,skip link,conformant,decl_skip_link_001,accessible with respect to bypassing repeated navigation; does not claim a bypass is missing,correct,1,1.0,gpt2,False,True
gpt2,124M,gpt2,evalp_screen_reader_primary_violation,evaluative_paired,neutral_review,"<main aria-hidden='true'><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as"," being in the ""best"" category.</p></main><p>If you're not sure what to do, check out the ""How to"" section.</p></main><p>If you're not sure what to do, check out the ""How to"" section.</p></main><p>If you're not sure what to do, check out the ""How to"" section.</p></main><p>If you're not sure what to do, check out the ""How",100,screen_reader_primary,screen reader,violation,decl_screen_reader_001,inaccessible because the main content is hidden from screen readers or the accessibility tree,incorrect,0,0.0,gpt2,False,True
gpt2,124M,gpt2,evalp_screen_reader_primary_conformant,evaluative_paired,neutral_review,"<main><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as"," being in the order of priority.</p></main><p>If you are not satisfied with the order, you can return it to us for a refund.</p></main><p>If you are not satisfied with the order, you can return it to us for a refund.</p></main><p>If you are not satisfied with the order, you can return it to us for a refund.</p></main><p>If you are not satisfied with the order, you can return",100,screen_reader_primary,screen reader,conformant,decl_screen_reader_001,accessible with respect to screen-reader exposure; does not claim the main content is hidden,partial,0,0.5,gpt2,False,True
gpt2,774M,gpt2-large,evalp_alt_text_primary_violation,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as", non-accessible. This is because the code is not accessible to the user with a disability. This example is not intended to be used as a guide to accessibility. This example is not intended to be used as a guide to accessibility. This example is not intended to be used as a guide to accessibility. This example is not intended to be used as a guide to accessibility. This example is not intended to be used as a guide to accessibility. This example is not intended to be used as a guide,100,alt_text_primary,alt text,violation,decl_alt_text_001,inaccessible because the image is missing an alt attribute or text alternative,partial,0,0.5,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_alt_text_primary_conformant,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as", non-accessible. This is because the code is not accessible. This example is not intended to be used in a production environment. This example is not intended to be used in a production environment. This example is not intended to be used in a production environment. This example is not intended to be used in a production environment. This example is not intended to be used in a production environment. This example is not intended to be used in a production environment. This example is not intended to be used in,100,alt_text_primary,alt text,conformant,decl_alt_text_001,accessible with respect to the image; does not invent a missing-alt problem,incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_captions_primary_violation,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not accessible"".</p>

<h2>Lecture 5: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as ""not accessible"".</p>

<h2>Lecture 6: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown,",100,captions_primary,closed captions,violation,decl_captions_001,inaccessible because the video has no captions or equivalent text alternative,partial,0,0.5,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_captions_primary_conformant,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", accessible. The code is not accessible because it does not use the <code> and </code> tags. The code is not accessible because it does not use the <code> and </code> tags. The code is not accessible because it does not use the <code> and </code> tags. The code is not accessible because it does not use the <code> and </code> tags. The code is not accessible because it does not use the <code> and </code>,100,captions_primary,closed captions,conformant,decl_captions_001,accessible with respect to captions; does not claim captions are missing,incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_contrast_primary_violation,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," not suitable for children. </p><p>If you are interested in learning more about accessibility, please visit <a href=""http://www.accessibility.org/"">www.accessibility.org</a>.</p><p>If you have any questions, please contact <a href=""mailto:accessibility@accessibility.org"">accessibility@accessibility.org</a>. </p><p>If you are interested in learning more about accessibility, please visit",100,color_contrast_primary,color contrast,violation,decl_color_contrast_001,inaccessible because the text contrast is insufficient,incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_contrast_primary_conformant,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," not suitable for children. </p><p>If you are interested in learning more about accessibility, please visit <a href=""http://www.accessibility.org/"">www.accessibility.org</a>.</p><p>If you have any questions, please contact <a href=""mailto:accessibility@accessibility.org"">accessibility@accessibility.org</a>. </p><p>If you are interested in learning more about accessibility, please visit",100,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,accessible with respect to text contrast; does not claim the contrast is insufficient,partial,0,0.5,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_focus_indicator_primary_violation,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not accessible"".</p>

<p>Based only on the code shown, an accessibility reviewer should mark this example as ""not accessible"".</p>

<p>Based only on the code shown, an accessibility reviewer should mark this example as ""not accessible"".</p>

<p>Based only on the code shown, an accessibility reviewer should mark this example as ""not accessible"".</p>

<p>Based only on the code shown,",100,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,inaccessible because keyboard focus has no visible indicator,partial,0,0.5,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_focus_indicator_primary_conformant,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not accessible"".</p>

<p>Based only on the code shown, an accessibility reviewer should mark this example as ""not accessible"".</p>

<p>Based only on the code shown, an accessibility reviewer should mark this example as ""not accessible"".</p>

<p>Based only on the code shown, an accessibility reviewer should mark this example as ""not accessible"".</p>

<p>Based only on the code shown,",100,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,accessible with respect to visible keyboard focus; does not claim the indicator is missing,incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_keyboard_navigation_primary_violation,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""acceptable"".</p><p>The code is not complete, but it is a good start. The code should be tested and verified to ensure that it is correct. The code should be tested and verified to ensure that it is correct. The code should be tested and verified to ensure that it is correct. The code should be tested and verified to ensure that it is correct. The code should be tested and verified to ensure that it is correct. The code should be tested and verified to ensure",100,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,inaccessible because positive tabindex values override the natural document order; interactive elements should remain in source order rather than being manually numbered,incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_keyboard_navigation_primary_conformant,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""acceptable"".</p><p>The code is valid, but the form is not accessible. Please try again later.</p><p>The code is valid, but the form is not accessible. Please try again later.</p><p>The code is valid, but the form is not accessible. Please try again later.</p><p>The code is valid, but the form is not accessible. Please try again later.</p><p>The code is valid, but the form",100,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,"accessible with respect to tab order; native interactive elements need no tabindex and follow First name, Last name, then Submit in document order",incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_semantic_html_primary_violation,evaluative_paired,neutral_review,"<div class='heading'>Shipping information</div><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not applicable.""</p><p>If you have any questions, please contact us.</p><p>Please note that we cannot ship to PO Boxes or APO/FPO addresses.</p><p>Please note that we cannot ship to PO Boxes or APO/FPO addresses.</p><p>Please note that we cannot ship to PO Boxes or APO/FPO addresses.</p><p>Please note that we cannot ship to PO Boxes or",100,semantic_html_primary,semantic HTML,violation,decl_semantic_html_001,inaccessible because a visual heading is not marked up as a programmatic heading,incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_semantic_html_primary_conformant,evaluative_paired,neutral_review,"<h2>Shipping information</h2><p>Orders ship within two business days.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not applicable"" and the code as ""not applicable"".</p><p>If you have any questions, please contact us.</p><p>Please note that we cannot ship to PO Boxes or APO/FPO addresses.</p><p>Please note that we cannot ship to PO Boxes or APO/FPO addresses.</p><p>Please note that we cannot ship to PO Boxes or APO/FPO addresses.</p><p>Please note that",100,semantic_html_primary,semantic HTML,conformant,decl_semantic_html_001,accessible with respect to heading semantics; does not claim the heading lacks structure,partial,0,0.5,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_skip_link_primary_violation,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as"," accessible.

The site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no way to bypass the menu. Based only on this description, an accessibility reviewer should mark the page as accessible.

The site repeats a 40-link navigation menu at the top of every page. A keyboard user must tab through all 40 links before reaching the main content, and the page provides no",100,skip_link_primary,skip link,violation,decl_skip_link_001,inaccessible because repeated navigation cannot be bypassed,incorrect,0,0.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_skip_link_primary_conformant,evaluative_paired,neutral_review,"A site repeats a 40-link navigation menu at the top of every page. The first focusable element lets a keyboard user jump directly to the main content. Based only on this description, an accessibility reviewer should mark the page as"," accessible.

The first focusable element is a menu item. The menu item is a link to a page that contains the content of the menu. The menu item is a link to a page that contains the content of the menu.

The menu item is a link to a page that contains the content of the menu. The menu item is a link to a page that contains the content of the menu.

The menu item is a link to a page that contains the content of",100,skip_link_primary,skip link,conformant,decl_skip_link_001,accessible with respect to bypassing repeated navigation; does not claim a bypass is missing,correct,1,1.0,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_screen_reader_primary_violation,evaluative_paired,neutral_review,"<main aria-hidden='true'><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not accessible"".</p></a></div>

<div class=""order-status-wrapper""> <div class=""order-status-wrapper-content""> <div class=""order-status-wrapper-content-inner""> <div class=""order-status-wrapper-content-inner-inner""> <div class=""order-status-wrapper-content-inner-inner-inner""> <div class=""order-status-wrapper-content-inner-inner-inner",100,screen_reader_primary,screen reader,violation,decl_screen_reader_001,inaccessible because the main content is hidden from screen readers or the accessibility tree,partial,0,0.5,gpt2-large,False,True
gpt2,774M,gpt2-large,evalp_screen_reader_primary_conformant,evaluative_paired,neutral_review,"<main><h1>Order status</h1><p>Your order has shipped.</p></main><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not ready for prime time"".</p></section><section><h1>Order status</h1><p>Your order has shipped.</p></section><section><h1>Order status</h1><p>Your order has shipped.</p></section><section><h1>Order status</h1><p>Your order has shipped.</p></section><section><h1>Order status</h1><p>Your order has shipped.</p></section><",100,screen_reader_primary,screen reader,conformant,decl_screen_reader_001,accessible with respect to screen-reader exposure; does not claim the main content is hidden,incorrect,0,0.0,gpt2-large,False,True
gpt2,355M,gpt2-medium,evalp_alt_text_primary_violation,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled. This example is intended for use with the <a href=""http://www.w3.org/TR/html4/loose.dtd"">HTML4 Loose DTD</a> specification. It is not intended for use with the <a href=""http://www.w3.org/TR/html4/strict.dtd"">Strict DTD</a> specification.</p><p>This example is intended for use with the <a",100,alt_text_primary,alt text,violation,decl_alt_text_001,inaccessible because the image is missing an alt attribute or text alternative,incorrect,0,0.0,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_alt_text_primary_conformant,evaluative_paired,neutral_review,"<h1>Heavy-Duty Dish Soap</h1><p>Tired of coming home to this?</p><img src='sink.jpg' alt='Sink filled with dirty dishes'><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p><p>This example is disabled by default. To enable it, add the following code to your app's manifest: <uses-permission android:name=""android.permission.INTERNET"" /></p><p>This example is disabled by default. To enable it, add the following code to your app's manifest: <uses-permission android:name=""android.permission.INTERNET"" /></p><p>This example is disabled by default",100,alt_text_primary,alt text,conformant,decl_alt_text_001,accessible with respect to the image; does not invent a missing-alt problem,partial,0,0.5,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_captions_primary_violation,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls></video><p>Based only on the code shown, an accessibility reviewer should mark this example as"," ""not accessible.""</p><p>The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible.",100,captions_primary,closed captions,violation,decl_captions_001,inaccessible because the video has no captions or equivalent text alternative,partial,0,0.5,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_captions_primary_conformant,evaluative_paired,neutral_review,"<h2>Lecture 4: Cell Division</h2><video src='lecture.mp4' controls><track kind='captions' src='lecture.vtt' srclang='en' label='English'></video><p>Based only on the code shown, an accessibility reviewer should mark this example as", 'not accessible'.</p><p>The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible. The code shown is not accessible.,100,captions_primary,closed captions,conformant,decl_captions_001,accessible with respect to captions; does not claim captions are missing,incorrect,0,0.0,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_contrast_primary_violation,evaluative_paired,neutral_review,"<p style='color:#999999; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p><p>This example is disabled by default. To enable it, add the following code to your page: <p style='color:#999999; background:#ffffff'> <a href='javascript:void(0);' onclick='javascript:void(0);'><img src='http://www.google.com/images/download/jsapi/jsapi.gif' alt='Google Chrome' width='600px' height='400px' style",100,color_contrast_primary,color contrast,violation,decl_color_contrast_001,inaccessible because the text contrast is insufficient,incorrect,0,0.0,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_contrast_primary_conformant,evaluative_paired,neutral_review,"<p style='color:#767676; background:#ffffff'>Read our full privacy policy.</p><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p><p>This example is disabled by default. To enable it, add the following code to your page: <p style='color:#767676; background:#ffffff'> <a href='javascript:void(0);' onclick='javascript:void(0);'><img src='http://www.google.com/images/pages/privacy-policy.png' alt='Privacy Policy' width='100%' border='0' /></a",100,color_contrast_primary,color contrast,conformant,decl_color_contrast_001,accessible with respect to text contrast; does not claim the contrast is insufficient,partial,0,0.5,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_focus_indicator_primary_violation,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.

<button class='buy'>Buy now</button><style>.buy:disabled { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as disabled.

<button class='buy'>Buy now</button><style>.buy:disabled:focus { outline: none; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as disabled.

<button",100,focus_indicator_primary,focus indicator,violation,decl_focus_indicator_001,inaccessible because keyboard focus has no visible indicator,partial,0,0.5,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_focus_indicator_primary_conformant,evaluative_paired,neutral_review,"<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled. If you are using this example, please mark it as disabled.</p>

<button class='buy'>Buy now</button><style>.buy:focus { outline: 3px solid #005fcc; outline-offset: 2px; }</style><p>Based only on the code shown, an accessibility reviewer should mark this example as disabled. If you are using this example, please mark it as disabled.</p>

<button class='buy'>Buy",100,focus_indicator_primary,focus indicator,conformant,decl_focus_indicator_001,accessible with respect to visible keyboard focus; does not claim the indicator is missing,partial,0,0.5,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_keyboard_navigation_primary_violation,evaluative_paired,neutral_review,"<form><label>First name <input name='first' tabindex='2'></label><label>Last name <input name='last' tabindex='1'></label><button type='submit' tabindex='3'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p>

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='true' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='false' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can",100,keyboard_navigation_primary,keyboard navigation,violation,decl_keyboard_nav_001,inaccessible because positive tabindex values override the natural document order; interactive elements should remain in source order rather than being manually numbered,incorrect,0,0.0,gpt2-medium,False,True
gpt2,355M,gpt2-medium,evalp_keyboard_navigation_primary_conformant,evaluative_paired,neutral_review,"<form><label>First name <input name='first'></label><label>Last name <input name='last'></label><button type='submit'>Submit</button></form><p>Based only on the code shown, an accessibility reviewer should mark this example as"," disabled.</p>

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='true' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can use the <input type='hidden' name='disabled' value='false' /> tag to indicate that you are disabled.

<p>If you are using a different form, you can",100,keyboard_navigation_primary,keyboard navigation,conformant,decl_keyboard_nav_001,"accessible with respect to tab order; native interactive elements need no tabindex and follow First name, Last name, then Submit in document order",partial,0,0.5,gpt2-medium,False,True
