model,prompt,layer,rank,token,logit
gpt2-medium,color_contrast,3,2,they,39.187
gpt2-medium,color_contrast,3,3,Tat,38.805
gpt2-medium,color_contrast,3,4,taxis,38.18
gpt2-medium,color_contrast,4,0,determining,45.519
gpt2-medium,color_contrast,4,1,atmospheric,44.869
gpt2-medium,color_contrast,4,2,they,42.797
gpt2-medium,color_contrast,4,3,Geographic,42.355
gpt2-medium,color_contrast,4,4,finding,41.734
gpt2-medium,color_contrast,5,0,determining,50.429
gpt2-medium,color_contrast,5,1,finding,45.513
gpt2-medium,color_contrast,5,2,Geographic,44.382
gpt2-medium,color_contrast,5,3,they,44.244
gpt2-medium,color_contrast,5,4,Decision,43.871
gpt2-medium,color_contrast,6,0,determining,52.539
gpt2-medium,color_contrast,6,1,finding,48.534
gpt2-medium,color_contrast,6,2,they,47.451
gpt2-medium,color_contrast,6,3,we,46.443
gpt2-medium,color_contrast,6,4,Tat,46.28
gpt2-medium,color_contrast,7,0,they,54.18
gpt2-medium,color_contrast,7,1,determining,53.216
gpt2-medium,color_contrast,7,2,we,52.53
gpt2-medium,color_contrast,7,3,finding,52.472
gpt2-medium,color_contrast,7,4,taxis,50.151
gpt2-medium,color_contrast,8,0,they,59.597
gpt2-medium,color_contrast,8,1,determining,56.705
gpt2-medium,color_contrast,8,2,we,54.665
gpt2-medium,color_contrast,8,3,finding,54.105
gpt2-medium,color_contrast,8,4,there,54.101
gpt2-medium,color_contrast,9,0,determining,64.851
gpt2-medium,color_contrast,9,1,they,61.42
gpt2-medium,color_contrast,9,2,unlike,59.596
gpt2-medium,color_contrast,9,3,we,59.327
gpt2-medium,color_contrast,9,4,there,58.828
gpt2-medium,color_contrast,10,0,determining,68.714
gpt2-medium,color_contrast,10,1,there,67.11
gpt2-medium,color_contrast,10,2,they,66.495
gpt2-medium,color_contrast,10,3,it,65.753
gpt2-medium,color_contrast,10,4,unlike,63.525
gpt2-medium,color_contrast,11,0,it,70.925
gpt2-medium,color_contrast,11,1,there,70.234
gpt2-medium,color_contrast,11,2,they,69.648
gpt2-medium,color_contrast,11,3,unlike,69.594
gpt2-medium,color_contrast,11,4,often,69.014
gpt2-medium,color_contrast,12,0,it,82.376
gpt2-medium,color_contrast,12,1,often,82.188
gpt2-medium,color_contrast,12,2,they,79.001
gpt2-medium,color_contrast,12,3,there,77.297
gpt2-medium,color_contrast,12,4,many,75.809
gpt2-medium,color_contrast,13,0,it,99.084
gpt2-medium,color_contrast,13,1,often,95.041
gpt2-medium,color_contrast,13,2,they,88.349
gpt2-medium,color_contrast,13,3,unlike,88.061
gpt2-medium,color_contrast,13,4,consumers,86.981
gpt2-medium,color_contrast,14,0,it,115.846
gpt2-medium,color_contrast,14,1,often,112.719
gpt2-medium,color_contrast,14,2,consumers,100.402
gpt2-medium,color_contrast,14,3,unlike,97.161
gpt2-medium,color_contrast,14,4,they,96.955
gpt2-medium,color_contrast,15,0,it,149.672
gpt2-medium,color_contrast,15,1,often,131.185
gpt2-medium,color_contrast,15,2,consumers,119.268
gpt2-medium,color_contrast,15,3,typically,117.808
gpt2-medium,color_contrast,15,4,usually,116.418
gpt2-medium,color_contrast,16,0,it,190.977
gpt2-medium,color_contrast,16,1,often,146.854
gpt2-medium,color_contrast,16,2,otherwise,144.609
gpt2-medium,color_contrast,16,3,unlike,138.511
gpt2-medium,color_contrast,16,4,there,138.259
gpt2-medium,color_contrast,17,0,it,224.136
gpt2-medium,color_contrast,17,1,otherwise,166.708
gpt2-medium,color_contrast,17,2,they,164.505
gpt2-medium,color_contrast,17,3,often,155.795
gpt2-medium,color_contrast,17,4,there,155.385
gpt2-medium,color_contrast,18,0,it,276.852
gpt2-medium,color_contrast,18,1,otherwise,196.444
gpt2-medium,color_contrast,18,2,they,182.868
gpt2-medium,color_contrast,18,3,many,181.724
gpt2-medium,color_contrast,18,4,we,178.673
gpt2-medium,color_contrast,19,0,it,307.693
gpt2-medium,color_contrast,19,1,colors,242.742
gpt2-medium,color_contrast,19,2,color,233.645
gpt2-medium,color_contrast,19,3,otherwise,227.822
gpt2-medium,color_contrast,19,4,sunlight,217.883
gpt2-medium,color_contrast,20,0,it,341.942
gpt2-medium,color_contrast,20,1,colors,274.801
gpt2-medium,color_contrast,20,2,color,267.841
gpt2-medium,color_contrast,20,3,otherwise,243.506
gpt2-medium,color_contrast,20,4,you,238.946
gpt2-medium,color_contrast,21,0,it,377.868
gpt2-medium,color_contrast,21,1,color,341.576
gpt2-medium,color_contrast,21,2,colors,336.19
gpt2-medium,color_contrast,21,3,colours,288.85
gpt2-medium,color_contrast,21,4,colour,288.018
gpt2-medium,color_contrast,22,0,it,420.023
gpt2-medium,color_contrast,22,1,color,394.903
gpt2-medium,color_contrast,22,2,colors,382.638
gpt2-medium,color_contrast,22,3,colour,330.849
gpt2-medium,color_contrast,22,4,blacks,327.237
gpt2-medium,color_contrast,23,0,it,399.648
gpt2-medium,color_contrast,23,1,color,381.881
gpt2-medium,color_contrast,23,2,colors,372.716
gpt2-medium,color_contrast,23,3,blacks,333.251
gpt2-medium,color_contrast,23,4,shadows,329.284
