compound,model,condition,set_id,heads,kl,top_changed,bigram_count,log_frequency
error_identification,pythia-2.8b,natural,random_028,"[[23, 12], [24, 20], [25, 12], [26, 24], [31, 22]]",1.2001226423308253e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_029,"[[22, 12], [24, 7], [25, 25], [26, 18], [30, 2]]",6.715490599162877e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_030,"[[22, 13], [26, 5], [28, 15], [28, 30], [31, 15]]",7.454567821696401e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_031,"[[25, 1], [26, 24], [27, 22], [28, 27], [29, 24]]",5.206929927226156e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_032,"[[23, 18], [24, 27], [26, 22], [27, 25], [31, 30]]",3.656059561762959e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_033,"[[25, 10], [28, 1], [29, 20], [30, 23], [31, 4]]",7.540416845586151e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_034,"[[24, 29], [26, 2], [28, 19], [29, 17], [30, 31]]",1.1468800948932767e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_035,"[[23, 28], [27, 3], [28, 14], [28, 20], [31, 18]]",1.9537328626029193e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_036,"[[23, 5], [24, 13], [24, 18], [25, 4], [27, 24]]",0.0010457728058099747,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_037,"[[22, 30], [23, 16], [25, 8], [27, 18], [30, 8]]",2.5518675101920962e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_038,"[[22, 1], [24, 12], [25, 19], [26, 14], [26, 18]]",1.725327456369996e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_039,"[[27, 10], [27, 27], [28, 7], [31, 5], [31, 9]]",3.469427610980347e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_040,"[[22, 3], [24, 0], [25, 11], [29, 8], [30, 1]]",1.295082620345056e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_041,"[[24, 7], [29, 8], [29, 15], [30, 28], [31, 24]]",1.4812947483733296e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_042,"[[22, 31], [23, 10], [30, 0], [31, 20], [31, 28]]",1.9731000065803528e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_043,"[[23, 29], [24, 2], [26, 8], [30, 0], [31, 24]]",2.965159364975989e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_044,"[[22, 9], [24, 27], [26, 15], [26, 27], [30, 28]]",1.1049443855881691e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_045,"[[23, 12], [26, 20], [28, 22], [29, 0], [31, 31]]",2.5071989512071013e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_046,"[[23, 3], [24, 3], [26, 12], [29, 19], [31, 11]]",1.2752389011438936e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_047,"[[24, 11], [24, 23], [26, 1], [26, 17], [26, 25]]",3.7498684832826257e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_048,"[[24, 22], [29, 16], [29, 18], [30, 16], [30, 26]]",4.257436376065016e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_049,"[[25, 4], [27, 9], [28, 9], [30, 17], [31, 26]]",1.3275566743686795e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_050,"[[22, 13], [25, 23], [27, 3], [29, 28], [31, 24]]",4.882242137682624e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_051,"[[22, 7], [23, 18], [24, 22], [29, 5], [31, 29]]",4.786452336702496e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_052,"[[24, 20], [26, 25], [27, 13], [28, 10], [29, 27]]",1.81864743353799e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_053,"[[22, 24], [26, 17], [26, 22], [27, 17], [31, 10]]",8.455754141323268e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_054,"[[23, 30], [24, 5], [25, 30], [26, 15], [28, 2]]",6.577989552170038e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_055,"[[25, 22], [28, 24], [29, 12], [31, 16], [31, 21]]",2.9846880352124572e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_056,"[[23, 29], [24, 15], [26, 22], [28, 31], [30, 2]]",1.3194017810747027e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_057,"[[22, 21], [25, 15], [28, 1], [28, 4], [28, 30]]",1.3856777513865381e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_058,"[[22, 1], [26, 16], [26, 26], [29, 17], [31, 29]]",7.269991328939795e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_059,"[[24, 2], [24, 31], [27, 11], [29, 27], [30, 25]]",1.2668751878663898e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_060,"[[22, 6], [27, 3], [27, 21], [28, 30], [31, 4]]",2.5012355763465166e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_061,"[[23, 4], [24, 29], [26, 9], [30, 24], [31, 12]]",1.849155523814261e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_062,"[[22, 31], [23, 28], [25, 6], [27, 12], [29, 25]]",8.075894584180787e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_063,"[[24, 7], [27, 3], [27, 17], [27, 31], [28, 23]]",3.8260986912064254e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_064,"[[26, 7], [26, 30], [28, 30], [29, 9], [31, 11]]",8.781244105193764e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_065,"[[22, 23], [26, 7], [27, 18], [27, 31], [28, 25]]",1.7413731256965548e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_066,"[[28, 25], [29, 5], [29, 17], [29, 25], [30, 5]]",7.724011084064841e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_067,"[[23, 15], [24, 31], [27, 8], [28, 29], [30, 4]]",1.7237631254829466e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_068,"[[25, 25], [26, 9], [28, 8], [28, 29], [30, 20]]",4.705216269940138e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_069,"[[22, 21], [23, 7], [25, 0], [27, 2], [29, 1]]",9.185969247482717e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_070,"[[22, 17], [23, 15], [23, 23], [28, 25], [29, 0]]",1.7909314919961616e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_071,"[[24, 29], [25, 30], [28, 19], [29, 14], [30, 26]]",1.1062627891078591e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_072,"[[23, 15], [26, 9], [26, 14], [26, 28], [30, 13]]",1.0261246643494815e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_073,"[[24, 6], [26, 10], [28, 3], [29, 10], [30, 26]]",2.3939137463457882e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_074,"[[22, 3], [22, 6], [28, 11], [29, 2], [29, 22]]",1.7235404811799526e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_075,"[[22, 24], [24, 12], [26, 18], [27, 14], [30, 31]]",1.194521610159427e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_076,"[[24, 4], [29, 1], [29, 25], [30, 19], [31, 18]]",1.0240910341963172e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_077,"[[23, 14], [24, 2], [24, 17], [25, 5], [27, 18]]",2.6790803531184793e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_078,"[[22, 29], [29, 1], [29, 2], [29, 5], [31, 16]]",4.56281122751534e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_079,"[[26, 7], [26, 21], [26, 27], [28, 9], [28, 20]]",2.1594547433778644e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_080,"[[24, 1], [28, 22], [30, 22], [31, 4], [31, 7]]",3.92685251426883e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_081,"[[22, 19], [25, 25], [26, 19], [27, 6], [31, 29]]",1.3429002137854695e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_082,"[[24, 1], [24, 11], [25, 22], [25, 28], [27, 15]]",2.6484340196475387e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_083,"[[22, 10], [24, 12], [25, 5], [27, 4], [27, 12]]",1.2811127817258239e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_084,"[[23, 14], [25, 16], [25, 19], [28, 26], [31, 23]]",1.3947137631475925e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_085,"[[23, 30], [24, 6], [25, 6], [25, 28], [31, 20]]",1.271568180527538e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_086,"[[22, 14], [24, 20], [24, 30], [27, 18], [30, 5]]",5.680034519173205e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_087,"[[22, 31], [23, 17], [25, 8], [29, 19], [31, 11]]",7.00281816534698e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_088,"[[22, 3], [22, 19], [23, 10], [27, 1], [31, 12]]",1.3838405720889568e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_089,"[[22, 17], [26, 17], [27, 18], [30, 30], [31, 31]]",5.599067662842572e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_090,"[[24, 19], [27, 8], [29, 9], [30, 2], [30, 17]]",1.300009898841381e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_091,"[[24, 19], [25, 4], [29, 3], [29, 23], [31, 7]]",7.287380867637694e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_092,"[[24, 14], [26, 18], [28, 20], [29, 14], [29, 19]]",7.764683687128127e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_093,"[[24, 6], [27, 20], [28, 16], [30, 0], [30, 13]]",1.3009041140321642e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_094,"[[23, 4], [23, 7], [25, 31], [26, 21], [29, 26]]",1.1389638530090451e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_095,"[[22, 4], [25, 4], [25, 7], [27, 27], [28, 6]]",1.3662065612152219e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_096,"[[22, 3], [26, 2], [28, 17], [29, 14], [31, 22]]",1.056936162058264e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_097,"[[23, 19], [23, 25], [26, 5], [29, 31], [31, 5]]",1.4078032108955085e-06,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_098,"[[24, 7], [25, 4], [27, 24], [28, 19], [29, 25]]",1.03405473055318e-05,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_099,"[[24, 28], [27, 6], [28, 12], [30, 26], [31, 8]]",5.764341040048748e-07,False,1566,7.356918242356021
error_identification,pythia-2.8b,natural,random_100,"[[24, 26], [25, 6], [25, 26], [30, 18], [31, 26]]",1.0757299605756998e-05,False,1566,7.356918242356021
audio_description,pythia-2.8b,natural,random_001,"[[25, 18], [26, 11], [26, 12], [27, 24], [31, 17]]",1.349151716567576e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_002,"[[22, 7], [25, 21], [26, 2], [27, 12], [30, 23]]",1.764077751431614e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_003,"[[22, 5], [23, 9], [26, 3], [26, 12], [31, 8]]",2.6583555154502392e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_004,"[[22, 6], [23, 20], [26, 7], [27, 1], [31, 13]]",5.875551141798496e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_005,"[[23, 15], [24, 21], [27, 10], [27, 26], [28, 4]]",0.00036599714076146483,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_006,"[[23, 14], [26, 26], [27, 29], [28, 16], [31, 17]]",4.853551217820495e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_007,"[[23, 28], [24, 4], [28, 0], [28, 15], [30, 9]]",3.746943548321724e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_008,"[[27, 19], [28, 1], [28, 27], [30, 3], [30, 21]]",7.109600119292736e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_009,"[[25, 5], [26, 27], [28, 2], [29, 28], [30, 20]]",4.592724144458771e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_010,"[[22, 22], [22, 24], [25, 24], [30, 24], [31, 11]]",7.993972394615412e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_011,"[[22, 10], [24, 0], [28, 30], [30, 18], [31, 30]]",3.3658870961517096e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_012,"[[25, 18], [27, 3], [27, 13], [28, 29], [30, 22]]",0.00017337041208520532,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_013,"[[24, 15], [28, 20], [28, 28], [30, 17], [31, 21]]",0.00037532264832407236,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_014,"[[23, 8], [25, 10], [27, 19], [27, 28], [31, 4]]",0.00018031842773780227,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_015,"[[26, 21], [29, 28], [30, 28], [31, 19], [31, 23]]",7.680733688175678e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_016,"[[24, 27], [26, 23], [28, 21], [29, 13], [30, 26]]",7.764632755424827e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_017,"[[23, 19], [25, 25], [28, 17], [30, 3], [30, 4]]",8.74882098287344e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_018,"[[22, 28], [24, 12], [26, 2], [26, 16], [26, 26]]",2.2845837520435452e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_019,"[[23, 21], [24, 26], [26, 19], [28, 29], [31, 3]]",1.9403814803808928e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_020,"[[26, 9], [28, 4], [29, 24], [30, 13], [31, 15]]",3.877910785377026e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_021,"[[23, 19], [25, 11], [26, 24], [27, 27], [29, 6]]",8.954806253314018e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_022,"[[25, 12], [26, 9], [26, 13], [31, 12], [31, 14]]",2.9652801458723843e-07,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_023,"[[25, 9], [26, 8], [28, 22], [29, 28], [30, 20]]",5.469185998663306e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_024,"[[22, 8], [23, 19], [23, 23], [29, 22], [31, 6]]",6.204965757206082e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_025,"[[25, 7], [28, 11], [29, 22], [30, 14], [31, 30]]",1.3960787327960134e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_026,"[[22, 1], [23, 5], [24, 20], [27, 1], [28, 7]]",0.0016878872411325574,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_027,"[[23, 28], [26, 4], [28, 16], [29, 27], [31, 8]]",1.3727069017477334e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_028,"[[23, 12], [24, 20], [25, 12], [26, 24], [31, 22]]",0.0002871552715077996,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_029,"[[22, 12], [24, 7], [25, 25], [26, 18], [30, 2]]",1.8227437976747751e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_030,"[[22, 13], [26, 5], [28, 15], [28, 30], [31, 15]]",4.051934229210019e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_031,"[[25, 1], [26, 24], [27, 22], [28, 27], [29, 24]]",7.421389454975724e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_032,"[[23, 18], [24, 27], [26, 22], [27, 25], [31, 30]]",9.81867196969688e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_033,"[[25, 10], [28, 1], [29, 20], [30, 23], [31, 4]]",4.555005580186844e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_034,"[[24, 29], [26, 2], [28, 19], [29, 17], [30, 31]]",0.0002247478987555951,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_035,"[[23, 28], [27, 3], [28, 14], [28, 20], [31, 18]]",1.7766753444448113e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_036,"[[23, 5], [24, 13], [24, 18], [25, 4], [27, 24]]",0.001813129405491054,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_037,"[[22, 30], [23, 16], [25, 8], [27, 18], [30, 8]]",1.6960781067609787e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_038,"[[22, 1], [24, 12], [25, 19], [26, 14], [26, 18]]",4.108034772798419e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_039,"[[27, 10], [27, 27], [28, 7], [31, 5], [31, 9]]",0.0001638353569433093,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_040,"[[22, 3], [24, 0], [25, 11], [29, 8], [30, 1]]",1.2791548215318471e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_041,"[[24, 7], [29, 8], [29, 15], [30, 28], [31, 24]]",1.2732984032481909e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_042,"[[22, 31], [23, 10], [30, 0], [31, 20], [31, 28]]",4.660920239984989e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_043,"[[23, 29], [24, 2], [26, 8], [30, 0], [31, 24]]",0.00025052670389413834,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_044,"[[22, 9], [24, 27], [26, 15], [26, 27], [30, 28]]",4.226890450809151e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_045,"[[23, 12], [26, 20], [28, 22], [29, 0], [31, 31]]",0.00030828453600406647,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_046,"[[23, 3], [24, 3], [26, 12], [29, 19], [31, 11]]",1.390869147144258e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_047,"[[24, 11], [24, 23], [26, 1], [26, 17], [26, 25]]",5.6672593927942216e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_048,"[[24, 22], [29, 16], [29, 18], [30, 16], [30, 26]]",3.794868825934827e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_049,"[[25, 4], [27, 9], [28, 9], [30, 17], [31, 26]]",0.000131085398606956,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_050,"[[22, 13], [25, 23], [27, 3], [29, 28], [31, 24]]",1.0428178939037025e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_051,"[[22, 7], [23, 18], [24, 22], [29, 5], [31, 29]]",4.549998266156763e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_052,"[[24, 20], [26, 25], [27, 13], [28, 10], [29, 27]]",0.00017335487063974142,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_053,"[[22, 24], [26, 17], [26, 22], [27, 17], [31, 10]]",1.2145552318543196e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_054,"[[23, 30], [24, 5], [25, 30], [26, 15], [28, 2]]",2.949475310742855e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_055,"[[25, 22], [28, 24], [29, 12], [31, 16], [31, 21]]",5.098627298139036e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_056,"[[23, 29], [24, 15], [26, 22], [28, 31], [30, 2]]",0.00043234764598309994,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_057,"[[22, 21], [25, 15], [28, 1], [28, 4], [28, 30]]",0.00022369713406078517,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_058,"[[22, 1], [26, 16], [26, 26], [29, 17], [31, 29]]",2.414220944046974e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_059,"[[24, 2], [24, 31], [27, 11], [29, 27], [30, 25]]",3.5813311114907265e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_060,"[[22, 6], [27, 3], [27, 21], [28, 30], [31, 4]]",0.001921770628541708,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_061,"[[23, 4], [24, 29], [26, 9], [30, 24], [31, 12]]",6.558751920238137e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_062,"[[22, 31], [23, 28], [25, 6], [27, 12], [29, 25]]",9.066472557606176e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_063,"[[24, 7], [27, 3], [27, 17], [27, 31], [28, 23]]",4.463082586880773e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_064,"[[26, 7], [26, 30], [28, 30], [29, 9], [31, 11]]",4.602526314556599e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_065,"[[22, 23], [26, 7], [27, 18], [27, 31], [28, 25]]",5.138613050803542e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_066,"[[28, 25], [29, 5], [29, 17], [29, 25], [30, 5]]",1.4490688045043498e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_067,"[[23, 15], [24, 31], [27, 8], [28, 29], [30, 4]]",3.158487379550934e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_068,"[[25, 25], [26, 9], [28, 8], [28, 29], [30, 20]]",9.775467333383858e-07,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_069,"[[22, 21], [23, 7], [25, 0], [27, 2], [29, 1]]",1.95225584320724e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_070,"[[22, 17], [23, 15], [23, 23], [28, 25], [29, 0]]",7.407943485304713e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_071,"[[24, 29], [25, 30], [28, 19], [29, 14], [30, 26]]",0.00017439888324588537,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_072,"[[23, 15], [26, 9], [26, 14], [26, 28], [30, 13]]",2.9656628612428904e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_073,"[[24, 6], [26, 10], [28, 3], [29, 10], [30, 26]]",3.19899118039757e-06,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_074,"[[22, 3], [22, 6], [28, 11], [29, 2], [29, 22]]",5.328442784957588e-05,False,4691,8.453614209773367
audio_description,pythia-2.8b,natural,random_075,"[[22, 24], [24, 12], [26, 18], [27, 14], [30, 31]]",2.7723901439458132e-05,False,4691,8.453614209773367
