set_id,role,heads,n_heads
random_044,random_control,"[[22, 9], [24, 27], [26, 15], [26, 27], [30, 28]]",5
random_045,random_control,"[[23, 12], [26, 20], [28, 22], [29, 0], [31, 31]]",5
random_046,random_control,"[[23, 3], [24, 3], [26, 12], [29, 19], [31, 11]]",5
random_047,random_control,"[[24, 11], [24, 23], [26, 1], [26, 17], [26, 25]]",5
random_048,random_control,"[[24, 22], [29, 16], [29, 18], [30, 16], [30, 26]]",5
random_049,random_control,"[[25, 4], [27, 9], [28, 9], [30, 17], [31, 26]]",5
random_050,random_control,"[[22, 13], [25, 23], [27, 3], [29, 28], [31, 24]]",5
random_051,random_control,"[[22, 7], [23, 18], [24, 22], [29, 5], [31, 29]]",5
random_052,random_control,"[[24, 20], [26, 25], [27, 13], [28, 10], [29, 27]]",5
random_053,random_control,"[[22, 24], [26, 17], [26, 22], [27, 17], [31, 10]]",5
random_054,random_control,"[[23, 30], [24, 5], [25, 30], [26, 15], [28, 2]]",5
random_055,random_control,"[[25, 22], [28, 24], [29, 12], [31, 16], [31, 21]]",5
random_056,random_control,"[[23, 29], [24, 15], [26, 22], [28, 31], [30, 2]]",5
random_057,random_control,"[[22, 21], [25, 15], [28, 1], [28, 4], [28, 30]]",5
random_058,random_control,"[[22, 1], [26, 16], [26, 26], [29, 17], [31, 29]]",5
random_059,random_control,"[[24, 2], [24, 31], [27, 11], [29, 27], [30, 25]]",5
random_060,random_control,"[[22, 6], [27, 3], [27, 21], [28, 30], [31, 4]]",5
random_061,random_control,"[[23, 4], [24, 29], [26, 9], [30, 24], [31, 12]]",5
random_062,random_control,"[[22, 31], [23, 28], [25, 6], [27, 12], [29, 25]]",5
random_063,random_control,"[[24, 7], [27, 3], [27, 17], [27, 31], [28, 23]]",5
random_064,random_control,"[[26, 7], [26, 30], [28, 30], [29, 9], [31, 11]]",5
random_065,random_control,"[[22, 23], [26, 7], [27, 18], [27, 31], [28, 25]]",5
random_066,random_control,"[[28, 25], [29, 5], [29, 17], [29, 25], [30, 5]]",5
random_067,random_control,"[[23, 15], [24, 31], [27, 8], [28, 29], [30, 4]]",5
random_068,random_control,"[[25, 25], [26, 9], [28, 8], [28, 29], [30, 20]]",5
random_069,random_control,"[[22, 21], [23, 7], [25, 0], [27, 2], [29, 1]]",5
random_070,random_control,"[[22, 17], [23, 15], [23, 23], [28, 25], [29, 0]]",5
random_071,random_control,"[[24, 29], [25, 30], [28, 19], [29, 14], [30, 26]]",5
random_072,random_control,"[[23, 15], [26, 9], [26, 14], [26, 28], [30, 13]]",5
random_073,random_control,"[[24, 6], [26, 10], [28, 3], [29, 10], [30, 26]]",5
random_074,random_control,"[[22, 3], [22, 6], [28, 11], [29, 2], [29, 22]]",5
random_075,random_control,"[[22, 24], [24, 12], [26, 18], [27, 14], [30, 31]]",5
random_076,random_control,"[[24, 4], [29, 1], [29, 25], [30, 19], [31, 18]]",5
random_077,random_control,"[[23, 14], [24, 2], [24, 17], [25, 5], [27, 18]]",5
random_078,random_control,"[[22, 29], [29, 1], [29, 2], [29, 5], [31, 16]]",5
random_079,random_control,"[[26, 7], [26, 21], [26, 27], [28, 9], [28, 20]]",5
random_080,random_control,"[[24, 1], [28, 22], [30, 22], [31, 4], [31, 7]]",5
random_081,random_control,"[[22, 19], [25, 25], [26, 19], [27, 6], [31, 29]]",5
random_082,random_control,"[[24, 1], [24, 11], [25, 22], [25, 28], [27, 15]]",5
random_083,random_control,"[[22, 10], [24, 12], [25, 5], [27, 4], [27, 12]]",5
random_084,random_control,"[[23, 14], [25, 16], [25, 19], [28, 26], [31, 23]]",5
random_085,random_control,"[[23, 30], [24, 6], [25, 6], [25, 28], [31, 20]]",5
random_086,random_control,"[[22, 14], [24, 20], [24, 30], [27, 18], [30, 5]]",5
random_087,random_control,"[[22, 31], [23, 17], [25, 8], [29, 19], [31, 11]]",5
random_088,random_control,"[[22, 3], [22, 19], [23, 10], [27, 1], [31, 12]]",5
random_089,random_control,"[[22, 17], [26, 17], [27, 18], [30, 30], [31, 31]]",5
random_090,random_control,"[[24, 19], [27, 8], [29, 9], [30, 2], [30, 17]]",5
random_091,random_control,"[[24, 19], [25, 4], [29, 3], [29, 23], [31, 7]]",5
random_092,random_control,"[[24, 14], [26, 18], [28, 20], [29, 14], [29, 19]]",5
random_093,random_control,"[[24, 6], [27, 20], [28, 16], [30, 0], [30, 13]]",5
random_094,random_control,"[[23, 4], [23, 7], [25, 31], [26, 21], [29, 26]]",5
random_095,random_control,"[[22, 4], [25, 4], [25, 7], [27, 27], [28, 6]]",5
random_096,random_control,"[[22, 3], [26, 2], [28, 17], [29, 14], [31, 22]]",5
random_097,random_control,"[[23, 19], [23, 25], [26, 5], [29, 31], [31, 5]]",5
random_098,random_control,"[[24, 7], [25, 4], [27, 24], [28, 19], [29, 25]]",5
random_099,random_control,"[[24, 28], [27, 6], [28, 12], [30, 26], [31, 8]]",5
random_100,random_control,"[[24, 26], [25, 6], [25, 26], [30, 18], [31, 26]]",5
