compound,model,condition,selected_heads,positive_control_heads,selected_kl,selected_top_changed,empty_kl,empty_top_changed,positive_control_kl,positive_control_top_changed,baseline_top,selected_ablated_top,positive_control_ablated_top,bigram_count,log_frequency
tab_panel,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",6.598216714337468e-06,False,0.0,False,4.8157176934182644e-05,False,"[["" a"", 0.5666], ["" an"", 0.1299], ["" the"", 0.0373], ["" used"", 0.0359], ["" one"", 0.0338], ["" typically"", 0.0225], ["" displayed"", 0.0168], ["" generally"", 0.0112], ["" usually"", 0.0082], ["" shown"", 0.0059]]","[["" a"", 0.5669], ["" an"", 0.1297], ["" the"", 0.0372], ["" used"", 0.0357], ["" one"", 0.0337], ["" typically"", 0.0227], ["" displayed"", 0.0166], ["" generally"", 0.0112], ["" usually"", 0.0082], ["" shown"", 0.0058]]","[["" a"", 0.5656], ["" an"", 0.1287], ["" the"", 0.0377], ["" used"", 0.0361], ["" one"", 0.0339], ["" typically"", 0.0231], ["" displayed"", 0.0165], ["" generally"", 0.0113], ["" usually"", 0.0082], ["" shown"", 0.0059]]",3519,8.166216268592143
live_region,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",9.43957275012508e-06,False,0.0,False,4.3248292058706284e-05,False,"[["" a"", 0.3374], ["" an"", 0.071], ["" defined"", 0.0502], ["" the"", 0.0445], ["" one"", 0.0425], ["" typically"", 0.02], ["" generally"", 0.0164], ["" any"", 0.0133], ["" not"", 0.0096], ["" used"", 0.0094]]","[["" a"", 0.3378], ["" an"", 0.0711], ["" defined"", 0.0501], ["" the"", 0.0445], ["" one"", 0.0425], ["" typically"", 0.0201], ["" generally"", 0.0163], ["" any"", 0.0134], ["" not"", 0.0097], ["" used"", 0.0094]]","[["" a"", 0.3377], ["" an"", 0.0715], ["" defined"", 0.0499], ["" the"", 0.0445], ["" one"", 0.0428], ["" typically"", 0.02], ["" generally"", 0.0163], ["" any"", 0.0135], ["" not"", 0.0097], ["" used"", 0.0095]]",1112,7.014814351275545
skip_link,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",2.9912334866821766e-06,False,0.0,False,1.1279364116489887e-05,False,"[["" a"", 0.5724], ["" an"", 0.1248], ["" used"", 0.045], ["" typically"", 0.0192], ["" the"", 0.0172], ["" one"", 0.0144], ["" generally"", 0.0129], ["" provided"", 0.011], ["" defined"", 0.0082], ["" usually"", 0.0063]]","[["" a"", 0.5728], ["" an"", 0.1248], ["" used"", 0.0448], ["" typically"", 0.0192], ["" the"", 0.0172], ["" one"", 0.0143], ["" generally"", 0.0129], ["" provided"", 0.011], ["" defined"", 0.0082], ["" usually"", 0.0063]]","[["" a"", 0.5714], ["" an"", 0.1247], ["" used"", 0.0451], ["" typically"", 0.0193], ["" the"", 0.0172], ["" one"", 0.0145], ["" generally"", 0.013], ["" provided"", 0.0112], ["" defined"", 0.0082], ["" usually"", 0.0063]]",662,6.4967749901858625
tree_grid,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",7.100548828020692e-06,False,0.0,False,2.3381755454465747e-05,False,"[["" a"", 0.6675], ["" an"", 0.1021], ["" used"", 0.0213], ["" one"", 0.0145], ["" typically"", 0.0133], ["" the"", 0.0093], ["" defined"", 0.0076], ["" formed"", 0.0075], ["" often"", 0.0072], ["" known"", 0.007]]","[["" a"", 0.6671], ["" an"", 0.102], ["" used"", 0.0213], ["" one"", 0.0145], ["" typically"", 0.0135], ["" the"", 0.0093], ["" defined"", 0.0076], ["" formed"", 0.0075], ["" often"", 0.0073], ["" known"", 0.0071]]","[["" a"", 0.6666], ["" an"", 0.1015], ["" used"", 0.0214], ["" one"", 0.0147], ["" typically"", 0.0135], ["" the"", 0.0092], ["" defined"", 0.0077], ["" formed"", 0.0076], ["" often"", 0.0074], ["" known"", 0.0072]]",865,6.763884908562435
redundant_entry,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",2.1147745428606868e-05,False,0.0,False,0.0001568974694237113,False,"[["" a"", 0.4441], ["" an"", 0.1243], ["" typically"", 0.0302], ["" one"", 0.0277], ["" provided"", 0.0248], ["" used"", 0.0238], ["" defined"", 0.0168], ["" the"", 0.0165], ["" generally"", 0.0124], ["" often"", 0.0109]]","[["" a"", 0.4429], ["" an"", 0.1235], ["" typically"", 0.0303], ["" one"", 0.0278], ["" provided"", 0.025], ["" used"", 0.0237], ["" defined"", 0.017], ["" the"", 0.0165], ["" generally"", 0.0125], ["" often"", 0.0111]]","[["" a"", 0.4396], ["" an"", 0.1222], ["" typically"", 0.0313], ["" one"", 0.0283], ["" provided"", 0.0254], ["" used"", 0.0233], ["" defined"", 0.0168], ["" the"", 0.0167], ["" generally"", 0.0128], ["" often"", 0.0114]]",205,5.327876168789581
form_field,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",2.1614425349980593e-05,False,0.0,False,9.298080112785101e-05,False,"[["" a"", 0.2087], ["" not"", 0.0976], ["" an"", 0.0623], ["" required"", 0.0358], ["" displayed"", 0.0326], ["" used"", 0.031], ["" the"", 0.0247], ["" rendered"", 0.0188], ["" defined"", 0.0179], ["" missing"", 0.0147]]","[["" a"", 0.2094], ["" not"", 0.0971], ["" an"", 0.0626], ["" required"", 0.0357], ["" displayed"", 0.0322], ["" used"", 0.0309], ["" the"", 0.0248], ["" rendered"", 0.0189], ["" defined"", 0.018], ["" missing"", 0.0144]]","[["" a"", 0.2099], ["" not"", 0.0961], ["" an"", 0.0626], ["" required"", 0.0358], ["" displayed"", 0.0323], ["" used"", 0.0309], ["" the"", 0.025], ["" rendered"", 0.019], ["" defined"", 0.018], ["" shown"", 0.0144]]",51864,10.856399467865929
combo_box,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",3.119217581115663e-06,False,0.0,False,1.2290431186556816e-05,False,"[["" a"", 0.5452], ["" an"", 0.107], ["" used"", 0.0537], ["" one"", 0.0479], ["" typically"", 0.0212], ["" the"", 0.0156], ["" often"", 0.0153], ["" displayed"", 0.01], ["" commonly"", 0.0091], ["" usually"", 0.0089]]","[["" a"", 0.5452], ["" an"", 0.1068], ["" used"", 0.0535], ["" one"", 0.0479], ["" typically"", 0.0212], ["" the"", 0.0156], ["" often"", 0.0153], ["" displayed"", 0.0099], ["" commonly"", 0.0091], ["" usually"", 0.0089]]","[["" a"", 0.5454], ["" an"", 0.1069], ["" used"", 0.0532], ["" one"", 0.0482], ["" typically"", 0.0211], ["" the"", 0.0157], ["" often"", 0.0153], ["" displayed"", 0.0099], ["" commonly"", 0.009], ["" usually"", 0.0089]]",50410,10.82796468421378
keyboard_navigation,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",0.00010293396189808846,False,0.0,False,0.001837609801441431,False,"[["" you"", 0.2631], ["" users"", 0.1721], ["" the"", 0.0942], ["" a"", 0.0678], ["" for"", 0.0666], ["" us"", 0.0261], ["" navigation"", 0.0123], ["" your"", 0.012], ["" an"", 0.0081], ["" navigating"", 0.0073]]","[["" you"", 0.261], ["" users"", 0.171], ["" the"", 0.0951], ["" a"", 0.0681], ["" for"", 0.0673], ["" us"", 0.026], ["" navigation"", 0.0134], ["" your"", 0.012], ["" an"", 0.0081], ["" navigating"", 0.0077]]","[["" you"", 0.2547], ["" users"", 0.1812], ["" the"", 0.1047], ["" a"", 0.0697], ["" for"", 0.0651], ["" us"", 0.0281], ["" your"", 0.012], ["" navigation"", 0.0109], ["" an"", 0.0085], ["" people"", 0.0064]]",8050,8.993551586299981
touch_target,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",2.1717511117458344e-05,False,0.0,False,1.618260284885764e-05,False,"[["" a"", 0.4367], ["" an"", 0.1475], ["" typically"", 0.0407], ["" any"", 0.0381], ["" the"", 0.0377], ["" defined"", 0.0322], ["" generally"", 0.0283], ["" displayed"", 0.0197], ["" one"", 0.0141], ["" located"", 0.0102]]","[["" a"", 0.4385], ["" an"", 0.1471], ["" typically"", 0.0405], ["" any"", 0.0381], ["" the"", 0.0377], ["" defined"", 0.0316], ["" generally"", 0.0284], ["" displayed"", 0.0197], ["" one"", 0.0139], ["" located"", 0.0101]]","[["" a"", 0.4377], ["" an"", 0.1472], ["" typically"", 0.0404], ["" any"", 0.0383], ["" the"", 0.0378], ["" defined"", 0.0322], ["" generally"", 0.0281], ["" displayed"", 0.0196], ["" one"", 0.0143], ["" located"", 0.0101]]",1114,7.0166096838942185
accessible_description,pythia-2.8b,natural,"[[28, 5], [30, 6], [28, 13], [22, 25], [30, 11]]","[[30, 0], [30, 1], [30, 2], [30, 3], [30, 4], [30, 5], [30, 6], [30, 7], [30, 8], [30, 9], [30, 10], [30, 11], [30, 12], [30, 13], [30, 14], [30, 15], [30, 16], [30, 17], [30, 18], [30, 19], [30, 20], [30, 21], [30, 22], [30, 23], [30, 24], [30, 25], [30, 26], [30, 27], [30, 28], [30, 29], [30, 30], [30, 31]]",2.525211311876774e-05,False,0.0,False,0.00031174253672361374,False,"[["" provided"", 0.1802], ["" given"", 0.125], ["" available"", 0.0607], ["" needed"", 0.0455], ["" a"", 0.0391], ["" the"", 0.0346], ["" presented"", 0.0332], ["" required"", 0.0238], ["" an"", 0.0201], ["" included"", 0.0189]]","[["" provided"", 0.1805], ["" given"", 0.1238], ["" available"", 0.0615], ["" needed"", 0.0456], ["" a"", 0.0392], ["" the"", 0.0346], ["" presented"", 0.0331], ["" required"", 0.024], ["" an"", 0.0201], ["" included"", 0.0189]]","[["" provided"", 0.183], ["" given"", 0.1195], ["" available"", 0.0622], ["" needed"", 0.0458], ["" a"", 0.0393], ["" the"", 0.0349], ["" presented"", 0.0336], ["" required"", 0.0247], ["" an"", 0.0201], ["" included"", 0.0195]]",716,6.57507584059962
