compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
accessible_authentication,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",6e-06,2e-06,4.000000000000001e-06,False,False,3,1.3862943611198906
error_identification,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",1.6e-05,5e-06,1.1e-05,False,False,1566,7.356918242356021
character_key,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",2.1e-05,7e-06,1.3999999999999998e-05,False,False,1974,7.588323677335222
accessibility_tree,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",3e-06,1e-06,2.0000000000000003e-06,False,False,1307,7.176254532017143
accessible_name,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",7e-06,1e-06,6e-06,False,False,1619,7.3901814282264295
accessible_description,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",9.3e-05,3.7e-05,5.6e-05,False,False,716,6.57507584059962
radio_group,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",2.6e-05,1.1e-05,1.4999999999999999e-05,False,False,6694,8.809116258125272
tree_grid,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",6e-06,1e-06,5e-06,False,False,865,6.763884908562435
menu_bar,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",7e-06,1e-06,6e-06,False,False,106878,11.579452632439276
combo_box,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",7e-06,1e-06,6e-06,False,False,50410,10.82796468421378
semantic_markup,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",1.5e-05,3e-06,1.2e-05,False,False,4776,8.471568013389962
text_formatting,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",1.1e-05,4e-06,7e-06,False,False,28514,10.258185543590638
cognitive_disabilities,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",2.4e-05,4e-06,2e-05,False,False,10189,9.229162126216771
decorative_image,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",3e-05,1.1e-05,1.9e-05,False,False,749,6.620073206530356
informative_image,pythia-2.8b,uniform,"[(22, 11), (26, 19), (29, 9), (29, 10), (29, 16)]","[(22, 12), (26, 2), (29, 15), (29, 26), (29, 5)]",3e-06,1e-06,2.0000000000000003e-06,False,False,520,6.255750041753367
