prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
hypo_alt_text_socratic_001,alt text,hypothesis,socratic,A screen reader is software that reads text aloud. Why would a screen reader fail to describe this tag: <img src='chart.svg'>?,31,3.15,2.8877,7.786,0.5313,EleutherAI/pythia-2.8b
valid_alt_text_direct_001,alt text,validation,direct_question,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,3.7271,4.3243,7.4896,0.5869,EleutherAI/pythia-2.8b
valid_alt_text_instruction_001,alt text,validation,instruction,What accessibility attribute is missing from this HTML: <img src='photo.jpg'>?,19,3.2623,1.8772,6.2484,0.7725,EleutherAI/pythia-2.8b
valid_screen_reader_socratic_001,screen reader,validation,socratic,A screen reader is software that reads text aloud. Why would it fail to describe <img src='chart.svg'>?,26,3.0463,2.6214,7.786,1.1309,EleutherAI/pythia-2.8b
valid_aria_confab_001,ARIA,validation,cloze,ARIA stands for,5,4.6582,5.4632,6.426,0.5455,EleutherAI/pythia-2.8b
valid_html_confab_001,HTML,validation,cloze,HTML stands for,4,2.8867,0.5219,6.2484,0.1192,EleutherAI/pythia-2.8b
ctrl_cc_cloze_001,closed captions,control,cloze,Closed captions display,5,4.1659,4.3349,6.2484,0.6087,EleutherAI/pythia-2.8b
ctrl_contrast_cloze_001,color contrast,control,cloze,Color contrast is important because,6,3.8351,3.1254,6.2484,1.9236,EleutherAI/pythia-2.8b
ctrl_title_cloze_001,page title,control,cloze,A page title describes,5,4.8636,1.7569,7.786,1.7569,EleutherAI/pythia-2.8b
ctrl_cc_direct_001,closed captions,control,direct_question,What are closed captions?,7,3.1043,1.2836,6.2484,0.2052,EleutherAI/pythia-2.8b
ctrl_contrast_direct_001,color contrast,control,direct_question,What is color contrast?,6,4.1691,2.3618,6.2484,2.3618,EleutherAI/pythia-2.8b
ctrl_title_direct_001,page title,control,direct_question,What is a page title?,7,4.7488,2.0723,8.3419,2.0723,EleutherAI/pythia-2.8b
ctrl_cc_instruction_001,closed captions,control,instruction,Explain closed captions to a web developer.,11,3.9512,2.3971,6.2673,0.3089,EleutherAI/pythia-2.8b
ctrl_contrast_instruction_001,color contrast,control,instruction,Explain color contrast to a web developer.,10,4.1613,2.1297,6.2484,2.0994,EleutherAI/pythia-2.8b
ctrl_title_instruction_001,page title,control,instruction,Explain page titles to a web developer.,10,4.2037,2.2433,6.3116,2.2433,EleutherAI/pythia-2.8b
ctrl_cc_evaluative_001,closed captions,control,evaluative,A video without closed captions is not accessible because,11,3.7372,3.0588,7.786,0.03,EleutherAI/pythia-2.8b
ctrl_contrast_evaluative_001,color contrast,control,evaluative,Text with low color contrast is not accessible because,10,4.8756,3.0063,7.1209,3.0063,EleutherAI/pythia-2.8b
ctrl_title_evaluative_001,page title,control,evaluative,A web page without a title is not accessible because,11,4.3866,3.2094,7.786,2.1586,EleutherAI/pythia-2.8b
ctrl_cc_scenario_001,closed captions,control,scenario,"A deaf user is watching a video on a website. Without closed captions, the user",19,3.6688,2.8307,7.786,0.0259,EleutherAI/pythia-2.8b
ctrl_contrast_scenario_001,color contrast,control,scenario,A low vision user visits a website with poor color contrast. The user,15,4.334,4.4921,7.786,2.2652,EleutherAI/pythia-2.8b
ctrl_title_scenario_001,page title,control,scenario,A screen reader user navigates to a web page with no title. The user,17,3.6476,4.1652,7.786,0.0905,EleutherAI/pythia-2.8b
ctrl_bicycle_cloze_001,bicycle,control,cloze,A bicycle is used for,6,4.8166,4.074,7.786,2.2415,EleutherAI/pythia-2.8b
ctrl_bicycle_direct_001,bicycle,control,direct_question,What is a bicycle?,6,5.2261,3.0728,8.3419,3.0728,EleutherAI/pythia-2.8b
ctrl_bicycle_instruction_001,bicycle,control,instruction,Explain bicycles to a web developer.,10,3.8309,2.6637,6.2484,1.1225,EleutherAI/pythia-2.8b
ctrl_bicycle_evaluative_001,bicycle,control,evaluative,A bicycle without brakes is not safe because,9,4.2245,3.0216,7.786,2.2513,EleutherAI/pythia-2.8b
ctrl_bicycle_scenario_001,bicycle,control,scenario,"A child is riding a bicycle on a busy street. Without a helmet, the child",18,3.8553,3.4643,7.786,1.8451,EleutherAI/pythia-2.8b
