compound,layer,head,binding_score,induction,prev_token,dup_token,type,bos_attention,attn_to_pos1,own_score,max_other_score,max_other_domain,selective,sink,structural,in_lexical_set,binding_source
alt_text,22,2,0.5379,0.0144,0.0299,0.0179,uncharacterized,0.425,0.0005,0.1752,0.3437,legal,False,False,False,False,frozen CSV
alt_text,21,6,0.5261,0.0073,0.0446,0.0055,uncharacterized,0.0371,0.0063,0.8071,0.0717,finance,True,False,False,True,frozen CSV
alt_text,30,29,0.4835,0.0115,0.069,0.0028,uncharacterized,0.4659,0.0007,0.3588,0.7814,general,False,False,False,False,frozen CSV
alt_text,25,2,0.4247,0.0336,0.0231,0.0154,uncharacterized,0.5316,0.0007,0.0269,0.6064,finance,False,True,False,False,frozen CSV
alt_text,10,26,0.4099,0.0127,0.0478,0.0174,uncharacterized,0.3489,0.0066,0.5391,0.3359,legal,True,False,False,True,frozen CSV
alt_text,31,10,0.3938,0.0158,0.2476,0.0477,uncharacterized,0.5526,0.0011,0.6785,0.2887,legal,True,True,False,False,frozen CSV
alt_text,22,8,0.351,0.0098,0.033,0.0194,uncharacterized,0.5296,0.0038,0.0226,0.1171,legal,False,True,False,False,frozen CSV
alt_text,10,14,0.3253,0.0004,0.316,0.0097,partial (prev/dup),0.2547,0.0271,0.6327,0.709,legal,False,False,False,False,frozen CSV
alt_text,21,0,0.2718,0.0168,0.0518,0.0201,uncharacterized,0.6769,0.0011,0.282,0.2921,finance,False,True,False,False,frozen CSV
alt_text,24,9,0.268,0.02,0.0185,0.0196,uncharacterized,0.7123,0.003,0.0575,0.275,finance,False,True,False,False,frozen CSV
alt_text,10,19,0.2578,0.0109,0.1495,0.0139,uncharacterized,0.6273,0.0008,0.209,0.7032,general,False,True,False,False,frozen CSV
alt_text,20,23,0.2484,0.0117,0.0315,0.0172,uncharacterized,0.6824,0.0217,0.1006,0.1449,legal,False,True,False,False,frozen CSV
alt_text,12,21,0.234,0.0688,0.0428,0.0378,uncharacterized,0.132,0.0022,0.661,0.2398,general,True,False,False,True,frozen CSV
alt_text,27,5,0.2158,0.0406,0.0414,0.0083,uncharacterized,0.7717,0.0004,0.4872,0.023,general,True,True,False,False,frozen CSV
stock_market,28,15,0.8436,0.0127,0.0572,0.0147,uncharacterized,0.1501,0.0025,0.8436,0.6203,a11y,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,27,24,0.6275,0.0193,0.0502,0.0181,uncharacterized,0.0003,0.3575,0.6275,0.1623,general,True,False,False,True,fresh in-memory pass (compound not in the frozen sweep)
stock_market,10,27,0.6203,0.0013,0.7196,0.0055,previous-token,0.3139,0.0359,0.6203,0.9111,a11y,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,12,31,0.5314,0.0046,0.3026,0.009,partial (prev/dup),0.2581,0.0496,0.5314,0.8585,a11y,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,25,1,0.4959,0.02,0.0189,0.0196,uncharacterized,0.2776,0.0099,0.4959,0.3384,general,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,10,19,0.4403,0.0109,0.1495,0.0139,uncharacterized,0.4956,0.0123,0.4403,0.7032,general,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,28,28,0.387,0.0093,0.1426,0.0045,uncharacterized,0.0063,0.6002,0.387,0.2082,general,True,False,True,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,10,13,0.3685,0.0062,0.0765,0.0121,uncharacterized,0.5724,0.0093,0.3685,0.2514,a11y,False,True,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,18,14,0.3307,0.054,0.0247,0.0276,uncharacterized,0.4535,0.0897,0.3307,0.1208,legal,True,False,False,True,fresh in-memory pass (compound not in the frozen sweep)
stock_market,30,18,0.3118,0.0009,0.1462,0.0016,uncharacterized,0.3618,0.1093,0.3118,0.3399,legal,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,21,24,0.3071,0.0196,0.0303,0.0207,uncharacterized,0.0994,0.0011,0.3071,0.1958,general,True,False,False,True,fresh in-memory pass (compound not in the frozen sweep)
stock_market,10,7,0.2653,0.0338,0.0518,0.0209,uncharacterized,0.4461,0.0241,0.2653,0.1447,medical,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,13,30,0.2626,0.053,0.0386,0.1185,uncharacterized,0.5752,0.0036,0.2626,0.4384,a11y,False,True,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,16,20,0.262,0.0241,0.0329,0.0289,uncharacterized,0.3822,0.0064,0.262,0.8365,general,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,27,10,0.2245,0.0225,0.0675,0.009,uncharacterized,0.6976,0.0051,0.2245,0.3808,a11y,False,True,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,25,4,0.203,0.0405,0.0431,0.0198,uncharacterized,0.7937,0.0015,0.203,0.374,legal,False,True,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,21,0,0.1996,0.0168,0.0518,0.0201,uncharacterized,0.7818,0.0023,0.1996,0.282,a11y,False,True,False,False,fresh in-memory pass (compound not in the frozen sweep)
stock_market,17,26,0.1986,0.2449,0.0304,0.0407,uncharacterized,0.4732,0.0013,0.1986,0.1918,general,False,False,False,False,fresh in-memory pass (compound not in the frozen sweep)
semantic_html,30,29,0.992,0.0115,0.069,0.0028,uncharacterized,0.0061,0.0001,0.9941,0.7814,general,False,False,False,False,frozen CSV
semantic_html,30,4,0.979,0.0169,0.0845,0.0128,uncharacterized,0.0051,0.0001,0.9899,0.5664,general,True,False,False,True,frozen CSV
semantic_html,27,27,0.9392,0.0298,0.0577,0.0088,uncharacterized,0.021,0.0032,0.9458,0.1773,legal,True,False,False,True,frozen CSV
semantic_html,28,1,0.9239,0.0205,0.0791,0.0071,uncharacterized,0.057,0.0069,0.9607,0.3557,general,True,False,False,True,frozen CSV
semantic_html,29,13,0.9223,0.0188,0.0432,0.0059,uncharacterized,0.0419,0.0028,0.9631,0.836,general,False,False,False,False,frozen CSV
semantic_html,27,13,0.8792,0.0049,0.0645,0.0005,uncharacterized,0.0699,0.0002,0.8489,0.0963,general,True,False,False,True,frozen CSV
semantic_html,10,6,0.8495,0.0075,0.1378,0.0175,uncharacterized,0.1177,0.0152,0.7581,0.2787,legal,True,False,False,True,frozen CSV
semantic_html,27,9,0.804,0.029,0.0497,0.0072,uncharacterized,0.0314,0.0185,0.7724,0.4471,general,True,False,False,True,frozen CSV
semantic_html,10,26,0.7684,0.0127,0.0478,0.0174,uncharacterized,0.1757,0.0178,0.6145,0.3359,legal,True,False,False,True,frozen CSV
semantic_html,30,20,0.7595,0.0191,0.1579,0.0097,uncharacterized,0.116,0.019,0.9082,0.6517,medical,False,False,False,False,frozen CSV
semantic_html,27,28,0.7157,0.0083,0.2302,0.0062,uncharacterized,0.1952,0.0185,0.5629,0.9018,general,False,False,False,False,frozen CSV
semantic_html,14,12,0.6843,0.0014,0.1592,0.0134,uncharacterized,0.0832,0.017,0.6329,0.2323,general,True,False,False,True,frozen CSV
semantic_html,23,12,0.6677,0.0154,0.063,0.0111,uncharacterized,0.2119,0.0333,0.9136,0.4681,medical,True,False,False,True,frozen CSV
semantic_html,28,28,0.6487,0.0093,0.1426,0.0045,uncharacterized,0.3002,0.0129,0.7263,0.387,finance,True,False,False,True,frozen CSV
semantic_html,21,15,0.6374,0.0077,0.2545,0.0165,partial (prev/dup),0.2788,0.0142,0.6393,0.3268,general,True,False,False,True,frozen CSV
semantic_html,23,22,0.6088,0.0098,0.1222,0.0181,uncharacterized,0.3218,0.0529,0.5246,0.2961,legal,True,False,False,True,frozen CSV
semantic_html,10,27,0.5559,0.0013,0.7196,0.0055,previous-token,0.3948,0.0218,0.5703,0.8383,general,False,False,False,False,frozen CSV
semantic_html,18,9,0.5373,0.0197,0.0841,0.0194,uncharacterized,0.2783,0.0016,0.6444,0.1306,medical,True,False,False,True,frozen CSV
