compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
error_identification,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000297,1.9e-05,0.00027800000000000004,False,False,1566,7.356918242356021
character_key,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000123,2.3e-05,0.0001,False,False,1974,7.588323677335222
accessibility_tree,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",6e-05,4.8e-05,1.2e-05,False,False,1307,7.176254532017143
accessible_name,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",6.2e-05,4.2e-05,2.0000000000000005e-05,False,False,1619,7.3901814282264295
accessible_description,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",2.4e-05,6e-05,-3.6e-05,False,False,716,6.57507584059962
radio_group,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000523,0.000213,0.00031000000000000005,False,False,6694,8.809116258125272
tree_grid,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000131,3.6e-05,9.5e-05,False,False,865,6.763884908562435
menu_bar,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.00016,8.3e-05,7.700000000000001e-05,False,False,106878,11.579452632439276
combo_box,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",8.4e-05,2.4e-05,5.9999999999999995e-05,False,False,50410,10.82796468421378
semantic_markup,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",8.5e-05,2.2e-05,6.300000000000001e-05,False,False,4776,8.471568013389962
text_formatting,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000179,3.2e-05,0.000147,False,False,28514,10.258185543590638
cognitive_disabilities,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000559,0.000113,0.00044600000000000005,False,False,10189,9.229162126216771
decorative_image,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000173,3.8e-05,0.000135,False,False,749,6.620073206530356
informative_image,pythia-410m,uniform,"[(22, 6), (23, 12), (16, 15), (23, 7), (19, 14)]","[(22, 5), (23, 1), (16, 7), (23, 13), (19, 2)]",0.000123,9.2e-05,3.100000000000001e-05,False,False,520,6.255750041753367
