compound,p95_relative,bigram_count,family,model,condition,log_frequency
radio_group,0.049706064909696535,6694,gpt2,gpt2,natural,8.809116258125274
reading_order,0.052768401429057074,9225,gpt2,gpt2,natural,9.129780864117766
redundant_entry,0.06184991579502816,205,gpt2,gpt2,natural,5.327876168789581
responsive_design,0.0408871583640575,35628,gpt2,gpt2,natural,10.4809151919697
screen_reader,0.04064386505633587,32100,gpt2,gpt2,natural,10.376642461280849
section_heading,0.04582938449457277,6949,gpt2,gpt2,natural,8.846496938558838
semantic_html,0.04097996968775982,2595,gpt2,gpt2,natural,7.86172707782398
semantic_markup,0.02336739879101508,4776,gpt2,gpt2,natural,8.471568013389962
sensory_characteristics,0.04327736040577285,11206,gpt2,gpt2,natural,9.324293862052029
sign_language,0.025981778558343577,113936,gpt2,gpt2,natural,11.643400943040573
skip_link,0.031990956421941476,662,gpt2,gpt2,natural,6.4967749901858625
status_message,0.01874640863388773,20367,gpt2,gpt2,natural,9.921720320797188
tab_panel,0.025197066552936975,3519,gpt2,gpt2,natural,8.166216268592143
target_size,0.032731581106781864,21981,gpt2,gpt2,natural,9.997979215628845
text_alternative,0.048918689787387795,1852,gpt2,gpt2,natural,7.52456122628536
text_formatting,0.03950799871236076,28514,gpt2,gpt2,natural,10.258185543590638
text_spacing,0.03449798990041013,615,gpt2,gpt2,natural,6.423246963533519
tool_tip,0.027521007508039416,17356,gpt2,gpt2,natural,9.761751162220882
touch_target,0.03794997446238986,1114,gpt2,gpt2,natural,7.016609683894219
tree_grid,0.041123797930777035,865,gpt2,gpt2,natural,6.763884908562435
universal_design,0.03449677005410188,9030,gpt2,gpt2,natural,9.108418382250798
accessibility_tree,0.04273703526705497,1307,gpt2,gpt2,uniform,7.176254532017144
accessible_authentication,0.05963342767208809,3,gpt2,gpt2,uniform,1.3862943611198906
accessible_description,0.06592940408736458,716,gpt2,gpt2,uniform,6.57507584059962
accessible_name,0.070096668601036,1619,gpt2,gpt2,uniform,7.3901814282264295
alt_text,0.03177847666665906,23306,gpt2,gpt2,uniform,10.056509023618531
audio_description,0.045580819994211125,4691,gpt2,gpt2,uniform,8.453614209773367
character_key,0.02779477760195726,1974,gpt2,gpt2,uniform,7.5883236773352225
closed_captions,0.08682065829634662,7942,gpt2,gpt2,uniform,8.980046316633132
cognitive_disabilities,0.05205645821988572,10189,gpt2,gpt2,uniform,9.229162126216771
color_contrast,0.026142254564911104,20112,gpt2,gpt2,uniform,9.909121651153221
combo_box,0.032600740715861276,50410,gpt2,gpt2,uniform,10.827964684213782
consistent_help,0.06201139930635684,504,gpt2,gpt2,uniform,6.22455842927536
decorative_image,0.06188066713511942,749,gpt2,gpt2,uniform,6.620073206530356
drag_movement,0.03007223336026065,328,gpt2,gpt2,uniform,5.796057750765372
error_identification,0.030884203221648924,1566,gpt2,gpt2,uniform,7.356918242356021
focus_appearance,0.023623781464993943,102,gpt2,gpt2,uniform,4.634728988229636
focus_indicator,0.019643072783946933,1261,gpt2,gpt2,uniform,7.140453043101158
focus_management,0.019971760548651157,989,gpt2,gpt2,uniform,6.897704943128636
form_field,0.035848517157137334,51864,gpt2,gpt2,uniform,10.856399467865929
informative_image,0.05401436537504188,520,gpt2,gpt2,uniform,6.255750041753367
input_purpose,0.059810927323996954,53,gpt2,gpt2,uniform,3.9889840465642745
keyboard_interaction,0.03305765921249979,1073,gpt2,gpt2,uniform,6.97914527506881
keyboard_navigation,0.04378802813589566,8050,gpt2,gpt2,uniform,8.993551586299981
landmark_region,0.07015154920518395,128,gpt2,gpt2,uniform,4.859812404361672
live_region,0.08323870524764054,1112,gpt2,gpt2,uniform,7.014814351275545
low_vision,0.020258244033902823,36811,gpt2,gpt2,uniform,10.513579157958748
menu_bar,0.03724816851317877,106878,gpt2,gpt2,uniform,11.579452632439278
pointer_cancellation,0.028592402767389974,2,gpt2,gpt2,uniform,1.0986122886681098
radio_group,0.049706090800464085,6694,gpt2,gpt2,uniform,8.809116258125274
reading_order,0.0326966083608567,9225,gpt2,gpt2,uniform,9.129780864117766
redundant_entry,0.06184992380440231,205,gpt2,gpt2,uniform,5.327876168789581
responsive_design,0.05445354711264364,35628,gpt2,gpt2,uniform,10.4809151919697
screen_reader,0.04064381327480076,32100,gpt2,gpt2,uniform,10.376642461280849
section_heading,0.04582936195656652,6949,gpt2,gpt2,uniform,8.846496938558838
semantic_html,0.051764230988919684,2595,gpt2,gpt2,uniform,7.86172707782398
semantic_markup,0.027783782035112312,4776,gpt2,gpt2,uniform,8.471568013389962
sensory_characteristics,0.045911013893783006,11206,gpt2,gpt2,uniform,9.324293862052029
sign_language,0.01716562835499641,113936,gpt2,gpt2,uniform,11.643400943040573
skip_link,0.031990955956280175,662,gpt2,gpt2,uniform,6.4967749901858625
status_message,0.0187464241869747,20367,gpt2,gpt2,uniform,9.921720320797188
tab_panel,0.025197032280266266,3519,gpt2,gpt2,uniform,8.166216268592143
target_size,0.03273156676441421,21981,gpt2,gpt2,uniform,9.997979215628845
text_alternative,0.048918669484555664,1852,gpt2,gpt2,uniform,7.52456122628536
text_formatting,0.027420940902084037,28514,gpt2,gpt2,uniform,10.258185543590638
text_spacing,0.038563228957354936,615,gpt2,gpt2,uniform,6.423246963533519
tool_tip,0.027521035540848875,17356,gpt2,gpt2,uniform,9.761751162220882
touch_target,0.03794993218034499,1114,gpt2,gpt2,uniform,7.016609683894219
tree_grid,0.041123762354254675,865,gpt2,gpt2,uniform,6.763884908562435
universal_design,0.052085126563906625,9030,gpt2,gpt2,uniform,9.108418382250798
accessibility_tree,0.013773806998506109,1307,gpt2,gpt2-large,natural,7.176254532017144
accessible_authentication,0.012787561491131753,3,gpt2,gpt2-large,natural,1.3862943611198906
accessible_description,0.012394565902650319,716,gpt2,gpt2-large,natural,6.57507584059962
accessible_name,0.016110800858586873,1619,gpt2,gpt2-large,natural,7.3901814282264295
alt_text,0.008342961082234913,23306,gpt2,gpt2-large,natural,10.056509023618531
audio_description,0.01578766424208869,4691,gpt2,gpt2-large,natural,8.453614209773367
character_key,0.009858947247266714,1974,gpt2,gpt2-large,natural,7.5883236773352225
closed_captions,0.010631198622286226,7942,gpt2,gpt2-large,natural,8.980046316633132
cognitive_disabilities,0.009275432815775206,10189,gpt2,gpt2-large,natural,9.229162126216771
color_contrast,0.020208727475255577,20112,gpt2,gpt2-large,natural,9.909121651153221
combo_box,0.010471824184060058,50410,gpt2,gpt2-large,natural,10.827964684213782
consistent_help,0.0186657218262553,504,gpt2,gpt2-large,natural,6.22455842927536
decorative_image,0.018381284456699967,749,gpt2,gpt2-large,natural,6.620073206530356
drag_movement,0.017727274168282736,328,gpt2,gpt2-large,natural,5.796057750765372
error_identification,0.026292319968342748,1566,gpt2,gpt2-large,natural,7.356918242356021
focus_appearance,0.008216321887448365,102,gpt2,gpt2-large,natural,4.634728988229636
focus_indicator,0.009997844044119087,1261,gpt2,gpt2-large,natural,7.140453043101158
focus_management,0.013778380258008819,989,gpt2,gpt2-large,natural,6.897704943128636
form_field,0.011927328212186615,51864,gpt2,gpt2-large,natural,10.856399467865929
informative_image,0.020664368290454,520,gpt2,gpt2-large,natural,6.255750041753367
input_purpose,0.02280628038570281,53,gpt2,gpt2-large,natural,3.9889840465642745
keyboard_interaction,0.010388250788673725,1073,gpt2,gpt2-large,natural,6.97914527506881
keyboard_navigation,0.011132326954975619,8050,gpt2,gpt2-large,natural,8.993551586299981
landmark_region,0.014443691633641679,128,gpt2,gpt2-large,natural,4.859812404361672
live_region,0.012622358463704556,1112,gpt2,gpt2-large,natural,7.014814351275545
low_vision,0.007551456568762592,36811,gpt2,gpt2-large,natural,10.513579157958748
menu_bar,0.010185885615646722,106878,gpt2,gpt2-large,natural,11.579452632439278
pointer_cancellation,0.013387551344931052,2,gpt2,gpt2-large,natural,1.0986122886681098
radio_group,0.013425141479819915,6694,gpt2,gpt2-large,natural,8.809116258125274
reading_order,0.014334342489019027,9225,gpt2,gpt2-large,natural,9.129780864117766
redundant_entry,0.017247012071311404,205,gpt2,gpt2-large,natural,5.327876168789581
responsive_design,0.017268357984721625,35628,gpt2,gpt2-large,natural,10.4809151919697
screen_reader,0.003697740426286972,32100,gpt2,gpt2-large,natural,10.376642461280849
section_heading,0.022910499479621576,6949,gpt2,gpt2-large,natural,8.846496938558838
semantic_html,0.02108744783326979,2595,gpt2,gpt2-large,natural,7.86172707782398
semantic_markup,0.015854576602578038,4776,gpt2,gpt2-large,natural,8.471568013389962
sensory_characteristics,0.011200361791998127,11206,gpt2,gpt2-large,natural,9.324293862052029
sign_language,0.009899282688274938,113936,gpt2,gpt2-large,natural,11.643400943040573
skip_link,0.009751579025760229,662,gpt2,gpt2-large,natural,6.4967749901858625
status_message,0.009526484832167609,20367,gpt2,gpt2-large,natural,9.921720320797188
tab_panel,0.01595549406483763,3519,gpt2,gpt2-large,natural,8.166216268592143
target_size,0.010821345634758431,21981,gpt2,gpt2-large,natural,9.997979215628845
text_alternative,0.014850991033017558,1852,gpt2,gpt2-large,natural,7.52456122628536
text_formatting,0.01246059057302765,28514,gpt2,gpt2-large,natural,10.258185543590638
text_spacing,0.015443527512252303,615,gpt2,gpt2-large,natural,6.423246963533519
tool_tip,0.011388021428137952,17356,gpt2,gpt2-large,natural,9.761751162220882
touch_target,0.01412146706134079,1114,gpt2,gpt2-large,natural,7.016609683894219
tree_grid,0.008801692398264978,865,gpt2,gpt2-large,natural,6.763884908562435
universal_design,0.014818224217742624,9030,gpt2,gpt2-large,natural,9.108418382250798
accessibility_tree,0.01386010949499903,1307,gpt2,gpt2-large,uniform,7.176254532017144
accessible_authentication,0.01835817815735925,3,gpt2,gpt2-large,uniform,1.3862943611198906
accessible_description,0.010374223720282212,716,gpt2,gpt2-large,uniform,6.57507584059962
accessible_name,0.017034632060676725,1619,gpt2,gpt2-large,uniform,7.3901814282264295
alt_text,0.006568432832136662,23306,gpt2,gpt2-large,uniform,10.056509023618531
audio_description,0.015432586194947267,4691,gpt2,gpt2-large,uniform,8.453614209773367
character_key,0.009858947247266714,1974,gpt2,gpt2-large,uniform,7.5883236773352225
closed_captions,0.007976226927712542,7942,gpt2,gpt2-large,uniform,8.980046316633132
cognitive_disabilities,0.009795217122882581,10189,gpt2,gpt2-large,uniform,9.229162126216771
color_contrast,0.014944853773340466,20112,gpt2,gpt2-large,uniform,9.909121651153221
combo_box,0.010471824184060058,50410,gpt2,gpt2-large,uniform,10.827964684213782
consistent_help,0.023511277232319074,504,gpt2,gpt2-large,uniform,6.22455842927536
decorative_image,0.018381284456699967,749,gpt2,gpt2-large,uniform,6.620073206530356
drag_movement,0.017727274168282736,328,gpt2,gpt2-large,uniform,5.796057750765372
error_identification,0.008681745547801179,1566,gpt2,gpt2-large,uniform,7.356918242356021
focus_appearance,0.008216321887448365,102,gpt2,gpt2-large,uniform,4.634728988229636
focus_indicator,0.009997844044119087,1261,gpt2,gpt2-large,uniform,7.140453043101158
focus_management,0.009880787972360751,989,gpt2,gpt2-large,uniform,6.897704943128636
form_field,0.011927328212186615,51864,gpt2,gpt2-large,uniform,10.856399467865929
informative_image,0.020195662230253167,520,gpt2,gpt2-large,uniform,6.255750041753367
input_purpose,0.020199131499975872,53,gpt2,gpt2-large,uniform,3.9889840465642745
keyboard_interaction,0.010388250788673725,1073,gpt2,gpt2-large,uniform,6.97914527506881
keyboard_navigation,0.01664522038772687,8050,gpt2,gpt2-large,uniform,8.993551586299981
landmark_region,0.014443691633641679,128,gpt2,gpt2-large,uniform,4.859812404361672
live_region,0.012622358463704556,1112,gpt2,gpt2-large,uniform,7.014814351275545
low_vision,0.008493902208283487,36811,gpt2,gpt2-large,uniform,10.513579157958748
menu_bar,0.010185885615646722,106878,gpt2,gpt2-large,uniform,11.579452632439278
pointer_cancellation,0.015387274883687444,2,gpt2,gpt2-large,uniform,1.0986122886681098
radio_group,0.013425141479819915,6694,gpt2,gpt2-large,uniform,8.809116258125274
reading_order,0.00977717894129446,9225,gpt2,gpt2-large,uniform,9.129780864117766
redundant_entry,0.017247012071311404,205,gpt2,gpt2-large,uniform,5.327876168789581
responsive_design,0.016305994149297388,35628,gpt2,gpt2-large,uniform,10.4809151919697
screen_reader,0.003697740426286972,32100,gpt2,gpt2-large,uniform,10.376642461280849
section_heading,0.022910499479621576,6949,gpt2,gpt2-large,uniform,8.846496938558838
semantic_html,0.02266840264201156,2595,gpt2,gpt2-large,uniform,7.86172707782398
semantic_markup,0.01744505288079369,4776,gpt2,gpt2-large,uniform,8.471568013389962
sensory_characteristics,0.01373019726015625,11206,gpt2,gpt2-large,uniform,9.324293862052029
sign_language,0.0038989327847957283,113936,gpt2,gpt2-large,uniform,11.643400943040573
skip_link,0.009751579025760229,662,gpt2,gpt2-large,uniform,6.4967749901858625
status_message,0.009526484832167609,20367,gpt2,gpt2-large,uniform,9.921720320797188
tab_panel,0.01595549406483763,3519,gpt2,gpt2-large,uniform,8.166216268592143
target_size,0.010821345634758431,21981,gpt2,gpt2-large,uniform,9.997979215628845
text_alternative,0.014850991033017558,1852,gpt2,gpt2-large,uniform,7.52456122628536
text_formatting,0.010342083172872637,28514,gpt2,gpt2-large,uniform,10.258185543590638
text_spacing,0.011253084009513208,615,gpt2,gpt2-large,uniform,6.423246963533519
tool_tip,0.011388021428137952,17356,gpt2,gpt2-large,uniform,9.761751162220882
touch_target,0.01412146706134079,1114,gpt2,gpt2-large,uniform,7.016609683894219
tree_grid,0.008801692398264978,865,gpt2,gpt2-large,uniform,6.763884908562435
universal_design,0.02040987266227596,9030,gpt2,gpt2-large,uniform,9.108418382250798
accessibility_tree,0.014076680457219413,1307,gpt2,gpt2-medium,natural,7.176254532017144
accessible_authentication,0.02040582560002801,3,gpt2,gpt2-medium,natural,1.3862943611198906
accessible_description,0.020258276443928417,716,gpt2,gpt2-medium,natural,6.57507584059962
accessible_name,0.018991551268845722,1619,gpt2,gpt2-medium,natural,7.3901814282264295
alt_text,0.016277548577636435,23306,gpt2,gpt2-medium,natural,10.056509023618531
audio_description,0.027644851990044086,4691,gpt2,gpt2-medium,natural,8.453614209773367
character_key,0.017934971302747633,1974,gpt2,gpt2-medium,natural,7.5883236773352225
closed_captions,0.0242235222831368,7942,gpt2,gpt2-medium,natural,8.980046316633132
cognitive_disabilities,0.010505403345450713,10189,gpt2,gpt2-medium,natural,9.229162126216771
color_contrast,0.020326906535774382,20112,gpt2,gpt2-medium,natural,9.909121651153221
combo_box,0.014078676467761387,50410,gpt2,gpt2-medium,natural,10.827964684213782
consistent_help,0.018340059369802424,504,gpt2,gpt2-medium,natural,6.22455842927536
decorative_image,0.019239447358995576,749,gpt2,gpt2-medium,natural,6.620073206530356
drag_movement,0.01732149459421628,328,gpt2,gpt2-medium,natural,5.796057750765372
error_identification,0.029020879976451287,1566,gpt2,gpt2-medium,natural,7.356918242356021
focus_appearance,0.027018757443874983,102,gpt2,gpt2-medium,natural,4.634728988229636
focus_indicator,0.017958901077508787,1261,gpt2,gpt2-medium,natural,7.140453043101158
focus_management,0.02010932220146054,989,gpt2,gpt2-medium,natural,6.897704943128636
form_field,0.02115180175751436,51864,gpt2,gpt2-medium,natural,10.856399467865929
informative_image,0.03406854709610332,520,gpt2,gpt2-medium,natural,6.255750041753367
input_purpose,0.02706181677058334,53,gpt2,gpt2-medium,natural,3.9889840465642745
keyboard_interaction,0.019635354960337192,1073,gpt2,gpt2-medium,natural,6.97914527506881
keyboard_navigation,0.01226881663314991,8050,gpt2,gpt2-medium,natural,8.993551586299981
landmark_region,0.021049418020993433,128,gpt2,gpt2-medium,natural,4.859812404361672
live_region,0.03164965519681559,1112,gpt2,gpt2-medium,natural,7.014814351275545
low_vision,0.012636100547388089,36811,gpt2,gpt2-medium,natural,10.513579157958748
menu_bar,0.022702064923942035,106878,gpt2,gpt2-medium,natural,11.579452632439278
pointer_cancellation,0.01649304339662185,2,gpt2,gpt2-medium,natural,1.0986122886681098
radio_group,0.01569659425877027,6694,gpt2,gpt2-medium,natural,8.809116258125274
reading_order,0.020338096376508435,9225,gpt2,gpt2-medium,natural,9.129780864117766
redundant_entry,0.032447306811809434,205,gpt2,gpt2-medium,natural,5.327876168789581
responsive_design,0.020075385179370565,35628,gpt2,gpt2-medium,natural,10.4809151919697
screen_reader,0.00726153112482274,32100,gpt2,gpt2-medium,natural,10.376642461280849
section_heading,0.02191068697720756,6949,gpt2,gpt2-medium,natural,8.846496938558838
semantic_html,0.024559001252055155,2595,gpt2,gpt2-medium,natural,7.86172707782398
semantic_markup,0.020747717097401544,4776,gpt2,gpt2-medium,natural,8.471568013389962
sensory_characteristics,0.014729542424902292,11206,gpt2,gpt2-medium,natural,9.324293862052029
sign_language,0.00676981948781752,113936,gpt2,gpt2-medium,natural,11.643400943040573
skip_link,0.007320340909063747,662,gpt2,gpt2-medium,natural,6.4967749901858625
status_message,0.00745951849967237,20367,gpt2,gpt2-medium,natural,9.921720320797188
tab_panel,0.011126719834282928,3519,gpt2,gpt2-medium,natural,8.166216268592143
target_size,0.016603282792493592,21981,gpt2,gpt2-medium,natural,9.997979215628845
text_alternative,0.022383733652531962,1852,gpt2,gpt2-medium,natural,7.52456122628536
text_formatting,0.01328832376748319,28514,gpt2,gpt2-medium,natural,10.258185543590638
text_spacing,0.012906605424359407,615,gpt2,gpt2-medium,natural,6.423246963533519
tool_tip,0.015954923676326796,17356,gpt2,gpt2-medium,natural,9.761751162220882
touch_target,0.012853362690657304,1114,gpt2,gpt2-medium,natural,7.016609683894219
tree_grid,0.016152727324515566,865,gpt2,gpt2-medium,natural,6.763884908562435
universal_design,0.01769966036081306,9030,gpt2,gpt2-medium,natural,9.108418382250798
accessibility_tree,0.013864164473488864,1307,gpt2,gpt2-medium,uniform,7.176254532017144
accessible_authentication,0.02387308701872821,3,gpt2,gpt2-medium,uniform,1.3862943611198906
accessible_description,0.01839316636323924,716,gpt2,gpt2-medium,uniform,6.57507584059962
accessible_name,0.019268560083582905,1619,gpt2,gpt2-medium,uniform,7.3901814282264295
alt_text,0.01524596703238779,23306,gpt2,gpt2-medium,uniform,10.056509023618531
audio_description,0.025512340106070015,4691,gpt2,gpt2-medium,uniform,8.453614209773367
character_key,0.017934955004602588,1974,gpt2,gpt2-medium,uniform,7.5883236773352225
closed_captions,0.033892309572547484,7942,gpt2,gpt2-medium,uniform,8.980046316633132
cognitive_disabilities,0.010722741950303285,10189,gpt2,gpt2-medium,uniform,9.229162126216771
color_contrast,0.016711309412494255,20112,gpt2,gpt2-medium,uniform,9.909121651153221
combo_box,0.014078683964908058,50410,gpt2,gpt2-medium,uniform,10.827964684213782
consistent_help,0.02564969900995488,504,gpt2,gpt2-medium,uniform,6.22455842927536
decorative_image,0.019239434506744042,749,gpt2,gpt2-medium,uniform,6.620073206530356
drag_movement,0.017321501486003317,328,gpt2,gpt2-medium,uniform,5.796057750765372
error_identification,0.014397504925727774,1566,gpt2,gpt2-medium,uniform,7.356918242356021
focus_appearance,0.027018790040165122,102,gpt2,gpt2-medium,uniform,4.634728988229636
focus_indicator,0.017958898050710492,1261,gpt2,gpt2-medium,uniform,7.140453043101158
focus_management,0.012203817022964263,989,gpt2,gpt2-medium,uniform,6.897704943128636
form_field,0.021151798497885385,51864,gpt2,gpt2-medium,uniform,10.856399467865929
informative_image,0.033000644855201086,520,gpt2,gpt2-medium,uniform,6.255750041753367
input_purpose,0.0257605579681694,53,gpt2,gpt2-medium,uniform,3.9889840465642745
keyboard_interaction,0.01963535198010494,1073,gpt2,gpt2-medium,uniform,6.97914527506881
keyboard_navigation,0.026160000171512238,8050,gpt2,gpt2-medium,uniform,8.993551586299981
landmark_region,0.021049423143267562,128,gpt2,gpt2-medium,uniform,4.859812404361672
live_region,0.03164966311305746,1112,gpt2,gpt2-medium,uniform,7.014814351275545
low_vision,0.008592469827271928,36811,gpt2,gpt2-medium,uniform,10.513579157958748
menu_bar,0.022702083550393538,106878,gpt2,gpt2-medium,uniform,11.579452632439278
pointer_cancellation,0.021042799856513594,2,gpt2,gpt2-medium,uniform,1.0986122886681098
radio_group,0.015696613909676634,6694,gpt2,gpt2-medium,uniform,8.809116258125274
reading_order,0.01227346747182304,9225,gpt2,gpt2-medium,uniform,9.129780864117766
redundant_entry,0.03244728362187731,205,gpt2,gpt2-medium,uniform,5.327876168789581
responsive_design,0.01775415111333124,35628,gpt2,gpt2-medium,uniform,10.4809151919697
screen_reader,0.0072615345008671004,32100,gpt2,gpt2-medium,uniform,10.376642461280849
section_heading,0.02191069256514306,6949,gpt2,gpt2-medium,uniform,8.846496938558838
semantic_html,0.022902385238558007,2595,gpt2,gpt2-medium,uniform,7.86172707782398
semantic_markup,0.014403906930237907,4776,gpt2,gpt2-medium,uniform,8.471568013389962
sensory_characteristics,0.02027882989495983,11206,gpt2,gpt2-medium,uniform,9.324293862052029
sign_language,0.00352396086091172,113936,gpt2,gpt2-medium,uniform,11.643400943040573
skip_link,0.007320339372381522,662,gpt2,gpt2-medium,uniform,6.4967749901858625
status_message,0.007459513703361076,20367,gpt2,gpt2-medium,uniform,9.921720320797188
tab_panel,0.011126725981011948,3519,gpt2,gpt2-medium,uniform,8.166216268592143
target_size,0.016603292198851618,21981,gpt2,gpt2-medium,uniform,9.997979215628845
text_alternative,0.022383684478700018,1852,gpt2,gpt2-medium,uniform,7.52456122628536
text_formatting,0.014378447551280201,28514,gpt2,gpt2-medium,uniform,10.258185543590638
text_spacing,0.023045183252543174,615,gpt2,gpt2-medium,uniform,6.423246963533519
tool_tip,0.01595493266358962,17356,gpt2,gpt2-medium,uniform,9.761751162220882
touch_target,0.012853352492675134,1114,gpt2,gpt2-medium,uniform,7.016609683894219
tree_grid,0.016152736265212235,865,gpt2,gpt2-medium,uniform,6.763884908562435
universal_design,0.0221667999401688,9030,gpt2,gpt2-medium,uniform,9.108418382250798
accessibility_tree,0.007231007958762311,1307,gpt2,gpt2-xl,natural,7.176254532017144
accessible_authentication,0.0067740693921222745,3,gpt2,gpt2-xl,natural,1.3862943611198906
accessible_description,0.008334863651543779,716,gpt2,gpt2-xl,natural,6.57507584059962
accessible_name,0.006830007815733513,1619,gpt2,gpt2-xl,natural,7.3901814282264295
alt_text,0.007495587971061382,23306,gpt2,gpt2-xl,natural,10.056509023618531
audio_description,0.008173089148476632,4691,gpt2,gpt2-xl,natural,8.453614209773367
character_key,0.007092794706113617,1974,gpt2,gpt2-xl,natural,7.5883236773352225
closed_captions,0.005973782506771337,7942,gpt2,gpt2-xl,natural,8.980046316633132
cognitive_disabilities,0.0038443823345005396,10189,gpt2,gpt2-xl,natural,9.229162126216771
color_contrast,0.008916168473660882,20112,gpt2,gpt2-xl,natural,9.909121651153221
combo_box,0.0058246650267391575,50410,gpt2,gpt2-xl,natural,10.827964684213782
consistent_help,0.0057972161332144655,504,gpt2,gpt2-xl,natural,6.22455842927536
decorative_image,0.00732746259309347,749,gpt2,gpt2-xl,natural,6.620073206530356
drag_movement,0.0050271635875104624,328,gpt2,gpt2-xl,natural,5.796057750765372
error_identification,0.012798232398927124,1566,gpt2,gpt2-xl,natural,7.356918242356021
focus_appearance,0.005049441452138089,102,gpt2,gpt2-xl,natural,4.634728988229636
focus_indicator,0.0057946084765716785,1261,gpt2,gpt2-xl,natural,7.140453043101158
focus_management,0.008368021668866257,989,gpt2,gpt2-xl,natural,6.897704943128636
form_field,0.0069074846571311,51864,gpt2,gpt2-xl,natural,10.856399467865929
informative_image,0.006428749416954797,520,gpt2,gpt2-xl,natural,6.255750041753367
input_purpose,0.009379843762144386,53,gpt2,gpt2-xl,natural,3.9889840465642745
keyboard_interaction,0.0075014009140431165,1073,gpt2,gpt2-xl,natural,6.97914527506881
keyboard_navigation,0.006789366877637741,8050,gpt2,gpt2-xl,natural,8.993551586299981
landmark_region,0.004018380492925567,128,gpt2,gpt2-xl,natural,4.859812404361672
live_region,0.006257808301597727,1112,gpt2,gpt2-xl,natural,7.014814351275545
low_vision,0.004213333525694877,36811,gpt2,gpt2-xl,natural,10.513579157958748
menu_bar,0.0065606930525972705,106878,gpt2,gpt2-xl,natural,11.579452632439278
pointer_cancellation,0.007553770369850009,2,gpt2,gpt2-xl,natural,1.0986122886681098
radio_group,0.0059329009614884345,6694,gpt2,gpt2-xl,natural,8.809116258125274
reading_order,0.008817357430234485,9225,gpt2,gpt2-xl,natural,9.129780864117766
redundant_entry,0.007467766338959235,205,gpt2,gpt2-xl,natural,5.327876168789581
responsive_design,0.008720510918647001,35628,gpt2,gpt2-xl,natural,10.4809151919697
screen_reader,0.0033967363531700883,32100,gpt2,gpt2-xl,natural,10.376642461280849
section_heading,0.004111546766944149,6949,gpt2,gpt2-xl,natural,8.846496938558838
semantic_html,0.009758184663951359,2595,gpt2,gpt2-xl,natural,7.86172707782398
semantic_markup,0.006537163164466603,4776,gpt2,gpt2-xl,natural,8.471568013389962
sensory_characteristics,0.010734626278281083,11206,gpt2,gpt2-xl,natural,9.324293862052029
sign_language,0.0033239566255360733,113936,gpt2,gpt2-xl,natural,11.643400943040573
skip_link,0.007360011502169062,662,gpt2,gpt2-xl,natural,6.4967749901858625
status_message,0.005055927368812207,20367,gpt2,gpt2-xl,natural,9.921720320797188
tab_panel,0.004521183623000935,3519,gpt2,gpt2-xl,natural,8.166216268592143
target_size,0.0039442145498468735,21981,gpt2,gpt2-xl,natural,9.997979215628845
text_alternative,0.006805087416432755,1852,gpt2,gpt2-xl,natural,7.52456122628536
text_formatting,0.008082492137327764,28514,gpt2,gpt2-xl,natural,10.258185543590638
