family,model,layer,relative_layer_depth,n_heads,n_finite,n_negative,median_rho,q25_rho,q75_rho
pythia,pythia-160m,9,0.8333333333333334,12,12,4,0.041581632653061223,-0.0799234693877551,0.105
pythia,pythia-160m,10,0.9166666666666666,12,12,6,-0.012397959183673472,-0.12002551020408163,0.10030612244897959
pythia,pythia-160m,11,1.0,12,12,10,-0.1676530612244898,-0.248512345460006,-0.06849629977250819
pythia,pythia-1b,11,0.75,8,8,7,-0.0841326530612245,-0.1475,-0.04165816326530612
pythia,pythia-1b,12,0.8125,8,8,7,-0.06948979591836735,-0.1071938775510204,-0.057270408163265306
pythia,pythia-1b,13,0.875,8,8,8,-0.2314795918367347,-0.31834183673469385,-0.18686224489795916
pythia,pythia-1b,14,0.9375,8,8,6,-0.10989795918367347,-0.15403061224489795,-0.04933673469387755
pythia,pythia-1b,15,1.0,8,8,6,-0.11209183673469386,-0.18451530612244899,-0.04961734693877551
pythia,pythia-2.8b,22,0.71875,32,32,24,-0.09719387755102041,-0.26066326530612244,-0.012576530612244898
pythia,pythia-2.8b,23,0.75,32,32,25,-0.07306122448979592,-0.2342857142857143,-0.008443877551020409
pythia,pythia-2.8b,24,0.78125,32,32,24,-0.12464285714285714,-0.21757653061224488,-0.015153061224489795
pythia,pythia-2.8b,25,0.8125,32,32,22,-0.09852040816326531,-0.22895408163265307,0.07132653061224489
pythia,pythia-2.8b,26,0.84375,32,32,27,-0.14346938775510204,-0.21926020408163266,-0.025
pythia,pythia-2.8b,27,0.875,32,32,23,-0.09510204081632653,-0.22747448979591836,0.03918367346938775
pythia,pythia-2.8b,28,0.90625,32,32,28,-0.22749999999999998,-0.3448214285714286,-0.08956632653061225
pythia,pythia-2.8b,29,0.9375,32,32,24,-0.07306122448979592,-0.23390306122448978,0.0035714285714285718
pythia,pythia-2.8b,30,0.96875,32,32,28,-0.17142857142857143,-0.28160714285714283,-0.08237244897959184
pythia,pythia-2.8b,31,1.0,32,32,27,-0.11765306122448979,-0.18413265306122448,-0.07114795918367348
pythia,pythia-410m,16,0.7083333333333334,16,16,9,-0.06403061224489796,-0.11910714285714286,0.17122448979591837
pythia,pythia-410m,17,0.75,16,16,12,-0.13346938775510203,-0.25204081632653064,0.005229591836734694
pythia,pythia-410m,18,0.7916666666666666,16,16,9,-0.019285714285714288,-0.16614795918367348,0.05522959183673469
pythia,pythia-410m,19,0.8333333333333334,16,16,10,-0.08897959183673469,-0.20482142857142857,0.08020408163265307
pythia,pythia-410m,20,0.875,16,16,16,-0.1667857142857143,-0.2868622448979592,-0.09826530612244898
pythia,pythia-410m,21,0.9166666666666666,16,16,14,-0.13571428571428573,-0.24681122448979592,-0.09369897959183673
pythia,pythia-410m,22,0.9583333333333334,16,16,15,-0.2544387755102041,-0.2758673469387755,-0.16551020408163264
pythia,pythia-410m,23,1.0,16,16,16,-0.18137755102040815,-0.26943877551020406,-0.10130102040816327
pythia,pythia-6.9b,22,0.71875,32,32,24,-0.12341836734693878,-0.23905612244897959,-0.014311224489795916
pythia,pythia-6.9b,23,0.75,32,32,16,-0.015816326530612244,-0.23655612244897958,0.1406887755102041
pythia,pythia-6.9b,24,0.78125,32,32,25,-0.11142857142857143,-0.2281122448979592,-0.02436224489795918
pythia,pythia-6.9b,25,0.8125,32,32,20,-0.051632653061224484,-0.18566326530612245,0.10173469387755102
pythia,pythia-6.9b,26,0.84375,32,32,25,-0.13295918367346937,-0.2380357142857143,-0.09747448979591836
pythia,pythia-6.9b,27,0.875,32,32,22,-0.0960204081632653,-0.1744642857142857,0.02530612244897959
pythia,pythia-6.9b,28,0.90625,32,31,20,-0.03653061224489796,-0.2007142857142857,0.06474489795918367
pythia,pythia-6.9b,29,0.9375,32,32,21,-0.07857142857142857,-0.25186224489795916,0.028392857142857143
pythia,pythia-6.9b,30,0.96875,32,31,17,-0.04163265306122449,-0.16214285714285714,0.05918367346938776
pythia,pythia-6.9b,31,1.0,32,32,28,-0.10137755102040816,-0.1921938775510204,-0.04288265306122449
