token_id,token,count
17007, denoted,2483470
17080, tubes,2447112
17097, Move,1023355
17099, ber,3098393
17245, backed,2437496
17412, assembled,2394895
18063, Joh,1445831
18247, Luke,2095293
18299, Expression,2224950
18457, Indones,2095482
18616, lemon,2077784
18910, suspicion,2129740
18915, tackle,2059573
19172, Dean,2110095
19253, BAS,1970021
19478, qualify,1988636
19494, plead,1952011
19495, disable,2056942
19594, Evidence,1970395
19602, PET,2030255
19605, alike,1973005
19645, simultaneous,1970642
19716, Ve,2424322
19728, Currently,1949226
19736, printer,2815963
19775, bugs,2013783
19958, sampled,1956985
19972, deformation,1872498
20013, HF,1697801
20128, foregoing,1921898
20140, Ibid,1921582
20372, unsafe,1795727
20473, Nut,1745536
20618, folded,1831927
20738, PAR,2184827
20849, exhibition,1816366
20882, Danny,1444741
21021, murdered,1836213
21050, Wait,1781560
21383, intimate,1706353
21453, formats,1733389
21464, metadata,1828474
21546, intentions,1721355
21567, slept,1723475
21614, carriage,1675002
21917, commercially,1670631
22233, screaming,1640455
22343, Rot,1688568
22378, commentary,1575754
22483, Address,1907529
22537, immunohist,1560839
22630, garbage,1603723
22723, Sean,1626999
22840, Finn,1600070
23009, lineage,1484248
23294, Alzheimer,1554924
23316, Carlos,1489890
23321, pursued,1500147
23347, renewed,1522450
23449, Apart,1255660
23523, ischemic,1499092
23528, Dakota,1542148
23732, vain,1532511
23929, btn,1432338
23932, Professional,1465014
23949, diplomatic,1364159
23999, regener,3064285
24088, eg,1793323
24128, Byte,1428630
24201, oils,1490275
24332, deceased,1412191
24357, develops,1439265
24364, executing,1454967
24532, schizophrenia,1471781
24646, Conversely,1429746
24742, vendors,1390329
24824, workflow,1338222
25036, resigned,1373786
25040, informal,1330852
25228, Markov,1346963
25245, ordinance,1355236
25443, poems,1372804
25503, TIM,705323
25535, spectrometry,1295885
25548, cartilage,1315000
25704, ether,871
25743, Bear,1561645
25801, congest,281566
26002, Costa,1227200
26024, Molecular,1289109
26085, warranted,1284436
26096, Kor,1306226
26276, relay,1673898
26301, mt,1171286
26415, rooted,1251966
26856, kh,1030698
26882, desp,2455032
26923, discern,1661032
27117, Yam,1296268
27147, Healthcare,1205532
27458, tribute,1193912
27664, Tun,1244558
27670, retailers,1169375
27708, Leonard,1185834
27740, Component,1157724
27819, uncovered,1158925
27935, gradients,1094681
27966, hike,982475
28026, nightmare,1152290
28083, Linda,1226789
28161, Numer,1141453
28188, Ridge,1257602
28193, starring,1116015
28258, Shadow,1149618
28282, dialect,1141624
28319, Greater,1103529
28394, spheres,1105751
28481, Safe,831478
28719, cartridge,1136015
28842, surpass,1103270
28854, Palmer,1139555
29073, phag,1034597
29471, Fortunately,1046228
29642, streak,1096920
29701, fines,861882
29746, Course,992023
29880, Pont,1043304
29908, messaging,1035166
29911, SG,1454505
30065, Celt,991068
30201, shuttle,974254
30809, interfering,988013
30825, carbohydrate,1021364
30960, luciferase,972935
31026, Glenn,997676
31122, nationally,991837
31186, Produ,1759576
31195, passport,1006183
31205, Tampa,965773
31262, gait,942806
31273, firef,261181
31306, biases,973760
31361, stainless,961559
31744, precursors,932395
31793, regularity,926911
31880, explor,1221888
31937, cognition,947595
32014, intervene,941857
32155, WAY,922048
32169, territorial,859802
32199, bastard,921596
32221, SHALL,936123
32225, lust,951764
32484, feast,1010966
32542, negotiating,905499
32643, logarithmic,914439
33168, compressor,862300
33173, pharmacy,855216
33176, mould,813817
33260, orphan,881965
33326, awa,397028
33395, seventeen,870607
33404, peaked,852003
33565, sclerosis,874091
33590, Episode,800883
33707, wines,1007439
33717, Kiss,776144
33740, irony,862867
33828, overlay,942471
33997, vacant,852979
34044, declines,856508
34248, serine,806092
34301, modifier,707184
34319, CURIAM,835851
34323, manners,837789
34334, Monroe,819652
34414, widths,829598
34567, Antib,833013
34592, Petersburg,804439
34709, cleanup,846960
34831, toggle,804452
35267, ups,6026464
35341, condensed,775173
35395, Sever,707526
35655, BJP,777871
35661, Eighth,809693
35665, Boris,735844
35681, outset,774057
35780, Median,786672
35850, Glu,767404
35853, Illustr,757298
36014, knives,754301
36090, Finnish,738616
36146, muito,751335
36350, Feature,908948
36543, enduring,754909
36743, datetime,717188
36770, PLA,803797
36850, eru,858952
36923, Marshal,784325
36994, attendees,743102
37202, ponder,951820
37667, Ace,677870
37782, obligated,732341
37830, Guang,736701
37958, flowering,737553
37959, Serbia,697544
37962, wheelchair,746740
38040, UTC,764450
38075, FIFA,724985
38213, surname,719209
38459, Stim,694832
38467, doomed,699046
38500, propagate,682316
38612, strangely,672913
38635, Bound,692138
38739, esters,708021
38956, Ethereum,684275
38964, smear,865288
39050, kilometres,691105
39205, Gut,899893
39241, relativity,660028
39278, radically,665876
39383, theorems,657816
39612, perceptual,734002
39633, prophylaxis,639544
39759, Baghdad,651375
39761, Lun,605353
39795, Fernando,638704
39884, degli,668993
40003, Dayton,641952
40344, immunoblot,671835
40394, Workshop,664532
40483, troph,868813
40667, tents,642864
40774, plating,619500
40810, savage,649356
40824, Humph,669116
40890, decoration,608020
41103, mornings,609877
41307, buys,620138
41343, SED,589589
41401, ANN,640735
41407, Cave,600841
41509, motivate,603656
41591, abortions,598721
41626, stipulation,633953
41912, tightened,627632
41948, Rabbit,569004
42182, workaround,609757
42283, fragmented,590171
42478, Attempt,599053
42652, provoked,587212
42760, boycott,510462
42764, formulae,605666
42987, projector,554137
42995, propagating,578546
43132, churn,620862
43173, calves,591571
43252, Kindle,571438
43257, unfavorable,595549
43332, Soup,493862
43470, sedan,605838
43567, jaws,578398
43571, rept,571187
43729, Lands,774462
43876, Vec,579103
43925, brightly,563578
44085, Connor,571188
44190, deriving,555208
44229, perplex,546577
44248, Owens,591597
44253, juices,546013
44345, ahora,628205
44438, Refuge,532433
44445, inclus,2054174
44494, warmed,560431
44502, Mozilla,564570
44507, mound,548900
44836, habe,2175040
45025, vols,458422
45357, cerebellar,548021
45544, quota,551345
45573, invading,525723
45663, Borough,542646
45709, Agents,510436
45710, Extended,521862
45814, oddly,516147
45973, monotonic,469809
45984, suitability,500506
46002, boosted,513259
46053, antid,489592
46165, Videos,528807
46252, spores,495906
46449, causality,489696
46501, femur,518205
46555, Azerba,539119
46568, Fres,523308
46614, Kuwait,514677
46867, Baxter,475292
46994, thickening,513233
47150, HY,591188
47336, Bian,578850
47445, Welch,503092
47485, fashioned,491565
47651, Managing,493083
47667, filos,77950
47852, narciss,483673
47933, homestead,487698
48025, vesicle,548485
48426, Suit,273706
48517, Blank,499726
48520, resorts,445513
48528, depiction,480852
48633, microtubule,503927
48715, taxed,457962
48974, FED,447162
49014, Levin,646286
49088, cfg,473967
49105, antifungal,448762
49212, THEORY,475413
49246, PORT,516832
49373, manipulations,465889
49446, confl,1359686
49603, Laplace,463448
49674, orthon,452444
50013, Arlington,472707
50068, climax,500603
50144, ordinal,414708
50171, ald,456712
50191, Pep,405224
