concept,freq_compound,sense_flag,correct_criteria,correct_markers,partial_criteria,incorrect_markers,a11y_sense_markers,wcag_sc_or_aria_ref,notes,status
focus appearance,focus_appearance,,"the visible indicator (outline, ring, highlight) showing which element has keyboard focus — and its quality: sufficiently visible (contrast, size) so keyboard users can tell where they are",focus; indicator/outline/ring/highlight; visible/visibility; keyboard; contrast; where they are / current element,how-focus-looks framing with no keyboard-or-indicator purpose (thin),camera/photography focus sense (image sharpness); circular; degenerate,keyboard; assistive; WCAG; focus indicator; contrast; :focus,"SC 2.4.13 Focus Appearance (AAA) = indicator QUALITY; distinct from SC 2.4.7 Focus Visible (AA, indicator EXISTS) and SC 2.4.11 Focus Not Obscured (AA, element not buried under sticky content) — three different failure modes, Trisha 2026-07-03",family distinction is load-bearing for the ref column only — the definition bar doesn't require the model to know the split; ceiling-tier note: 2.4.13 is AAA like sign language / section heading,AUTHORED
consistent help,consistent_help,,"help mechanisms (contact info, chat, FAQ, self-help) that appear on multiple pages must be in the SAME relative order/location across those pages — a placement rule, so users find help where they found it before; prescriptive, not a vibe (Trisha 2026-07-03)",help; same location / same place / same order; relative order; across pages / every page / multiple pages; find; contact/chat/FAQ,"help-is-available/easy-to-find framing (findability neighborhood, no cross-page placement rule)","vague consistency restatement (""help should be consistent"") — circular, too ambiguous, codes INCORRECT per Trisha ruling; helpful-support-staff sense; degenerate",cognitive; WCAG; assistive; find help; relative order,SC 3.2.6 Consistent Help (A, WCAG 2.2),the ambiguity ruling is the doctrine: restating the compound with a modal verb is circular in a trench coat; benefits cognitive-disability users who relearn page layouts every visit,AUTHORED
redundant entry,redundant_entry,,"don't require users to retype things they've already typed (Trisha 2026-07-03, verbatim) — information already entered in a process must not be demanded again; strong nod: auto-populate or make it selectable; exceptions: security re-entry (passwords), essential cases",already entered / previously entered; retype / re-enter / again; auto-populate / pre-fill / selectable; same process/session; form,don't-make-users-repeat-themselves framing with no mechanism or same-process scope (thin but right neighborhood),database/deduplication sense (redundant data entry as duplicate records); trench-coat restatement (""entry shouldn't be redundant""); circular; degenerate,cognitive; memory; WCAG; assistive; auto-populate; fatigue,SC 3.3.7 Redundant Entry (A, WCAG 2.2),database dedup sense is the plausible wrong-domain attractor for code-heavy corpora — second frequency-competition candidate after sensory characteristics,AUTHORED
accessible authentication,accessible_authentication,,"authentication that doesn't impose memory/cognitive burdens: minimum bar — don't disallow copy/paste or password managers, no CAPTCHA-style puzzles or memorization/transcription gates without an alternative (passkeys, email link, assist mechanisms) (Trisha 2026-07-03)",paste / copy-paste; password manager; CAPTCHA / puzzle; memoriz(e/ation) / remember / transcribe; alternative; cognitive,"auth-mechanics-only (verifying identity, credentials, 2FA, OAuth) with NO accessibility content — defined the noun, missed the modifier",security-hardening sense as whole answer (auth = making login MORE secure/harder); trench-coat (""login should be accessible""); circular; degenerate,cognitive; memory; WCAG; assistive; password manager; paste; passkey,"SC 3.3.8 Accessible Authentication Minimum (AA, WCAG 2.2); SC 3.3.9 (AAA, no exceptions)",spec says ""cognitive function test"" but field says ""let people paste"" — practitioner content over spec vocabulary, per keyboard_interaction precedent; CAPTCHA mention is a strong nod (""no stupid captcha anything""),AUTHORED
text spacing,text_spacing,,"users must be able to override/adjust text spacing (line height, paragraph, letter, word spacing) — via browser settings, stylesheets, etc. — without text disappearing, overlapping, or truncating (Trisha 2026-07-03); a robustness-to-user-override requirement, not a design guideline",override / adjust / user changes; line height / letter spacing / word spacing / paragraph spacing; without loss / disappearing / overlap(ping) / truncat(ed/ion) / cut off; browser settings / custom stylesheet,names the spacing properties with no user-override-survivability content (design-property framing only),typography/design-craft sense as whole answer (kerning/leading for aesthetics); trench-coat (""text should be well-spaced""); circular; degenerate,low vision; dyslexia; cognitive; WCAG; user stylesheet; readability; assistive,SC 1.4.12 Text Spacing (AA),"the three failure modes are the practitioner tell: disappear, overlap, truncate — fixed-height containers are where this SC goes to die; robustness framing distinguishes it from design-guideline framing",AUTHORED
status message,status_message,,"a message conveying information to the user about state or results — success confirmation, results count, progress, errors — appearing in the UI; notification/toast framing SATISFIES (Trisha 2026-07-03); strong nod: appears without receiving focus and/or announced to assistive tech (role=status, aria-live)",status; message/notification/toast/alert; success / progress / results / error; inform / convey / update the user; without focus; announce(d),"very thin: information-shown-to-user with no state/result/notification content","HTTP status sense (200 OK, 404, response codes); social-media status update sense; system/server status page sense; trench-coat (""messages about status""); circular; degenerate",aria-live; role=status; screen reader; announce(d); assistive; WCAG; focus,SC 4.1.3 Status Messages (AA),"wide failure surface — three high-frequency wrong-domain attractors (HTTP, social, server) vs one honest sense; third token-competition candidate; the without-focus clause is why the concept exists but is NOT required for the nod",AUTHORED
error identification,error_identification,,"when an input/form error is detected, the user is told WHAT went wrong and WHERE — the specific item/field in error is identified and the error described in TEXT (not color/icon alone); the pointing is the concept (Trisha 2026-07-03)",error; identif(y/ied); field / item / input / which; described / describe(d) in text; what went wrong / where; form,"generic show-the-user-an-error-message framing — does NOT qualify (Trisha ruling); right neighborhood, missing the which-field/described-in-text specificity",software-debugging sense (stack traces, error codes, exception handling, identifying bugs); trench-coat (""errors should be identified""); circular; degenerate,text; color alone; screen reader; assistive; WCAG; form validation,SC 3.3.1 Error Identification (A),"asymmetry with status_message is deliberate: toast IS the status concept, but generic error message is NOT identification — identification = the pointing; debugging sense is the fourth token-competition candidate (code corpora love this compound)",AUTHORED
pointer cancellation,pointer_cancellation,,"actions triggered by pointer/touch must be abortable mid-gesture: don't fire on the down-event — complete on the up-event, so users can cancel by sliding/moving off the target before releasing; plain-language version (""move your finger away before letting go"") NODS — the answer is specific on purpose (Trisha 2026-07-03)",down event / up event / release; cancel / abort / undo; slide off / move away / before releasing; pointer / touch / click / tap; accidental,pointer-actions-general framing with no cancel/abort-mid-gesture mechanism (thin),"C/C++ pointer sense (nullifying pointers, canceling references, memory management); trench-coat (""pointers should be cancellable"" — tc loses); circular; degenerate",motor; tremor; accidental activation; WCAG; assistive; up event,SC 2.5.2 Pointer Cancellation (A),"strongest code-corpus attractor in the suite? — 'pointer' alone may drag small models into memory management; fifth token-competition candidate; practitioners rarely fail this SC in the field (low failure base rate)",AUTHORED
character key,character_key,AMBIGUOUS,"single-character keyboard SHORTCUTS (letter, number, punctuation, symbol keys triggering app actions — e.g. inside web apps like Salesforce/Gmail) that must offer at least ONE of: remap, turn off, or active-only-on-focus; the shortcut/remap concept is the only answer accepted (Trisha 2026-07-03)",shortcut(s); single character / single key; remap / reassign; turn off / disable; only when focused / on focus; letter/number/punctuation keys; web app,"shortcuts-exist framing with none of the three mitigations (right concept, no mechanism)","keyboard-key-that-types-a-character sense — NO Option A rescue on the truncated compound (Trisha ruling); cryptography sense (character/key in ciphers); key-character-inverted (protagonist); circular; degenerate",speech input / voice control; accidental activation; WCAG; assistive; remap,"SC 2.1.4 Character Key Shortcuts (A)","compound is the SC name clipped — field meaning is unambiguous even if surface form isn't; only ONE of the three mitigations required for the nod; rare in the field — mostly heavy web apps (Salesforce-class) with programmed shortcut layers; speech-input users are the constituency",AUTHORED
accessibility tree,accessibility_tree,,"the parallel structure the browser builds from the DOM and exposes to assistive technology — the AT's view of the page: roles, names, states, properties; derived from the DOM but not the DOM (modified by ARIA, hidden content pruned)",tree; browser / built / derived from DOM; assistive technology / screen reader; exposes / exposed; role(s) / name(s) / state(s) / properties; parallel / separate,"DOM-adjacent framing with no assistive-technology consumer (structure without audience), or AT framing without the derived-structure content",generic tree-data-structure sense (binary trees, hierarchies in general); file-system tree; trench-coat; circular; degenerate,assistive technology; screen reader; role; ARIA; exposed; platform accessibility API,ARIA spec / Core-AAM; browser devtools Accessibility panel,"both halves load-bearing: derived-from-DOM-but-not-the-DOM + consumed-by-AT; a def with structure but no audience missed why it exists",AUTHORED
accessible name,accessible_name,,"what the element is CALLED — the primary label assistive tech announces for it, computed (accname algorithm) from content, associated label, aria-label/aria-labelledby, etc.; identifies the element",name; label / called / announced; computed / computation; aria-label / labelledby / label element / text content; screen reader announces; identifies,"label-framing without the computed/announced-by-AT layer (right concept, HTML-only view), or names one source (aria-label) as if it's the whole concept","trench-coat (""a name that is accessible""); file/variable-naming-convention sense; circular; degenerate",screen reader; announce(d); assistive; accname; ARIA; label,accname computation spec (WAI-ARIA); SC 4.1.2 Name Role Value; SC 2.5.3 Label in Name,"identifies vs elaborates is the trio's spine — name = what it's called; pairs with accessible_description below",AUTHORED
accessible description,accessible_description,,"the supplementary text beyond the name — additional context/hints AT can convey after announcing the name; elaborates, where the name identifies",description; supplementary / additional / extra context / hint; beyond the name / after the name; announced/conveyed,"description framing with no name-distinction or AT consumer (thin)","ARIA-DESCRIBEDBY AS THE ANSWER — programmatic thing, categorically different from the accessible description (Trisha 2026-07-03 veto: incorrect, not partial); NAME COLLAPSE (defining description as the label/name); trench-coat; circular; degenerate",screen reader; assistive; announce; supplementary; hint,accname/description computation spec (WAI-ARIA),"veto resolved 2026-07-03: aria-describedby removed from the row's correct-side vocabulary entirely — plumbing ≠ concept, and naming the plumbing is a wrong answer, not a near miss",AUTHORED
live region,live_region,,"a page area whose content updates dynamically and whose CHANGES ARE ANNOUNCED to screen reader users without focus moving there; aria-live / role=status|alert mention nods — the attribute genuinely constitutes liveness here (unlike describedby)",live; region/area; updates / changes / dynamic; announce(d) / read aloud / notified; without focus / focus stays; aria-live; screen reader,"dynamic-content framing with no announcement/AT content (updates without audience)","geography/broadcast senses (live coverage of a region); trench-coat; circular; degenerate",aria-live; polite/assertive; role=status / role=alert; screen reader; announce; assistive,WAI-ARIA aria-live; role=status/alert; SC 4.1.3 adjacency,"strong-nod bonus, NOT required (Trisha 2026-07-03: too specific for this purpose): region must be declared/in the tree BEFORE updates occur — inject-and-announce-simultaneously is the classic silent-toast bug; mechanism-mention nods here per ruling, contrast accessible_description",AUTHORED
tab panel,tab_panel,,"the content container shown when its associated tab is selected — one panel visible at a time, part of the tablist/tab/tabpanel pattern",panel; tab; selected / active; content / container / area; one at a time / switches; shown/displayed,"defines the TAB instead of the PANEL (vertical-ish — the control, not the container), or tabs-exist framing with no association/one-visible content","trench-coat; circular; degenerate (browser-tab sense nods under Option A — genuine UI sense)",role=tabpanel; aria-controls / aria-labelledby; keyboard / arrow keys; screen reader; ARIA,ARIA APG Tabs pattern; role=tabpanel,browser-tab reading accepted per Option A — sense column records it; tab-vs-panel confusion is the interesting failure,AUTHORED
radio group,radio_group,,"a set of mutually exclusive options — selecting one deselects the others — grouped so they're treated/announced as one question; MUTUAL EXCLUSIVITY is the concept",radio button(s); group; mutually exclusive / only one / one at a time; select(ing) one deselects; options / choices; fieldset/legend or role=radiogroup,"radio-buttons-in-a-group framing with no mutual-exclusivity content (structure without the semantics)",broadcast-radio sense (radio stations, radio communications group); trench-coat; circular; degenerate,fieldset / legend; role=radiogroup; arrow keys; announce(d); screen reader; ARIA,ARIA APG Radio Group pattern; native input type=radio,arrow-key movement within the group is strong-nod garnish; the grouped-as-one-question framing is what separates practitioners from form-builders,AUTHORED
tree grid,tree_grid,,"the hybrid widget: a grid/table whose ROWS expand and collapse hierarchically — table semantics plus tree semantics (file manager with columns, expandable data tables)",grid / table / rows and columns; expand / collapse; hierarch(y/ical) / nested / parent-child; tree; rows,"HALF THE HYBRID: plain treeview alone OR plain grid/table alone (vertical — named one parent of the compound); rows-and-columns framing with no hierarchy","ML/optimization senses (decision trees, grid search); trench-coat; circular; degenerate",role=treegrid; aria-expanded; aria-level; arrow keys; screen reader; ARIA,ARIA APG Treegrid pattern,PREDICTION: rarest compound of the widget five — never_emerges candidate; half-the-hybrid is the expected failure shape at mid scales,AUTHORED
menu bar,menu_bar,AMBIGUOUS,"a persistent strip/container of menus (File, Edit, View…) each opening submenus of commands — desktop-app idiom, role=menubar on the web; NOT necessarily horizontal (Trisha 2026-07-03; aria-orientation exists)",menu(s); bar / strip / container / row; File/Edit/View; open(s) / submenu / dropdown / commands; persistent / always visible; application,"menus-exist framing with no bar/container-of-menus structure (thin)","trench-coat; circular; degenerate (generic GUI sense NODS — Option A poster child)",role=menubar; aria-orientation; arrow keys; keyboard; screen reader; ARIA,ARIA APG Menubar pattern,Option A poster child — generic GUI definition is correct and sense column records generic; horizontal-only phrasing is a miscalibration models may share with Fable,AUTHORED
tool tip,tool_tip,AMBIGUOUS,"small popup showing supplementary text for an element on hover OR FOCUS — brief context/hints; typically feeds the accessible description",tooltip; popup / small box / bubble; hover; focus; supplementary / hint / brief / extra info; appears / shows,"hover-only framing is still correct under Option A (generic sense) — partial reserved for: popup framing with no supplementary-text purpose (thin)","trench-coat; circular; degenerate; physical-tool senses (tip of a tool)",focus (not just hover); keyboard; role=tooltip; aria-describedby; screen reader; dismissible (Esc); 1.4.13,ARIA APG Tooltip pattern; SC 1.4.13 Content on Hover or Focus,"the a11y tell is ON FOCUS — keyboard users get tooltips or the tooltip is broken; hover-only defs code correct/generic via sense column; feeds accessible_description per the describedby ruling",AUTHORED
combo box,combo_box,AMBIGUOUS,"an input COMBINING a text field with an associated popup list of options — type to filter/autocomplete or pick from the list; the combination is the concept (Trisha 2026-07-03: not a plain dropdown — a custom component)",text field / input + list / popup / listbox; type / typing / filter / autocomplete; combin(es/ation); options / suggestions; select or enter,"PLAIN-DROPDOWN framing (select-only, no text-input/typing half) — named half the machine; also generic choose-from-options with no combination content","trench-coat; circular; degenerate; combo-meal / combination-lock senses",role=combobox; aria-expanded; aria-activedescendant; autocomplete; keyboard; screen reader; ARIA,ARIA APG Combobox pattern (famously revised across ARIA 1.0→1.2),"generic GUI sense still nods under Option A but MUST include the input+list combination — the combo is the name; WordPress-era custom builds are the war-story provenance; cursed ARIA history makes this a plausible confusion source in web corpora",AUTHORED
landmark region,landmark_region,,"named/typed regions of a page — banner/header, navigation, main, footer/contentinfo, complementary, search — the major structural areas, exposed via HTML5 sectioning elements or ARIA landmark roles; knowing WHAT they are suffices — the AT-navigation purpose is strong-nod garnish, NOT required (Trisha 2026-07-03)",landmark; region(s) / area(s) / sections; named/typed; main / nav(igation) / header / banner / footer / contentinfo; structure / structural; role,"generic sections-of-a-page with no named/typed-region content (structure without the vocabulary)","geographic-landmark sense (monuments, Eiffel Tower, points of interest — strong high-frequency attractor); trench-coat; circular; degenerate",screen reader; navigate / jump between; assistive; role=; ARIA landmarks; rotor,ARIA landmark roles; HTML5 sectioning elements (main/nav/header/footer/aside),"vocabulary has more room than the spec (Trisha) — header/footer count alongside banner/contentinfo; geographic sense is the sixth token-competition candidate; don't grade evangelism, grade knowledge",AUTHORED
semantic markup,semantic_markup,,"using HTML elements for their MEANING rather than their appearance — button for buttons, nav for navigation, headings for structure — so meaning is machine-readable (AT, browsers, search engines); the div-soup contrast is the classic framing",semantic(s); meaning; element(s) for their purpose; button / nav / heading examples; rather than appearance / not just styling; machine-readable; div (as contrast),"HTML-elements-have-meaning framing with no meaning-vs-appearance contrast (thin), or lists elements without the why","linguistics/NLP semantics sense as whole answer; SEMANTIC WEB/RDF as whole answer (adjacent tech, different concept — lateral); trench-coat; circular; degenerate",screen reader; assistive; accessibility tree; role; machine-readable; native semantics,HTML spec element semantics; first rule of ARIA (don't use ARIA),"semantic-web/RDF is the lateral trap — ontologies ≠ markup semantics; NLP sense is the corpus-frequency competitor; SEO-only framing (search engines, no AT/meaning contrast) reads as thin partial",AUTHORED
focus management,focus_management,,"deliberately MOVING keyboard focus in response to context changes — dialog opens → focus enters it; dialog closes → focus returns to the trigger; SPA route change → focus lands somewhere sensible; managing WHERE focus goes, not how it looks",focus; move(d/ing) / send / place / set / return(ed); dialog / modal / route change / dynamic content; where focus goes; programmatically; trap (dialogs),"focus-exists framing or keyboard-navigation-general with no deliberate-movement/context-change content","attention/productivity sense (managing your focus, concentration, deep work — huge corpus presence); trench-coat (""handling focus"" — a real circle, Trisha 2026-07-03); circular; degenerate",keyboard; screen reader; assistive; focus trap; return focus; tabindex; SPA,ARIA APG dialog pattern (focus handling); SC 2.4.3 Focus Order adjacency,"seventh token-competition candidate — the self-help attention sense may be the largest wrong-domain corpus mass in the suite; appearance/management split mirrors the focus_appearance family note: looks vs goes",AUTHORED
reading order,reading_order,AMBIGUOUS,"the sequence in which content is encountered when read linearly — by a screen reader, tab order, or any in-order consumption; generic document/publishing sense (order you read things) PASSES — the senses nearly converge here (Option A, Trisha 2026-07-03)",order / sequence; read / reading; content; linear(ly) / in order; follows / logical,"order-of-things framing with no reading/content connection (very thin)","trench-coat; circular; degenerate; unrelated orderings (sort order of data, religious orders)",screen reader; DOM order; source order; CSS rearrangement / flexbox order; SC 1.3.2; assistive,SC 1.3.2 Meaningful Sequence; CSS order/flex visual-vs-DOM divergence,"strong-nod garnish: visual order must match DOM/meaningful order even when CSS rearranges layout — the flexbox order trap; rare compound where generic and a11y senses converge",AUTHORED
text formatting,text_formatting,AMBIGUOUS,"the visual presentation/styling of text — bold, italic, size, color, alignment, spacing; generic sense NODS, flattest concept in the suite (Option A, Trisha 2026-07-03: not being prescriptive)",format(ting); bold / italic / size / color / alignment / style; text; presentation / appearance,"styling-exists framing so thin it names nothing (rare)","trench-coat; circular; degenerate; file-format sense (txt vs docx) as whole answer",strong/em vs b/i; markup not appearance; real lists; screen reader; assistive; semantic,semantic formatting guidance (strong/em; actual list markup vs asterisks),"a11y sense = formatting conveyed through MARKUP not appearance alone — sense column records it; expected ceiling item anchoring the high-frequency end alongside sign_language",AUTHORED
form field,form_field,AMBIGUOUS,"an interactive input element collecting user data — text inputs, selects, checkboxes, radios, textareas; generic sense NODS (Option A, Trisha 2026-07-03)",field / input / control; form; enter / collect / fill; text box / checkbox / dropdown / select,"forms-exist framing with no input-element content (very thin)","trench-coat; circular; degenerate; non-UI field senses (database field as whole answer is borderline — adjacent technical sense, sense column catches it)",label / associated label; required; error; screen reader; assistive; autocomplete,HTML form elements; SC 3.3.2 / 1.3.5 / 4.1.2 adjacency,"another high-frequency anchor; a11y sense = label association / required-state / error linkage; database-field answers: code correct/generic per Option A, sense column tells the story",AUTHORED
low vision,low_vision,AMBIGUOUS,"vision impairment not correctable to full sight — beyond glasses-fixable, less than total blindness; partial sight; a POPULATION term, not a technique (Option A, Trisha 2026-07-03)",vision / sight; impair(ment/ed) / loss / reduced / partial; not (fully) correctable / glasses don't fix; not blind / short of blindness; visual,"vision-problems framing with no distinct-from-blindness or beyond-correction content (thin)","low-visibility weather/photography sense; trench-coat (""vision that is low""); circular; degenerate",magnif(ication/ier); zoom; contrast; large text; screen reader (some users); assistive,WAI low-vision user needs documentation,"the distinct-from-blindness boundary is the practitioner content — low vision users often use magnification + contrast rather than screen readers; population term anchors the disability-vocabulary end of the suite",AUTHORED
cognitive disabilities,cognitive_disabilities,,"conditions affecting cognition — memory, attention, comprehension, learning, processing (e.g. dementia, ADHD, dyslexia-family, intellectual disability); a POPULATION term; honest cognition-affecting framing nods",cognit(ive/ion); memory / attention / comprehension / learning / processing; disabilit(y/ies) / impairment / condition; affect(s),"MENTAL-ILLNESS CONFLATION as whole answer (adjacent, overlapping, not identical — Fable placement, Trisha may veto); disability-general framing with no cognition content","trench-coat; circular; degenerate",plain language; cognitive load; WCAG; assistive; memory; COGA,WAI COGA (Cognitive and Learning Disabilities) work,population term pairing with low_vision; the design consequences (plain language / consistent layouts / reduced memory burden) are strong-nod garnish threading back to consistent_help and redundant_entry,AUTHORED
universal design,universal_design,,"designing for the widest range of people FROM THE START rather than retrofitting accommodations — one design that works for everyone; curb cuts as the canonical example",universal; design(ed) for everyone / all / widest range; from the start / from the beginning / built in; rather than retrofit / not added later; curb cut,"design-for-everyone framing with no from-the-start/anti-retrofit content (half the concept)","trench-coat (""designs that are universal/everywhere""); circular; degenerate",disability; accessibility; inclusive design; curb cut; assistive,Universal Design principles (Mace/NCSU lineage); inclusive design adjacency,"from-the-start is the load-bearing half — design-for-everyone alone is the aspiration without the method; curb-cut mention is a strong practitioner tell",AUTHORED
decorative image,decorative_image,,"image with no meaningful/informational content — purely visual/aesthetic; THE TEST: could be removed and the information conveyed by the page/words is unaffected (Trisha 2026-07-02)",no information/meaning/content; decorative/aesthetic/visual only; removed/removal + unaffected/no loss; alt="""" / empty or null alt,aesthetic/decoration framing with no no-information or removability content,MIRROR CONFUSION (defined as conveying info / needing alt text = informative); home-décor sense (picture OF decorations); circular; degenerate,alt=""""; empty/null alt; screen reader; assistive; role=presentation; hidden from AT,SC 1.1.1; WAI Images Tutorial (decorative) + alt decision tree,removability test IS the criterion; lateral pair with informative image — cross-definition codes INCORRECT per AD/captions rule,AUTHORED
