compound,model,condition,selected_heads,control_heads,selected_kl,control_kl,selected_minus_control_kl,selected_top_changed,control_top_changed,bigram_count,log_frequency
accessibility_tree,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",3e-06,-1e-06,4e-06,False,False,1307,7.176254532017144
accessible_name,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",2.3e-05,2e-06,2.1e-05,False,False,1619,7.3901814282264295
accessible_description,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",3e-05,2e-06,2.8e-05,False,False,716,6.57507584059962
radio_group,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",2.9e-05,2e-06,2.7e-05,False,False,6694,8.809116258125274
tree_grid,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",4e-06,0.0,4e-06,False,False,865,6.763884908562435
menu_bar,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",1.3e-05,2e-06,1.1e-05,False,False,106878,11.579452632439278
combo_box,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",6e-06,1e-06,5e-06,False,False,50410,10.827964684213782
semantic_markup,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",1.1e-05,2e-06,9e-06,False,False,4776,8.471568013389962
text_formatting,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",1.4e-05,0.0,1.4e-05,False,False,28514,10.258185543590638
cognitive_disabilities,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",1.6e-05,4e-06,1.2e-05,False,False,10189,9.229162126216771
decorative_image,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",6.6e-05,4e-06,6.2e-05,False,False,749,6.620073206530356
informative_image,pythia-160m,natural,"[(10, 9), (11, 1), (8, 4), (8, 11), (11, 5)]","[(10, 4), (11, 0), (8, 5), (8, 9), (11, 3)]",2.3e-05,6e-06,1.7e-05,False,False,520,6.255750041753367
